id,headline,description,skills_list,skill_type,skill_count
8c8615e90ed52df6f4a0a6251153a155932e128d,SAP-utvecklare,"Brinner du för utveckling, arkitektur och att leverera värde? TRR är på en spännande molnresa och söker nu dig som kan klassisk ABAP utveckling och kan hjälpa oss plocka russinen ur SAP BTP, Business Technology Platform, samtidigt som du förhåller dig till TRRs övergripande arkitektur. I ditt jobb ingår att: Agera Tech Lead inom SAP och ABAP utveckling. Utveckla prioriterade funktioner i ABAP genom att följa TRRs utvecklingsprocess i agila team. Arbeta med kodgranskning, både manuell och automatisk. Arbeta med automatiska tester. Vara delaktig i hur TRR kan använda SAPs funktionalitet. Vara involverad i systemintegration och gränssnittsutveckling för att koppla samman SAP-systemen med andra system och applikationer, som Microsoft Azure. Integrationerna kan vara såväl utanför som inom TRR-organisationen. Exempel på tekniker som används är; SAP API management, OData, Events, RFC. Vi strävar alltid efter mångfald. För oss innebär det att olikheter berikar och stärker vår verksamhet. Vi välkomnar sökande med olika bakgrunder, erfarenheter och perspektiv. Vi söker dig som är: Nyfiken, öppen och gärna lyfter blicken och spanar mot framtiden. Den här rollen kräver att du har erfarenhet av att jobba med produkter både inom och utanför SAP:s familj. TRR arbetar med agila utvecklingsteam och du kommer att vara del i ett sådant. Därför är det bra om du har erfarenhet av agila arbetssätt. I den här rollen behöver du även tala och skriva svenska flytande. Meriterande: Erfarenhet av SAP S/4, SAP CRM, SAP Workflow och SAP BTP. Erfarenhet av att arbeta med försäkringslösningar. Erfarenhet av att arbeta som Tech Lead med bland annat rutiner, pattern'n'practices och developer experience. Sista ansökningsdag: Vi går igenom ansökningar löpande. Välkommen att ansöka senast den 27 maj Omfattning: Heltid/Tillsvidare Start: Omgående med hänsyn till uppsägningstid Placeringsort: Stockholm TRR arbetar för tjänstemän och arbetsgivare inom det privata näringslivet. Vi är specialister på omställning och kompetensstöd. I våra drygt 30 000 anslutna företag arbetar drygt 1,1 miljoner tjänstemän. Genom olika tjänster och rådgivning vägleder vi företag och deras medarbetare till ny anställning, studier eller att starta eget företag.",['arbeta med försäkringslösningar'],distinct_skills,1
f5b0b30656339d3244fc311fd1997eef42671e3d,Mjukvaruarkitekt i Stockholm,"Drivs du av mjukvaruutveckling, gillar att lösa problem och ha ett stort helhetsansvar? Då är det dig vi söker! Kund är ett teknikkonsultbolag som arbetar med allt från startups till stora industriföretag, från snabba proof of concepts till långa avancerade projekt inom alla möjliga branscher. Som exempelvis, medicinteknik, förvaret, energi och internet of things. Tjänsten är en direktrekrytering vilket innebär att rekryteringsprocessen sker genom Futuria People men du kommer anställas direkt hos kund. Om tjänstenSom mjukvaruarkitekt kommer du att:- Sätta upp och designa arkitekturen i mjukvaruprojekt.- Genomföra tekniska analyser och ge råd kring mjukvaruutveckling.- Agera förebild och bollplank för utvecklare.- Förstå, definiera och förfina krav tillsammans med kunder.- Ta fram och förklara tekniska specifikationer.- Gå in och koda där det behövs. Vi söker dig som Du har en relevant ingenjörsexamen. Minst 4 års erfarenhet som mjukvaruutvecklare/ingenjör och vara redo att ta nästa kliv. Förståelse för mekatronik Du arbetar strukturerat, drivande och lösningsfokuserat. Du kan kommunicera väl på engelska och svenska i tal och skrift. Meriterande Bakgrund från Medtech eller Cybersecurity Instrumentbakgrund (gärna mot medtech) Du erbjuds Kundsträvar efter innovation och utveckling och vilar påtvå prioriteringar: deras medarbetare och deraskunder. Goda möjligheter till utveckling och en variation av uppdrag. God marknadsmässig lön Möjlighet till spännande uppdrag och knyta många kontakter både internt och externt Beroende på uppdrag finns det chans till distansarbete några gånger i veckan. Futuria Peopleär rekryteringsföretaget som hjälper individer att ta nästa steg i sin karriär och företag att attrahera nya medarbetare. Genom uppsökande rekrytering och kvalitativ annonsering har vi hjälpt hundratals kandidater till ett nytt jobb och en mer stimulerande vardag.",['mekatronik'],distinct_skills,1
953cb2024dc0a0cd62587f4dfb91d8a4c0fc368f,Mjukvaruutvecklare Dash11,"Gå med i vårt team på VIPAS AB! Har du vad som krävs för att trivas i den dynamiska IT-konsultvärlden? VIPAS AB, ett växande företag, bjuder in dig att ta del av nästa spännande projekt som vår nya medarbetare! Om VIPAS: Föreställ dig en värld där din affärsteknik är sömlöst anpassad till dina mål – effektiv, skalbar och innovativ. På VIPAS AB är detta vår vision och drivkraft. Vi är mer än ett IT-konsultföretag – vi är din strategiska partner för att utveckla skräddarsydda lösningar med den senaste tekniken, såsom Java och Python. Med djup expertis inom mjukvaruutveckling, DevOps och ingenjörskonst säkerställer vårt erfarna team att du navigerar den moderna teknikens landskap med trygghet, innovation och långsiktig framgång. Jobbeskrivning: Minst 8-12 års erfarenhet inom aktuellt området på heltid. Uppdraget innebär att flytta hem en mjukvarumiljö som delvis utvecklats av företaget i Tyskland samt vidareutveckling av denna. Initialt kommer konsulten att arbeta med projektet ganska mycket på egen hand med stöd av utvecklare från både företaget i Sverige och företaget i Tyskland. Därför är det viktigt att konsulten är självgående och kommunikativ samt har breda erfarenheter med sig. Kunskaper inom tyska och erfarenhet av tyskt näringsliv är meriterande. Så är naturligtvis även tidigare erfarenheter inom försvarsindustri, eller radiosystem. Personen måste klara av en säkerhetsklassning och ha godkänt RK2 innan uppdraget inleds. Varför jobba hos oss? VIPAS AB erbjuder attraktiva anställningspaket för IT-konsulter, i enlighet med Teknikföretagens (Almega) kollektivavtal. Att arbeta med oss innebär möjligheter inom olika branscher, vilket ger dig flexibilitet och möjligheter till utveckling. Om du är drivande och redo att anta nya utmaningar, är VIPAS familjen för dig! Du kommer att vara en del av ett innovativt team som driver framtiden inom telekom, fordon, detaljhandel och bank. Om du är redo att ta dig an utmanande projekt och växa i en banbrytande miljö, är detta möjligheten för dig! Ansök nu Tveka inte att kontakta oss på **** Observera: Ansök gärna om du har permanent uppehållstillstånd, svenskt medborgarskap eller ett giltigt arbetstillstånd för Sverige. Hur ansöker du: Intresserade kandidater uppmanas att skicka in sitt CV och personliga brev. Gå med oss och driv innovation på VIPAS AB! Observera att vi rekryterar löpande, vilket innebär att uppdraget kan stängas innan sista ansökningsdatum. Om du är intresserad rekommenderar vi att du ansöker omedelbart!","['tyskt näringsliv', 'försvarsindustri', 'radiosystem']",distinct_skills,3
bbf8318c1d5197c62425b240baaedbd3c6db676c,Senior Software Quality Assurance Engineer till Gradientech,"Jobbify är en jobbplattform för vassa kandidater. För kunds räkning har vi publicerat denna annons, vill du komma i kontakt med den slutgiltiga arbetsgivaren kan du klicka dig vidare till annonsen: Hos Gradientech får du möjlighet att ta ansvar för kvalitetssäkring av bolagets samtliga mjukvaruprodukter samt interna mjukvaruverktyg. Hos Gradientech får du inte bara en chans att vidareutvecklas professionellt, utan också möjligheten att göra verklig skillnad i kampen mot antibiotikaresistens och förbättra patientvården över hela världen. Om teamet & rollen Gradientech är idag omkring 40 anställda varav cirka hälften ingår i utvecklingsteamen. Du kommer att arbeta nära och tillsammans med utvecklare och QA/Reg i agila team för mjukvaruutveckling och systemutveckling. Du kommer rapportera till bolagets CTO. Gradientech har kontor och produktionslokaler belägna i Uppsala Science Park. På Gradientech jobbar man från kontoret. I rollen som Senior Software Quality Assurance Engineer kommer du ha stor fokus på kvalitetssäkring av mjukvara kopplad till bolagets IVD-produkter, på instrument- och på applikationsnivå. Det innebär att du kommer delta i test, verifierings- och valideringsarbete inför frisläppning av mjukvara. Du kommer även att delta i kravinsamling och kravanalys för utveckling av befintliga och nya produkter. Samt delta i aktiv dialog med slutkunder och/eller studiepartners för att föreslå nödvändiga förändringar/förbättringar. Utöver detta kommer du även ha fokus på: Arbeta riskbaserat och kvalitetsmedvetet med utgångspunkt från ISO13485, IEC62304 och ISO14971 samt tillämpliga guidelines från FDA. Delta i arbete med att säkerställa cyber security inom ramen för CE-IVDR och FDA. Arbete med bolagets lösningar för continuous development/deployment/integration. Där ingår verktyg för test, frisläppning och distribution av mjukvaruprodukter. Om dig Vi söker dig som har: En ingenjörsbakgrund alt systemvetare Erfarenhet av rollen som mjukvarutestare där du skrivit krav, satt upp automattester och jobbat med kvalitetssäkring Ett intresse av den övriga kvalitetssäkringen Kommunicerar obehindrat på engelska och har god förståelse för svenska språket Vi ser det som meriterande om du har jobbat med test inom medtech alt liknande branscher där det är högt ställda kvalitetskrav. Som person gillar du utmaningen med att arbeta i ett mindre bolag, något som erbjuder korta beslutsprocesser, oändlig utvecklingspotential, omväxlande arbetsuppgifter och ett stort eget ansvar. Rollen ställer höga krav på din noggrannhet, analytiska förmåga och samarbetsförmåga då du ingår i många olika samarbeten internt. Om GRADIENTECH Gradientech utvecklar och säljer ett CE-märkt diagnostiksystem (IVD) för antibiotikaresistensbestämning (AST) avsett för kliniska mikrobiologilaboratorier. Vårt AST system kan inom 2-4 timmar diagnostisera vilken antibiotika en patient bör behandlas med och är det idag snabbaste på marknaden för sepsisprover. Systemet marknadsförs under varumärket QuickMIC® och består av en instrumentenhet med dedikerad analysmjukvara och tillhörande engångsprodukter – antibiotikakassetter. Gradientech arbetar i ett reglerat kvalitetsledningssystem och är ISO13485 certifierat för IVD produktutveckling, tillverkning och försäljning. Välkommen med din ansökan! Tror du att detta skulle passa dig, eller kanske någon du känner? Vi har ett löpande urval och kan komma att tillsätta tjänsten innan sista ansökningsdag, tveka därför inte - utan skicka in din ansökan redan idag! Rekryteringen kommer hållas av Ed:Za Group. Har du några frågor eller funderingar relaterade till tjänsten och processen är du varmt välkommen att kontakta oss på ****",['test inom medtech alt liknande branscher där det är högt ställda kvalitetskrav'],distinct_skills,1
ec47c1b7cdf39e665568835d1aea381aee2e7f2d,"IoT Solution Engineer, Telematics & Data collection","Vad kommer du att göra? Som IoT Solution Engineer, Telematics & Data collection kommer du att ansvara för ditt utvecklingsteams framdrift och leverans. Dina arbetsuppgifter kommer bland annat vara: - Samarbeta med tvärfunktionella team för att utveckla banbrytande telematiklösningar och system för datainsamling. - Skapa robusta, skalbara och effektiva system som samlar in och analyserar data från fordon och maskiner - Utveckla strategier och algoritmer för att säkerställa noggrannheten och kvaliteten på insamlad data och erbjuda värdefulla insikter till våra kunder. - Driva utvecklingen av befintliga produkter genom att samla in användarfeedback, analysera data och föreslå förbättringar för att förbättra användarupplevelsen och produktens prestanda. - Hålla dig uppdaterad med de senaste framstegen inom telematik, IoT och dataanalys, och inkludera dem i våra lösningar. - Utreda och undersöka komplexa tekniska utmaningar och hitta kreativa lösningar. Du kommer att utgå från vårt huvudkontor i Arboga med möjlighet till distansarbete några dagar i veckan. Vem är du? På Infobric är vi övertygande om att vi når störst framgång tillsammans. För att lyckas i rollen behöver du dela vår uppfattning och se vår gemensamma framgång som ditt främsta fokus. - Älskar teknik såväl som människor och gärna erfarenhet av att vara ledare - Vi tror du har en utbildning och några års arbetslivserfarenhet inom teknikområdet som ingenjör inom system/mjukvara/nätverk/IoT. Detta uppnår vi genom våra tjänster som förenklar hanteringen av fordon, maskiner, utrustning och verktyg för företag på den europeiska marknaden. Med våra över 7000 kunder är vi med och driver stora delar av samhällets digitala utveckling. Medarbetarnas engagemang och välmående är viktigt för oss och du kommer ha chefer och kollegor som stöttar och hjälper dig framåt. Vi är ett tillväxtbolag som ständigt utvecklas vilket gör att utvecklingsmöjligheterna för dig som kliver in i rollen är stora. Låter det intressant? Sök enkelt med din LinkedInprofil eller bifoga CV. Sista ansökningsdag är 2024-01-31 men urvalet sker löpande och tjänsten kan komma att tillsättas innan sista ansökningsdatum.","['fordon', 'maskiner']",distinct_skills,2
14e40374f49f52a3084d4fcb7817b7d859822245,Senior Embedded Software Developer till försvarsindustrin,"Etteplan är ett ledande ingenjörsföretag som formar framtidens industrier. Vi är över 4000 teknikspecialister som brinner för teknik och människor. Tillsammans formar vi framtidens innovationer och utveckling inom en global affärsmiljö. Vi söker nu flera erfarna Embedded SW developers till oss på Etteplan som kommer att arbeta med att utveckla hårdvarunära mjukvarulösningar till kunder inom försvarsindustrin. Vi söker dig med minst 5 års erfarenhet av hårdvarunära mjukvaruutveckling inom komplexa system med erfarenhet från försvars- telekommunikations- eller fordonsindustrin. Din roll Som Senior Embedded Software Developer på Etteplan kommer du ha fler möjligheter än du kunnat ana. Du kommer arbeta nära våra kunder som finns inom olika branscher, med en gemensam faktor att de allra flesta är branschledande inom sitt område. Vi ser gärna att du bidrar både till andra utvecklare på vårt kontor och till våra kunder. Du kommer att arbeta med större systemleverantörer samt produktbolag inom mjukvara och elektronik. Arbetsuppgifterna i projekten varierar och slutprodukterna kan vara allt från olika typer av användargränssnitt till att hantera komplexa tekniska system med många ingående komponenter. Tillsammans jobbar vi för att ge våra kunder de allra bästa lösningarna. Din profil Vi söker en lagspelare som trivs med att arbeta i en föränderlig omvärld och snarare se möjligheter och utmaningar än hinder och problem. Flexibilitet, prestigelöshet och möjligheter bör vara ord som du kan relatera till och trivs med. Du skall vara kommunikativ och ödmjuk samt professionellt kunna hantera våra kunder och kollegor. Vidare har du goda kunskaper i svenska och engelska i både tal och skrift. Denna tjänst kräver att du genomgår en säkerhetsprövning baserad på gällande regler för säkerhetsskydd. För tjänster som kräver säkerhetsklassning tillkommer ytterligare krav på svenskt medborgarskap. Vi ber dig att ha detta i åtanke vid din ansökan. För att kunna möta våra kunders behov behöver du ha: - En master eller kandidatexamen inom systemteknik, datavetenskap, datateknik, teknisk fysik eller motsvarande erfarenhet. - Minst 5 års yrkeserfarenhet av hårdvarunära mjukvaruutveckling, FPGA, VHDL, C/C++ - Erfarenhet från arbete med krav och kravnedbrytning från system och arkitekturnivå - Erfarenhet från mjukvarutest Det är meriterande, om du har erfarenhet från funktionsutveckling för antennsystem (AESA). Känner du att Etteplan är rätt för dig? Skicka in din ansökan idag och bli en del av vårt team! Sommaren är här och vi har flera spännande annonser ute under ledigheten. Detta brukar innebära att vi tar emot fler ansökningar än vanligt. Då urval kommer att ske under de första veckorna i augusti kan det ta lite längre tid för oss att återkoppla om din status i rekryteringsprocessen. Vi uppskattar verkligen ditt tålamod och förståelse och önskar dig en fin sommar! Etteplan is a leading technical consulting company shaping the industries of the future. With a dynamic and inclusive work culture, we offer exciting assignments, diverse customer relationships and an environment where your ambition can flourish. We are over 700 technology specialists in Sweden who are passionate about technology and people. Together, we shape the innovations and developments of the future within a global business environment. With us, there are many opportunities for those who want to grow and develop in a forward-looking organization.",['försvars- telekommunikations- eller fordonsindustrin'],distinct_skills,1
62c870348b798cb7682ca1f1f15ca4d2a49e5017,Android Utvecklare,"Välkommen till Danda – Din Partner för Strategisk Konsultation och Innovation På Danda är vi dedikerade till att hjälpa företag att navigera och blomstra i en snabbt föränderlig affärsvärld. Vi är ett ledande konsultbolag med expertis inom strategi, IT, digital transformation och affärsutveckling. Vårt team består av erfarna konsulter som kombinerar djup branschkunskap med en innovativ ansats för att leverera skräddarsydda lösningar som driver tillväxt och effektivitet. Vi på Danda tror på kraften i nära samarbete. Genom att arbeta sida vid sida med våra kunder säkerställer vi att varje projekt inte bara uppfyller deras nuvarande behov, utan även positionerar dem för långsiktig framgång. Oavsett om det handlar om att optimera processer, implementera nya teknologier eller utveckla hållbara affärsstrategier, är Danda den partner du kan lita på. Vår filosofi är enkel: vi levererar resultat som gör skillnad. Vi sätter kundens mål i centrum och anpassar våra tjänster för att möta de unika utmaningar som varje företag står inför. Med Danda vid din sida får du en partner som är lika engagerad i din framgång som du är. Nu söker vi nästa stjärna! : Kvalifikationer B.Sc./M.Sc. i datavetenskap, mjukvaruteknik, elektronik eller motsvarande. 5+ års erfarenhet av Android-programmering med Kotlin och Java. B.Sc./M.Sc. i datavetenskap, mjukvaruteknik, elektronik eller motsvarande. Minst 1 års arbetslivserfarenhet inom fordonsindustrin. God förståelse för Linux-operativsystem. Erfarenhet av att arbeta med ramverk som Android Open Source Project (AOSP). Kunskap om mjukvaruvalidering och testutveckling, enhetstestning. Erfarenhet av att använda tekniker för kvalitetssäkring av mjukvara som enhetstestning och integrationstestning med relevanta verktyg, t.ex. Espresso, jUnit, Mockito. Erfarenhet av att arbeta med MVP-, MVVM-bibliotek. Flytande i engelska (skriftligt och muntligt). Giltigt arbetstillstånd i Sverige. Meriterande Kunskap i C++ och/eller Python. Erfarenhet av iOS, MacOS. Erfarenhet av att använda verktyg som UnReal. Svenska kunskaper är mycket meriterande. Vad vi erbjuder: En snabb och dynamisk arbetsmiljö med fokus på teknik. Möjligheter till professionell tillväxt och karriärutveckling. Konkurrenskraftig ersättning och förmånspaket. Chansen att vara en del av ett team som formar framtidens produkter. En stödjande och inkluderande företagskultur som värdesätter kreativitet och innovation.",['fordonsindustrin'],distinct_skills,1
89da494a8b9adaae965ffd3c5ccf0e88a21d05f3,SOFTWARE ENGINEER - GARO E-mobility,"GARO är ett företag, som under eget varumärke, utvecklar och tillverkar innovativa produkter och system inom elinstallation och elbilsladdning. Med fokus på användarvänlighet, hållbarhet och design tar GARO ett tydligt helhetsansvar. Koncernen har ca 400 anställda med operativ verksamhet i Sverige, Norge, Finland, Irland, Polen, Storbritannien och Tyskland. Försäljningen är fördelad på affärsområdena GARO Electrification och GARO E-mobility. Huvudkontoret ligger i svenska Gnosjö. Produktionsenheter finns i Sverige och Polen. GARO är noterad på Nasdaq Stockholm OMX, Mid Cap. Affärsidén är att med fokus på innovation, hållbarhet och design utvecklar GARO lönsamma helhetslösningar. Vill du vara med och utveckla framtidens laddlösningar för elfordon? Är du en driven fullstackutvecklare med erfarenhet av molnuppkoppling och mjukvaruutveckling? Då kan detta vara din nästa utmaning! GARO E-Mobility söker nu en Software Engineer som vill vara en del i ett innovativt företag i framkant inom hållbara energilösningar. Vi bygger framtidens produkter och tjänster för elbilsladdning, där du får möjligheten att arbeta med helheten – från firmware till molnbaserade tjänster och slutanvändarapplikationer. Arbetsveckan i korthet: • Vidareutveckling av molnbaserade system och databaser eller mer hårdvarunära system (Firmware). • Utveckla samarbeten med externa partners baserat på delning av data. • Delta i sprinter som sträcker sig mellan 4–12 veckor och resulterar i en ny frisläppt version. • Veckovis planering och prioritering av nyinkomna buggar och funktioner. • Samarbete inom R&D-teamet och justering av teamets resursanvändning. • Bevaka och driva kostnadsoptimering gällande drift av moln/databaser. • Ta ansvar för funktionsområden och hantera beställning av nya funktioner. Vem är du? Vi söker dig som har erfarenhet av fullstackutveckling och en god förståelse för hela kedjan, från firmware till moln och applikationer. Du har kunskap inom molnlösningar, gärna i AWS, och erfarenhet av databasutveckling samt hantering av molnbaserade databaser. Du har gedigna programmeringskunskaper och förmåga att själv skriva kod. Vidare har du arbetat i större utvecklingsprojekt och är van att samarbeta med olika team. Då beställarkompetens är en viktig del av rollen, är det också viktigt att du har god kommunikations- och projektledningsförmåga. Meriterande är erfarenhet av projektledning och styrning av utvecklingsprocesser såsom Scrum, samt erfarenhet av att äga produkter och hantera produktutveckling. Det är också en fördel om du har arbetat med utveckling inom cloudbaserade system och användargränssnitt (HMI/APP/Web). Erfarenhet av producerande industri samt kännedom om elmaterial och installationsverksamhet är också önskvärt. Kunskap om regulatoriska krav, cybersecurity och AWS är ytterligare meriterande. Vad erbjuder vi? Hos oss blir du en del av en spännande framtidsutveckling där du kan bidra till ett hållbart samhälle. Vi erbjuder en dynamisk arbetsmiljö där du får vara med och forma framtidens teknik för e-mobility. Här får du möjligheten att jobba i en innovativ miljö, där din kompetens gör skillnad. Vi äger egna produktplattformar som täcker hela spektrumet från elkraft, elektronik, firmware, kommunikation, backend och frontend i form av app- och webbgränssnitt. Vi är en praktiskt inriktad organisation där det är nära mellan kund, säljare, produktchef och utvecklare. Vi använder moderna, effektiva styrprocesser för utvecklingsarbetet och arbetar i en snabbt växande bransch. • Tillsvidareanställning, 100%. • Placering: Gnosjö (Hybrid kan diskuteras). • Resor: Förekommer, några gånger per år. Ansökan Låter detta som en tjänst för dig? Skicka in din ansökan så snart som möjligt! I denna rekryteringen samarbetar GARO E-mobility med FSK People.","['laddlösningar för elfordon', 'producerande industri', 'elmaterial', 'installationsverksamhet']",distinct_skills,4
750fceec480cf04eab0e7cf347fa0f08279dd983,Junior utvecklare,"cadett ab söker junior programmerare och utvecklare till huvudkontoret i Järfälla Vill du arbeta med avancerad teknik i ett etablerat svenskt programvaruföretag med internationella ambitioner? Vi söker en ambitiös programmerare som vill vara med och utveckla framtidens CAD-system för elschema och instrumentering – gärna med intresse för artificiell intelligens och nya teknologier. Om cadett ab cadett ab är ett specialiserat programvaruföretag med huvudkontor i Järfälla och systerbolag i Jülich, Tyskland. Vi har sedan 1979 utvecklat och sålt världsledande CAD-lösningar. Vår flaggskeppsprodukt – cadett ELSA – har varit marknadsledande i Norden inom high-end-lösningar för elschema sedan 1985. Vi fokuserar på schemakonstruktionslösningar baserade på plattformar från Autodesk. Vår långa erfarenhet gör oss till en unik aktör inom branschen. Om rollen Som programmerare och utvecklare på cadett blir du en del av vårt utvecklingsteam och kommer att arbeta med att vidareutveckla cadett ELSA samt tillhörande komponenter och integrationer. Du får möjlighet att arbeta i ett tekniskt kvalificerat team där kvalitet, struktur och långsiktighet står i fokus. Du får också möjlighet att bidra till vårt utforskande av AI-lösningar och smart automation inom CAD-området. Dina arbetsuppgifter kommer bland annat att inkludera: Programmering av nya funktioner i vår .NET-baserade programvaruplattform Arbete med användargränssnitt och användarupplevelse Förvaltning och vidareutveckling av befintlig kod Integration med tredjepartsverktyg och Autodesk-plattformar Tillämpning av AI-metoder för intelligent stöd i konstruktionen Samarbete med produktledning och support-team Vi söker dig som har: God programmeringsvana Höga ambitioner Meriterande: Kunskaper i .NET (C#/VB.NET) Erfarenhet av desktoputveckling (WinForms, WPF eller liknande) Erfarenhet av arbete med databaser Ett strukturerat arbetssätt och ett intresse för komplexa tekniska lösningar Intresse för, eller erfarenhet av, artificiell intelligens, maskininlärning eller data-analys Förmåga att arbeta självständigt och i team Goda kunskaper i svenska och engelska i tal och skrift Erfarenhet av och/eller kunskap om Autodesk-produkter som AutoCAD Kunskaper inom elschema eller industriell automation Erfarenhet av C++ Erfarenhet av Git och DevOps Vi erbjuder dig: Ett långsiktigt och stabilt företag med unik nischkompetens Arbete med tekniskt utmanande och marknadsledande produkter Möjlighet att arbeta med AI-satsningar inom produktutvecklingen Kollegor med djup kompetens och starkt engagemang Korta beslutsvägar och inflytande i utvecklingsarbetet Placering: Järfälla (möjlighet till hybridarbete finns) Omfattning: Heltid Start: Enligt överenskommelse Välkommen med din ansökan! Skicka ditt CV och gärna några rader om varför du är intresserad av rollen till: **** Urval sker löpande.","['elschema', 'industriell automation']",distinct_skills,2
b538dd3a43282b4e5b082443a9a6b253a4735608,Tech lead till startup inom hälsoteknik,"Tech Lead – Startup inom hälsoteknik Är du en grym utvecklare i början av din karriär med en passion för teknik och innovation? Vill du vara med och bygga digitala lösningar som gör skillnad för människors liv, samtidigt som du sätter den tekniska riktningen för framtiden? Vi söker nu för vår kunds räkning en Tech Lead som vill leda utvecklingen av en innovativ produkt och bli en nyckelperson i ett kreativt och passionerat team. Om företaget: Företaget är en hälsoteknikstartup som utvecklat en innovativ digital lösning för en utvald målgrupp inom offentlig sektor. Företaget har en fungerande produkt och kunder men är i ett tidigt skede av sin utvecklingsresa. Gänget som driver bolaget har ett stort engagemang och brinner för att skapa hållbara lösningar som bidrar till en bättre vardag. Om rollen: Som Tech Lead kommer du att spela en nyckelroll i företagets tekniska utveckling och leda den strategiska riktningen för tekniken. Du kommer att ansvara för att utveckla och underhålla företagets SaaS-plattform med fokus på hög tillgänglighet, pålitlighet och skalbarhet. Du kommer att driva utvecklingen och arbeta nära det övriga teamet på bolaget. Du får en avgörande roll i att fatta tekniska beslut, säkerställa hög kvalitet i både kod och arkitektur, och genom din erfarenhet bidra till att utveckla produkten till nästa nivå. Dessutom kommer du att vara en viktig strategisk partner i att forma företagets tekniska plattform och framtida inriktning. Företagets teknikstack och verktyg inkluderar: Elastisys managed kubernetes PostgreSQL Python Node.js Next.js React TypeScript Dina ansvarsområden: Driva utveckling av företagets SaaS-plattform. Säkerställa att företaget har en arkitektur, kodbas och teknikstack som är säkert, skalbar, stabil och framtidssäker Samarbeta med produktägare för att förstå och omsätta produktkrav till tekniska specifikationer. Vara teknisk kontakt mot företagets samarbetspartners och teknisk representant i kundprojekt. Att bygga ett robust ramverk med CI/CD, automatiserade tester, releaser och återanvändbara komponenter för vår SaaS-plattform. Främja arbetssätt för snabb utveckling och hög kvalitet. Säkerställa att utvecklingsorganisationen minimerar teknisk skuld. Utveckla och implementera en långsiktig teknisk strategi och vision för plattformen. Utforska och utvärdera nya teknologier och verktyg för att förbättra företagets produkt och utvecklingsprocess. Delta i beslutsfattande på företagsnivå för att säkerställa att tekniska lösningar ligger i linje med företagets affärsmål och tillväxtstrategi. Vem är du? Några års erfarenhet som utvecklare, gärna i mer än ett språk från vår teknikstack, samt erfarenhet av att designa och bygga skalbara och säkra system. Du uppskattar att både arbeta på en strategisk nivå mer arkitekturfrågor såväl som konkreta operativa utvecklingsfrågor. Erfarenhet av systemarkitektur och att utveckla tekniska strategier, gärna inom hälsosektorn eller andra reglerade miljöer. Du har bred kunskap och ett brinnande intresse för programmering och utveckling. Du har kunskap och erfarenhet av API:er och integration. Goda kunskaper inom molntjänster (Google Cloud), moderna utvecklingsmetoder (Kubernetes), och DevOps-principer. Stark problemlösningsförmåga och kreativt tänkande. Språkkrav - Flytande svenska engelska. Ett starkt engagemang för att skapa innovativa lösningar inom hälsa och intresse för att arbeta i en dynamisk startupmiljö. Företaget erbjuder: Möjligheten att vara en nyckelspelare i en startup som skapar nya förutsättningar inom offentlig sektor. En dynamisk och stimulerande arbetsmiljö med högt i tak och korta beslutsvägar. Flexibla arbetstider och möjlighet att arbeta på distans. Arbete på kundens kontor i Stockholm förväntas ske vid ungefär ett tillfälle per månad. I övrigt är det möjligt att vara stationerad på valfri ort i Sverige. Möjlighet till aktieoptioner. Stort utrymme för personlig utveckling och möjlighet att påverka företagets produkt och tekniska riktning. Kollektivavtal enligt TechSverige. Urval sker löpande så vänta inte med din ansökan. Varmt Välkommen! Mer om NXT Interim: www.nxtinterim.se NXT Interim och NXT Rekrytering är ett nischat och innovativt företag som är verksamma inom konsult och rekryteringsbranschen. Vi är verksamma inom HR, IT, Ekonomi, samt Sälj Marknad och erbjuder paketerade tjänster som de traditionella företagen inte erbjuder idag. Vi har över 20 års erfarenhet inom branschen samt ca 5000 unika kontakter för att kunna hjälpa just er. Vårt agila och innovativa sätt att arbeta präglar vår verksamhet, men gör även att vi oftast ligger steget före i processen. Genom ett modernt, digitalt och GDPR anpassat system tar vi oss säkert genom processen med största sekretess innan vårt första möte.","['hälsosektorn', 'andra reglerade miljöer']",distinct_skills,2
