id,headline,Note,must_have_count,nice_to_have_count,hard_skills_count,soft_skills_count,distinct_skills_count,total_5_groups_count
65bfab61ef312a2b6e3f01d859a95637a58b9ac7,Software Developer,,0,1,0,0,0,1
ce5383b36d76faa7e4814cfd096250147c69c419,Software Developer inom telekom till Combitech i Göteborg,,0,1,11,7,0,19
684e1ce5a4f93b330c6e1b074f35c07416c5b722,Software Development Engineer in Test,,2,0,10,12,0,24
57be0bcfe4d9c361b632f067f00a54b966f775eb,SharePoint-utvecklare sökes!,,6,6,20,10,0,42
0d14ef2480d3a575b2402d632cebed56cf34c5b1,Platform Engineer,,7,0,14,5,0,26
8c8615e90ed52df6f4a0a6251153a155932e128d,SAP-utvecklare,,4,6,24,4,0,38
ea6051b8cbbec9bea7fdd4e8db0a1c89e5f0e436,Systemutvecklare,,4,8,19,15,0,46
f5b0b30656339d3244fc311fd1997eef42671e3d,Mjukvaruarkitekt i Stockholm,,6,3,12,6,1,28
65ae2330cb89e652e7c6909d34279b7293b0af6b,Erfaren Systemutvecklare inom mjukvaruutveckling,,14,0,13,1,0,28
710de6ddc2b13827b13f1e8302d97de83df60675,Testutvecklare embedded systems,,6,0,11,4,0,21
4f42b08e33892861172b8eb5b8307445e110c04d,FRA söker senior systemutvecklare,,13,7,27,12,0,59
8e78ce59d3e8d0b1d93d0556633f2fe7b72ce506,Mjukvarutalang sökes - forma framtidens innovation!,,1,0,7,1,0,9
4c609614dc79bbda7a92d26e2a4a16b14d58fec8,Senior Backendutvecklare till Bonnier News Prenumerationsteam,,0,2,11,8,0,21
5438f47b2a91464a3363506c57f15450e10aecf0,Mjukvaruutvecklare till globalt bolag i Örebro eller Arboga!,,7,1,10,6,0,24
1b977112ac79c1ebfb239401983933ee97ecb4bf,Software Designer till ABB Västerås,,4,9,9,10,0,32
cd3d047c73d68810b8ac792702af99a4cc3a8e91,Mjukvaruutvecklare inom Cloud & Telekom till Combitech Göteborg,,1,1,10,8,0,20
e795d1238b26fa050ac92b58a1416ca41913d40c,Embedded Linux Engineer,,5,0,4,10,0,19
176ace28ca23fe47a05487012d761cbeb47f1db4,Erfaren Mjukvaruutvecklare,,0,0,1,3,0,4
6513866906266175a7ca0b1b5f03af80bf658aae,Embedded Linux Engineer,,5,0,4,10,0,19
018b19d2d92507598734183558e3b4b2a3813c88,Senior Software Engineer till Egreement,,6,0,9,4,0,19
cf637b2eac3c0c11cd61311568e562d1f852df3e,Testingenjörer sökes till Saab T&S!,,1,0,5,6,0,12
418f10913dcd57015ef99c79667d357fdf133de2,Mjukvaruutvecklare,,4,0,8,6,0,18
12ed7eb0969f6d4e5ddf36e6dfb8d2081987ffcd,R&D Software Developer,mix,1,4,10,7,0,22
5aca29772169aceb1af9d0325848290255edfc99,Nu utökar vi vårt inhouse .Net team,,2,0,6,4,0,12
50917640781e4d88310307039fbbfd6ef35317d0,Senior Mjukvaruutvecklare Luleå,,17,24,45,10,0,96
ac8fdca94318b395fe1ba91ce7adf63e07cb9b30,Testingenjör med fokus på release- och sprintplanering,,0,0,13,9,0,22
505acec3c961a506779021cfc145d7add53aabb5,Java Developer,,26,10,32,11,0,79
