id,headline,description,skills,skill_count,skills_len,skill_type,Note
bbd076b720422d14fea704b8664dfbcd7dc8dd8e,Embeddedutvecklare,"Företagsbeskrivning AFRY är ett internationellt företag inom teknik, design och rådgivning och är rankat som en av Sveriges mest populära arbetsgivare bland ingenjörer. Vi arbetar dagligen med en omställning mot ett mer hållbart samhälle. Vi är 19 000 hängivna personer med olika erfarenheter inom infrastruktur, industri, energi och digitalisering, som skapar hållbara lösningar för kommande generationer. Jobbeskrivning Redo för nya utmaningar? Vi söker nu en senior embeddedutvecklare till vår sektion inom produkutveckling i Växjö! Som konsult inom affärsområdet Product & Software Engineering på AFRY i Växjö får du vara med och utveckla framtidens produkter och lösningar hos flera av Sveriges mest spännande företag inom bland annat telekom, medicinteknik, konsumentsegmentet, fordon, försvar- och verkstadsindustri. I rollen som embeddedutvecklare blir du en viktig spelare i vårt växande team som innefattar teknikdiscipliner som elektronik, mjukvara, mekanik, projektledning m.m. och som primärt hjälper produktägande företag att utveckla sina produkter. Du kommer att utveckla arkitektur och mjukvara för nya innovativa lösningar eller vidareutveckla befintliga produkter ibland på plats hos våra uppdragsgivare och ibland som medlem i något av våra distribuerade utvecklingsteam eller i vår inhouse-verksamhet. Kravspecifikation Du som söker har: En relevant högskole- eller universitetsutbildning inom t.ex. datavetenskap, elektronik, inbyggda system eller liknande och har arbetat några år med mjukvaruutveckling. Som person är du: En nyfiken problemlösare som gillar nya utmaningar. Engagerad positiv och social som gärna delar din erfarenhet och dina åsikter. Kommunikativ och har en god samarbetsförmåga. På AFRY driver vi förändring i allt vi gör. Vi anser att förändring sker när modiga idéer möts, när vi samarbetar, skapar innovation och omfamnar kreativa lösningar, det är så vi skapar framtiden. Vi söker konstant kvalificerade kandidater som vill ansluta sig till våra inkluderande team runt om i världen. Bli en del av oss och påskynda den gröna omställningen",mjukvaruutveckling | embeddedutvecklare | hjälper produktägande företag att utveckla sina produkter | utveckla arkitektur och mjukvara för nya innovativa lösningar | vidareutveckla befintliga produkter,5,201,hard_skills_list,
e2fba73da3595aa5ed072632a6d96436ec6de99d,QA-testare till Lund!,"Är du den typen av person som helt kan grotta ner dig i tekniska utmaningar och bli helt fast i att hitta svaret på ditt problem? Älskar du dessutom att koda och kan sitta och programmera i timmar? Då låter det som att du skulle passa in i rollen som QA-testare hos vår kund i Lund! Om arbetet Vad innebär QA då? med andra ord så innebär rollen att man testar och säkrar produkternas kvalité innan de lanseras till kunderna. Din uppgift blir att tillsammans med utvecklare säkerställa kvalitén på vad som levereras. Produkterna är nyutvecklade och kan befinna sig i olika stadier av utvecklingen, där du är med i hela utvecklingsprocessen. Som testare får du vara med och anpassa produkterna efter kundens behov genom att vara med och utveckla och driva testlösningar. Rollen som testare innebär att man arbetar mycket med problemlösning så du kommer trivas i rollen om du gillar utmaningar och ser lösningar istället för problem. En erfaren QA-testare sa Om du gillar att koda, då ska du bli testare och inte programmerare. Därför är det viktigt att du i rollen som testare tycker att det är roligt att sitta och koda mycket. Du kommer jobba i team med testare och utvecklare där ni har ett nära samarbete för att utveckla produkten. Om tekniken Du kommer arbeta på systemnivå och testa både manuellt och automatisk med både scriptade och utforskade metoder. Arbetet sker i så väl Windows- som Linuxmiljö. Du har grundläggande kunskaper inom nätverksteknik och du känner dig bekant med TCP/IP, Routing & Switching, DNS, Proxy & DHCP. Vi kräver inte att du har arbetat med testning innan men det är grymt om du har någon kunskap om det. Om dig Vi söker dig som är nyexaminerad från universitet eller högskola där du avslutat som en kandidatexamen eller högre. Exakt vilken utbildning du studerat är inte det viktigaste, men det bör vara relaterad till data & programmering till stor del. Du har ett brett tekniskt intresse vilket har bidragit till att du har en stor teknisk kompetens och en stor nyfikenhet att ständigt utvecklas och lära dig mer. Nyfikenhet & kreativitet är två egenskaper som uppmuntras då innovation är ett av företagets ledord. Eftersom man jobbar tät med sitt team så är det viktigt att du är en teamplayer. Du gillar samarbetet och lagandan och är kommunikativ. Du tvekar inte till att ta hjälp av dina kollegor eller att vara den som bidrar till att hjälpa. Om Gigget Detta är ett konsultuppdrag, eller gig som vi kallar det på Gigstep. Du blir inledningsvis anställd av Gigstep med ambitionen att det ska leda till en anställning hos kunden!",testar och säkrar produkternas kvalité innan de lanseras till kunderna | säkerställa kvalitén på vad som levereras | hela utvecklingsprocessen | anpassa produkterna efter kundens behov | utveckla och driva testlösningar | arbetar mycket med problemlösning | arbeta på systemnivå | testa både manuellt och automatisk med både scriptade och utforskade metoder | Windows- som Linuxmiljö | nätverksteknik | TCP/IP | Routing & Switching | DNS | Proxy & DHCP | testning,15,463,hard_skills_list,
8e51da2095b0e09998af14f1bafb5f65973a7c36,SW Release Manager,"Arbetsuppgifter Vill du vara en del av ett framåtblickande företag inom bilindustrin och arbeta med utveckling och leverans av mjukvara? Ditt ansvar kommer att omfatta: Koordinera och följa upp kalibreringsleveranser. Hantera avvikelser i leveranser tillsammans med projektledning och utvecklingsgrupper. Konstruera programvarufiler och leverera dem till produktion och eftermarknad. Hantera extra releaser för kvalitetsproblem i fält. Upprätthålla kalibreringsbibliotek och databas. Vidareutveckla och kvalitetssäkra processer för kalibrering. Du har en god kommunikativ förmåga och kan leda och engagera andra på ett effektivt sätt. Vidare är du ansvarstagande, initiativrik och strukturerad, med förmåga att snabbt förstå och omvandla verksamhetsbehov till konkreta krav. Vi värdesätter också att du är flexibel och anpassningsbar, med en vilja att ständigt lära dig och utvecklas. Företagspresentation Vår kund är ledande inom fordonsindustrin och finns i 100 länder. I Sverige är huvudkontoret strax utanför Stockholm och här arbetar man med omställningen för ett hållbart transportsystem och skapar en värld av mobilitet som är bättre för både företagen, samhället och miljön. När du blir en av oss Som konsult hos JobBusters kan du känna dig trygg med ett kollektivavtal i ryggen, tillgängliga konsultchefer och engagerade rekryterare. Du som konsult får även tillgång till vårt nätverk av spännande företag och uppdragsgivare! För oss är det viktigt att du som konsult trivs, känner en trygghet och gemenskap till oss som arbetsgivare. Vi erbjuder tjänstepension, löneväxling och möjlighet till flexpension. Du får även tillgång till vår förmånsportal, där du utöver friskvårdsbidrag har tillgång till mängder av rabatter och erbjudanden inom hälsa, hem och fritid, transport, sjukvård och mycket mer! Ditt välmående är av högsta prioritet för oss och vi erbjuder därför dig som anställd Företagshälsovård för att hantera vardagens alla utmaningar, både på jobbet och i privatlivet. Lön Enligt överenskommelse. Tillträde och ansökan Heltid, kontorstider. Vår kund önskar start 2024-10-14 och uppdraget förväntas löpa t.o.m. 2025-06-14 med möjlighet till förlängning. Du kommer att vara anställd av JobBusters som konsult hos vår spännande kund. Vi går igenom ansökningarna löpande och i konsultvärlden går processerna oftast snabbt. Rollen kan komma att tillsättas innan sista ansökningsdatum, vänta därför inte med att skicka in din ansökan (gärna i Word-format). Sista ansökningsdag är 2024-09-24.",utveckling och leverans av mjukvara | Koordinera och följa upp kalibreringsleveranser | Hantera avvikelser i leveranser tillsammans med projektledning och utvecklingsgrupper | Konstruera programvarufiler och leverera dem till produktion och eftermarknad | Hantera extra releaser för kvalitetsproblem i fält | Upprätthålla kalibreringsbibliotek och databas | Vidareutveckla och kvalitetssäkra processer för kalibrering,7,417,hard_skills_list,
4b438cdabbb9de86093d775d79bb00a87a892f8d,Mjukvaruutvecklare med kunskap inom IT-säkerhet,"DevPort söker nu en erfaren Mjukvaruutvecklare med kunskap inom IT-säkerhet till vår kund! Vi på DevPort letar nu efter mjukvaruutvecklare som har kunskap och intresse för IT-säkerhet, men som också gillar att ta fram nya lösningar och att arbeta tillsammans på team nivå. I detta uppdraget till vår kund så kommer du att arbeta med att utveckla mjukvara enligt vår kunds gällande riktlinjer och praxis. Du kommer bland annat att arbeta med nyutveckling, förbättringar och buggrättning av micro-services i Python och Golang. Utöver detta kommer du även att arbeta med att: • Bidra i att lösa hur en funktion ska se ut och implementeras. • Utföra kodgranskning och skriva enhetstester. • Till viss del även arbeta med FrontEnd skrivna i TypeScript • Förstå och implementera funktioner för att möta de it-säkerhetskrav som ligger på vår kund. • Använda verktyg för att visualisera data • Dela med dig av dina kunskaper och erfarenhet, i och utanför teamet. • Bidra till ett välfungerande team med en positiv attityd. Vi söker någon som har: • Högskoleutbildning eller motsvarande erfarenhet • 7 eller fler års erfarenhet av mjukvaruutveckling • Tidigare erfarenhet av Python • Tidigare erfarenhet av BackEnd utveckling • Tidigare arbetat med APIer och design/kommunikation mellan komponenter Övriga krav för tjänsten är: • Att du behärskar både svenska och engelska i tal och skrift, då dessa språk används i det dagliga arbetet. • Ett svenskt medborgarskap då uppdraget är belagt inom en säkerhetsklassad organisation. Det är meriterande om du har: • Tidigare erfarenhet av golang • Arbetat med mjukvaruarkitektur • God affärsförståelse och kundfokus • Arbetat med mjukvarusäkerhet Vad vi erbjuder: • Mångsidiga och utmanande uppdrag: Delta i spännande projekt hos olika kunder och industrier där dina färdigheter värdesätts högt. • Flexibel ersättning: Välj mellan högre lön eller mer semestertid—det är ditt val! • Inspirerande arbetsmiljö: Delta i roliga aktiviteter och konferensresor som stärker teamet och skapar minnesvärda upplevelser. • Kontinuerlig utveckling: Utveckla dina färdigheter genom våra specialprojekt och lunchföreläsningar som täcker ämnen från sociala färdigheter och stresshantering till avancerad batteriteknik. • Innovativa arbetsuppgifter: Arbeta med banbrytande produkter och den senaste teknologin i en miljö som främjar kreativitet och innovation. Ansökan Om detta låter som något för dig, ansök genom att följa stegen nedan. Vi ser fram emot att läsa din ansökan! Om DevPort DevPort är ett teknikkonsultbolag i en expansiv utvecklingsfas med huvudkontor i Göteborg och kontor i Stockholm, Linköping, Jönköping, Helsingborg och Karlskrona. DevPort har sin kärnkompetens inom fordonsindustrin och sysselsätter över 500 personer inom tre kompetensområden – digitala lösningar, produktionsutveckling och produktutveckling. Vi är stolta över våra medarbetare och vårt samarbete med flera av världens ledande fordonsproducenter, företag inom försvarsindustrin och andra utvecklingsintensiva industrier. Vi kännetecknas av en familjär kultur med entreprenörskap, kompetens, trygghet och en gemenskap som genomsyrar verksamheten och bidrar till en trevlig och inspirerande arbetsplats.","ta fram nya lösningar | utveckla mjukvara enligt vår kunds gällande riktlinjer och praxis | nyutveckling, förbättringar och buggrättning av micro-services | Python | Golang | lösa hur en funktion ska se ut och implementeras | Utföra kodgranskning | skriva enhetstester | FrontEnd skrivna i TypeScript | Förstå och implementera funktioner för att möta de it-säkerhetskrav som ligger på vår kund | Använda verktyg för att visualisera data | mjukvaruutveckling | Python | BackEnd utveckling | APIer | design/kommunikation mellan komponenter | golang | mjukvaruarkitektur | mjukvarusäkerhet",19,586,hard_skills_list,
92e3d747d9b932a1f3ef8d3a2931b705bae2b752,IT-konsult,"På HiQ driver vi utvecklingen av framtidens produkter och tjänster tillsammans med våra kunder. Mer specifikt vill vi arbeta med att förenkla vardagen för människor och samhället med hjälp av IT. Vi arbetar med en mängd olika projekt, branscher och kompetensområden - allt från självkörande fordon och digifysiska restaurangupplevelser. I de projekt som vi åtar oss så kan det handla om att bygga ett helt nytt system från grunden eller vara räddaren i nöden genom att lösa komplexa problem. I de flesta projekten så arbetar vi agilt och gärna testdrivet. Vi söker nu efter fler kollegor som vill vara med och skapa häftiga, användarvänliga och samhällsnyttiga projekt med oss! Matchar du med kompetenserna vi söker och med vår arbetsfilosofi (läs You Get)? Skicka då in din ansökan vetja. Du har arbetslivserfarenhet av att arbeta med något/några av följande: Java C# .NET JavaScript C++/C Python Test UX/UI (Design) Digital analys Android/iOS Data Science / Business Intelligence Projektledning Cybersecurity Functional Safety Arkitektur Cloud You Get: Att vara HiQare är både utmanande och omväxlande. Vi är alla konsulter vilket innebär att vi i våra projekt hos kund eller in-house får prova nytt och bli exponerad för nya branscher, arbetsplatser och tech-stacks. Variationen är stor och utvecklingstakten snabb. Hos oss får du bidra och bemästra dina starkaste kompetenser, men även utforska och utveckla nya. Med rätt attityd och kompetens bidrar du med värde både i ditt uppdrag och till dina kollegor på HiQ. Hos oss hittar du allt från marknadens vassaste utvecklare, testare och hackers, till projektledare, agila coacher och designers. Även om våra kompetenser är många och olika så har vi mycket gemensamt – vi tycker om att driva utveckling, att förbättra och förenkla... och framför allt – att ha kul på vägen! Vi sätter stor tilltro att du vill vara med och skapa bolaget som vi jobbar på. Detta tror vi att du bland annat gör genom att dela med dig av din kompetens (vare sig det handlar om de senaste ramverken eller i detalj hur en push & pull-rörförstärkare med KT88-rör funkar) och genom att ta dig an uppdrag med ett öppet sinne, nyfikenhet och driv. Vi tror att du trivs i en enkel organisation där korta beslutsvägar och en närvarande chef är viktigt för dig. HiQ är kulturdrivet, inte regelstyrt, och det gör att man kan vara sig själv till 100%. En följd av det är att man som HiQ:are tar sitt jobb seriöst, men inte alltid sig själva :) Det som genomsyrar oss all är viljan och ambitionen att bidra till att göra världen lite bättre med hjälp av teknik och kommunikationslösningar som förenklar människors liv. På riktigt. Hoppas vi ses snart <3",Java | C# .NET | JavaScript | C++ | C | Python | Test | UX/UI (Design) | Digital analys | Android | iOS | Data Science | Business Intelligence | Projektledning | Cybersecurity | Functional Safety | Arkitektur | Cloud,18,216,hard_skills_list,
210ee59f35bb6c3b3a6d7c3bcb971cce8b0df39f,Senior DevOps Engineer till Syncro Group!,"Bygg och skala molninfrastruktur i ett snabbväxande techbolag Syncro Group är en börsnoterad techkoncern med bolag inom influencer marketing, kampanjhantering och rekrytering. Vi utvecklar plattformar som kopplar samman kreatörer, varumärken och byråer, och befinner oss i en fas av snabb utveckling och produktbreddning. Nu söker vi en Senior DevOps Engineer som vill vara med och bygga, automatisera och skala vår infrastruktur i AWS. Varför arbeta hos oss? Du får stor teknisk frihet och påverkan Du blir en del av ett litet, sammansvetsat team med korta beslutsvägar Du kan arbeta 100 % remote eller från vårt kontor i Stockholm Konkurrenskraftig lön, pension och friskvårdsbidrag Om rollen Du får en nyckelroll i vårt techteam där du tillsammans med utvecklare och UX driver arbetet med CI/CD, molninfrastruktur och driftsäkerhet. Rollen innebär både utveckling av ny infrastruktur och vidareutveckling av befintlig, och du arbetar nära produkt och utveckling i en agil, lösningsorienterad miljö. Ansvarsområden Design och underhåll av molninfrastruktur i AWS Automatisering av deployflöden och CI/CD Arbeta med container- och serverless-lösningar Implementering av övervakning och loggning Stödja utvecklingsteam med infrastruktur och miljöer Objektorienterad programmering med JavaScript, PHP eller Python Vår teknikstack (exempel) Compute & Containers: ECS, Lambda, EC2, Docker Storage & DB: S3, RDS, ElastiCache CI/CD: GitHub Actions, Serverless Framework Övervakning: CloudWatch, Elastic Stack Nätverk & säkerhet: IAM, VPC, Route 53 Vi tror att du har Gedigen erfarenhet av DevOps och molnbaserad infrastruktur (AWS) Erfarenhet av objektorienterat programmeringsspråk som exempelvis JavaScript, Python eller PHP. Vana att arbeta med CI/CD, infrastruktur som kod och automatisering Erfarenhet av containers eller serverless-miljöer Förmåga att ta eget ansvar och driva förbättringar proaktivt Vidare är nedan meriterande: Erfarenhet av databaser, testverktyg samt DNS-konfiguration. Fortsatt intresserad av rollen? Vad kul! Då får du mer än gärna ansöka med ett CV så hör vi av oss för ett eventuellt nästa steg i processen. För eventuella frågor eller funderingar är du välkommen att höra av dig till mig. Du når mig på ****",utveckling av ny infrastruktur och vidareutveckling av befintlig | Design och underhåll av molninfrastruktur i AWS | Automatisering av deployflöden | CI/CD | container- och serverless-lösningar | Implementering av övervakning och loggning | Stödja utvecklingsteam med infrastruktur och miljöer | Objektorienterad programmering | JavaScript | PHP | Python | DevOps | molnbaserad infrastruktur (AWS) | infrastruktur som kod och automatisering | containers | serverless-miljöer | databaser | testverktyg | DNS-konfiguration | agil,20,527,hard_skills_list,
e67c0f9fa8cf6f8528202fb5623c4940f27a114e,Senior Fullstack Developer till Gradientech,"Är du en erfaren mjukvaruutvecklare och vill arbeta på en plats där du verkligen gör skillnad? Hos Gradientech får du inte bara en chans att vidareutvecklas professionellt, utan också möjligheten att göra verklig skillnad i kampen mot antibiotikaresistens och förbättra patientvården över hela världen. Om teamet och rollen Du kommer ingå i ett litet team och arbeta med både nyutveckling och förvaltning av bolagets Linux-baserade hårdvarunära applikationer i C/C++. Här kommer du även få jobba på hårdvarunära och på GUI-nivå. Om dig Vi söker dig som har en gedigen teknisk bakgrund och en passion för mjukvaruutveckling med flera års erfarenhet inom .NET, C# och Linux-baserade applikationer i C/C++. Dessa programmeringsspråk är bara en del av din verktygslåda, vilket återspeglar din mångsidighet och förmåga att arbeta med olika teknologier utan att vara begränsad av dem. Vi tror även att du har med dig: En högskole-/universitetsexamen inom relevant teknikområde. Har erfarenhet från olika branscher, och med fördel gärna inom medicinteknik. Kommunicerar obehindrat på svenska och engelska. Som person gillar du utmaningen med att arbeta i ett mindre bolag, något som erbjuder korta beslutsprocesser, oändlig utvecklingspotential, omväxlande arbetsuppgifter och ett stort eget ansvar. Det ställer höga krav på dig att ta egna initiativ och hitta egna lösningar med hjälp av din kommunikativa personlighet. Du trivs i en tvärvetenskaplig miljö där alla discipliner behövs för att lyckas och där mjukvara är en del i produkterbjudandet. Om GRADIENTECH Gradientech utvecklar och säljer ett CE-märkt diagnostiksystem (IVD) för antibiotikaresistensbestämning (AST) avsett för kliniska mikrobiologilaboratorier. Vårt AST system kan inom 2-4 timmar diagnostisera vilken antibiotika en patient bör behandlas med och är det idag snabbaste på marknaden för sepsisprover. Systemet marknadsförs under varumärket QuickMIC och består av en instrumentenhet med dedikerad analysmjukvara och tillhörande engångsprodukter – antibiotikakassetter. Gradientech arbetar i ett reglerat kvalitetsledningssystem och är ISO13485 certifierat för IVD produktutveckling, tillverkning och försäljning. Välkommen med din ansökan! Har du några frågor eller funderingar relaterade till tjänsten och processen är du varmt välkommen att kontakta oss på ****",arbeta med både nyutveckling och förvaltning av bolagets Linux-baserade hårdvarunära applikationer | C/C++ | hårdvarunära | GUI-nivå | en gedigen teknisk bakgrund | .NET | C# | Linux-baserade applikationer i C/C++ | förmåga att arbeta med olika teknologier utan att vara begränsad av dem,9,287,hard_skills_list,
c5af1b5ff5dedc291144b38fe0ffc2316dddfd21,C++ utvecklare till Combitech i Stockholm,"Combitech är i en tillväxtfas och vi är på jakt efter C++ utvecklare till vårt interna team i Stockholm, för uppdrag inom försvarsindustrin. Detta är din möjlighet att arbeta i en unik miljö, där du kommer att bidra till utvecklingen av mjukvarulösningar för olika typer av fordon. Vi erbjuder inte bara stimulerande och spännnade projekt, utan också chanser för personlig och professionell utveckling. Din roll som C++ utvecklare Arbetsuppgifterna innebär att utveckla ledningssystem för land och sjögående fordon. Ledningssystemet kan enkelt beskrivas som en koordinerade mjukvara för fordonets sensorer, extern och intern kommunikation samt olika typer verktyg ombord. Koden skrivs för att köras på extern hårdvara och vi har även tillgång till en egen testrigg så att du får snabb och tydlig feedback på lösningens kvalité direkt. Teknikstacken skiljer lite mellan teamen men de gemensamma är att utvecklingen sker i C++ samt en mindre del C# och Python. Versionshantering sker i GIT och ärendehantering och projekt styrs i JIRA. Du kommer jobba i ett team om 7 personer med varierande erfarenhetsnivå inom mjukvaruutveckling. Teamen arbetar agilt och strävar efter att efterleva scrum i den mån som än mest effektivt. Vem är du? Vi söker dig som har en bakgrund från en ingenjörsutbildning med inriktning i datateknik, informationsteknik eller IT-infrastruktur, alternativt kunskap inhämtad på annat sätt. Du har erfarenhet av utveckling i C eller C++ på Linuxplattformar och mer specifikt är erfarenhet av testdriven design extra meriterande. Vi ser att du uppskattar att jobba med programvaruutveckling i alla former och har erfarenhet av att arbeta med verktyg och scriptspråk som effektiviserar framtagning av mjukvarubaserade system. Dessutom bör du ha ett driv och intresse för att utveckla ditt kunnande med nya verktyg och språk som effektiviserar framtagningen ytterligare. För rätt kandidat med intresse och driv finns även möjligheter att ta en mer ledande roll som scrummaster, tech-lead eller team-lead. För att lyckas i rollen är det viktigt att vara anpassningsbar efter kundernas behov. Du ska även vara bekväm med både engelska och svenska i tal och skrift för ditt dagliga arbete. Då tjänsten innebär arbete som omfattas av försvarssekretess krävs det att du genomför och godkänns i en säkerhetsprövning med registerkontroll. Urval sker löpande. Vi ser fram emot din ansökan! Kom och gör skillnad Vi tror att man gör ett bättre jobb om man kan fokusera på rätt saker, därför gör vi det lätt att kombinera jobbet med vardagen. Vi satsar på våra medarbetare, de utgör kärnan, hjärnan och hjärtat i vår verksamhet. För oss handlar det om hållbarhet - vi vill bli branschens mest hållbara företag; och för att vara ett hållbart företag i en hållbar framtid behöver vi investera i våra medarbetare. För oss är din återhämtning, dina utvecklingsmöjligheter och din trygghet lika viktigt som företagets framgång - utan våra medarbetare står vi stilla. Vill du veta mer om hur det är att arbeta hos oss? Kolla in våra karriärsidor!",utvecklingen av mjukvarulösningar för olika typer av fordon | utveckla ledningssystem för land och sjögående fordon | C++ | C# | Python | GIT | JIRA | agilt | scrum | C | Linuxplattformar | testdriven design | programvaruutveckling i alla former | arbeta med verktyg och scriptspråk som effektiviserar framtagning av mjukvarubaserade system,14,340,hard_skills_list,
ea8e536b33acb4ed3f20cf4943efa5e64757852b,Mjukvaruutvecklare inom systemlösningar,"Ta ett kliv framåt och hamna steget före tillsammans med oss! Syntronics kontor i Linköping ser ett behov avmjukvaruutvecklaremed kunskaper inom systemlösningar inom snar framtid. Hos oss på Syntronicfår du arbeta med utmanande projekt åt spännande kunder. Vi efterfrågar mjukvaruutvecklare med trygghet i inbyggda system och intresse för systemutveckling. Arbetsuppgifter som mjukvaruutvecklare inom systemlösningar: Alla utvecklingssteg från systemering, implementation, validering till problemlösning Metodiskt utveckla mjukvaruarkitektur och robusta applikationer på hårdvara med tillhörande testramverk Arbeta inom low-level device configuration kopplade till hantering av sensordata, anpassningar av visionsystem och säkerhetsfunktioner inom sektorn Automotive. Mjukvaruutvecklare hos oss har: En högskole- eller civilingenjörsutbildning inom Elektro, Data, Teknisk Fysik eller liknande Genomfört kommersiella kundprojekt inom inbyggda system som mjukvaruutvecklare i nära samarbete med andra discipliner såsom hårdvarudesign och mekanikkonstruktion Erfarenhet i C/C++, Python och/eller MATLAB Kunskap och kan kommunicera flytande på svenska och engelska. Att vi är ett team är vår styrka och därför ser vi gärna att du arbetar på plats på något av våra kontor, de dagar du inte behövs hos någon av våra kunder förstås! Vilka personliga egenskaper är viktiga för en konsult hos oss? Som person kan du hålla ordning i koden samtidigt som har känsla för när du behöver vara kreativ. I din roll som mjukvaruutvecklare tar du hjälp av dina kollegor för att lösa komplexa problem och har en vilja att leverera de bästa lösningarna till våra kunder. Självklart har du ett stort teknikintresse och vill utveckla framtidens teknik tillsammans med oss på Syntronic. Vi erbjuder På Syntronic blir du en del av en härlig gemenskap där din röst hörs och dina idéer välkomnas. Vi erbjuder flexibla arbetstider, balans mellan arbete och fritid samt regelbundna karriärutvecklingssamtal och interna workshops för din utveckling. Utöver detta får du förmånliga förmåner och försäkringar. Hos oss får du inte bara ett jobb - du får en plats att växa och trivas både personligt och professionellt. Välkommen till Syntronic! Ansökan Vi ser fram emot din ansökan, som ska vara oss tillhanda senast 25 maj. Vi arbetar med löpande urval och rekryterar i förebyggande syfte just nu. Av kommunikation- och kvalitetssäkringsskäl ber vi dig att skicka in din ansökan digitalt via vårt system och inte via e-post.","Alla utvecklingssteg från systemering, implementation, validering till problemlösning | Metodiskt utveckla mjukvaruarkitektur och robusta applikationer på hårdvara med tillhörande testramverk | Arbeta inom low-level device configuration kopplade till hantering av sensordata | anpassningar av visionsystem och säkerhetsfunktioner | kommersiella kundprojekt | inbyggda system | C/C++ | Python | MATLAB",9,400,hard_skills_list,
a5f75d409484ce21ca9733838097f96bec84c0e2,Mjukvaruuvecklare med erfarenhet av C++,"Handen på hjärtat – har du någon gång (eller många för den delen) skruvat isär din dator bara för att se vad som finns där inne? Har även andra teknikprylar i din närhet gått samma öde till mötes? Ägnar du lite mer tid än vad som är rimligt till att fundera ut roliga saker att göra med din raspberry pi? Om du också är en fena på C++ så tycker jag att du ska fortsätta läsa! Beskrivning Vi söker efter duktiga utvecklare med erfarenhet av C++ till långsiktiga projekt hos flera av våra kunder. Kunderna finns inom flera olika områden och branscher, exempelvis fordon, telecom och IT. Kunderna och projekten skiljer sig mycket åt, men brinner du för mjukvaruutveckling, gillar att skriva kod som är snygg och effektiv, samt har ett genuint teknikintresse så hittar vi ett projekt som du gillar. För att passa i rollen som C++ utvecklare tror vi att du: Har en akademisk utbildning inom Computer science, Teknisk fysik eller liknande Har 5+ års erfarenhet av mjukvaruutveckling i C++ Erfarenhet av andra programmeringsspråk är meriterande Svenskt B-körkort Det är även bra med något av följande: Erfarenhet testautomatisering Stark analytisk och matematisk kompetens Erfarenhet från algoritmutveckling För att lyckas bra i rollen som MCA-konsult tror vi att du: Inte bara testar nya saker för att du hört att det är något man ska göra – du tycker det är KUL Gillar andra människor och har lätt att socialisera Tror på rak och öppen kommunikation (och praktiserar det på daglig basis) Känner du igen dig på beskrivningen och vill skicka ditt cv får du gärna göra det till **** Vilka är vi? MCA Sweden AB är en del av MCA Groups offensiva satsning på att bli ett av Europas ledande teknik-konsultbolag. Med detta som vår drivkraft har vi höga ambitioner för vår utveckling i Sverige. På huvudkontoret i Göteborg är vi ett ungt team på 11 personer som arbetar på heltid med att uppnå vår vision - vi ska vara Sveriges bästa arbetsgivare och kunna erbjuda de bästa konsulterna och tekniska lösningarna på den svenska marknaden.",C++ | mjukvaruutveckling | skriva kod som är. Snygg och effektiv | mjukvaruutveckling i C++ | andra programmeringsspråk | testautomatisering | Stark analytisk och matematisk kompetens | algoritmutveckling,8,204,hard_skills_list,
