id,headline,description,skills,skill_count,skills_len,skill_type,Note
2a372f7eed4f4231f8c4d1a54c0bba4be8b20357,DevSecOps-engineer,"Om kunden Vi söker nu en DevSecOps Engineer som vill arbeta med teknik i framkant på vår kunds kontor i Göteborg. Vår samarbetspartner är ett ledande produktbolag inom försvarsindustrin, verksamma inom många tekniska områden för människors trygghet i samhället. I denna roll får du möjlighet att utveckla innovativa DevSecOps- och Developer Experience-lösningar, inklusive ett system för hantering av metadata och en Follow Your Commit-funktionalitet. Vidare kommerdu tillsammans med ditt team ta fram lösningar som förbättrar utvecklarnas arbetsflöden och automatiserar processer. Du designar och bygger backend-system i Go och MongoDB för att hantera metadata och spåra kodändringar samt utvecklar frontend-gränssnitt i React och TypeScript för att göra systemen mer lättanvända. Dessa lösningar ska sedan integreras i befintliga arbetsflöden och det behöver säkerställas att de är prestandaeffektiva, skalbara och enkla att underhålla. Du optimerar även derasCI/CD-pipeline och bidrar till att vidareutveckla företagets DevSecOps-ekosystem. Rollen innebär ett nära samarbete medutvecklingsteamet och kollegor inom DevSecOps för att tillsammans skapa en smidig, effektiv och säker utvecklingsmiljö.Här har du chansen att bli en del aven dynamisk och utmanande miljö där du har möjlighet att göra verklig skillnad! Din kompetens Vi söker dig som har: Gedigen bakgrund inom backend-utveckling, databaser och/eller frontend-utveckling. Kunskap om containerisering, exempelvis i form av Docker och Kubernetes. Som person ser vi att du är kommunikativ och tycker om att dela din kunskap med andra. Du har ett öga för detaljer och vill kombinera tekniskt arbete med strategisk förbättring där du får möjlighet att påverka utvecklarnas arbetsmiljö. Övrigt Lön: Fast månadslön Omfattning:Heltid, tillsvidare Start: Omgående med hänsyn tagen till din eventuella uppsägningstid Placeringsort:Göteborg Vi behandlar ansökningar löpande och tjänsten kan komma att tillsättas innan ansökningstiden har gått ut, skicka din ansökan redan idag! Om oss Procruitment är Sveriges enda karriärbyrå inom IT, tech och engineering som genom proaktiv rekrytering förenar attraktiva arbetsgivare med människor som delar samma mål och ambitioner. Oavsett om du är en erfaren ledare eller om du ska ta ditt första steg ut i karriären hjälper vi dig att nå dina karriärmål - samtidigt som vi bryr oss om dig, din resa och att du mår bra längs vägen.Procruitment är stolta vinnare av Recruitment Awards och är utsedda tillÅrets RekryteringsföretagochÅrets Raketsamt Gasellvinnare 2024 av Dagens Industri.",nära samarbete medutvecklingsteamet och kollegor | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring,5,174,soft_skills_list,
6626e78e6bd7515e9e1750700cb7392850980482,Fullstack-utvecklare till Tikab – Är du vår nästa stjärna?,"Älskar du att skapa smarta, lekfulla och visuellt häftiga lösningar på webben? Har du en passion för både front- och back-end utveckling och vill vara en del av ett företag där kvalitet, teknisk spets och passion genomsyrar allt vi gör? Då kanske du är precis den vi letar efter! Vad vi erbjuder: Söker du efter en arbetsplats med framåtanda där vi ständigt lyfter lösningar och varandra till nästa nivå? Då har du hamnat rätt. Hos Tikab erbjuds du en stimulerande och en arbetsmiljö där innovation står i fokus. Tillsammans med ett vasst och sammansvetsat team tillgodogör vi kundernas unika behov på allra bästa sätt samtidigt som vi har roligt ihop. De lösningar vi bygger är ständigt skiftande och ligger i absoluta framkant. Därför har du stor möjlighet att utvecklas snabbt och utforska ny teknik. Tikab är inte som andra företag. Vi har varit verksamma sedan 1977, med den stabilitet och mognad detta innebär. Samtidigt tänker vi agilt och agerar snabbt likt en startup. En viktig del av vår styrka och trygghet som arbetsgivare är att vi står på egna ben. Tikab är 100% självfinansierat och ägs av aktiva medarbetare, vilket innebär att vi kan vara framåtlutade och fatta snabba och välgrundade beslut utan press från externa investerare. Med kontor i både Stockholm och Göteborg erbjuder vi flexibilitet i var du arbetar, samtidigt som vi värnar om att träffas minst en gång i veckan för att stärka vår gemenskap och laganda. Vi söker dig som vill vara med och driva teknik framåt. Var med och påverka framtiden med oss och ansök idag! Om tjänsten: Som fullstackutvecklare hos oss på Tikab kommer du att arbeta med att utveckla mjukvara som ligger i teknisk framkant, särskilt inriktad på att visualisera och tillgängliggöra information på ett lekfullt sätt. Det ingår ofta olika mått av s.k. spelifiering, och teamet har stor erfarenhet från spelbranschen. Våra projekt är varierande och sträcker sig över flera branscher, med ett särskild fokus på bygg, industri och infrastruktur. Du kommer att vara en del av ett familjärt team där vi värdesätter frihet under ansvar, och samarbetar tätt med andra utvecklare, projektledare och kunder för att leverera högkvalitativa lösningar. Vem är du? Som person är du självgående, lösningsorienterad och kreativ, med ett öga för detaljer och kvalitet. Du trivs med agila arbetsmetoder och är van vid att arbeta i tvärfunktionella team. Kvalifikationer: Har minst 5 års erfarenhet av fullstack och implementation av back-end, databasarkitektur och flöden mellan front-och backend. Typen av erfarenhet spelar mindre roll (skola, fritid, arbete) men den ska vara tydligt framträdande. Tveklösa kunskaper i Javascript/Typescript, Python, React, hantering av back-end med PostgreSQL, och förståelse för UX-principer. Koncernspråket är svenska och du behöver ha goda kunskaper i engelska. Önskvärt men inget krav: Gedigen kunskap kring Devops, Github (inkl. Actions), JIRA eller motsvarande Erfarenhet av web-3D (t.ex. ThreeJS / Babylon eller motsvarande) eller mjukvara för 2D/3D-kreation i exempelvis Blender och Adobe. Vi ser gärna att du har en bakgrund inom datateknik eller motsvarande utbildning, men minst lika viktigt är ditt engagemang och din nyfikenhet för nya tekniker och metoder. Hur du söker: I denna rekryteringsprocess samarbetar Tikab med HR-Byrån i Mälardalen. För att söka tjänsten så bifogar du CV och personligt brev i din ansökan. Tjänsten kan komma att tillsättas innan sista ansökningsdag.","svenska | goda kunskaper i engelska | självgående | lösningsorienterad | kreativ | ett öga för detaljer och kvalitet | arbeta i tvärfunktionella team | frihet under ansvar | samarbetar tätt med andra utvecklare, projektledare och kunder | leverera högkvalitativa lösningar | engagemang | nyfikenhet för nya tekniker och metoder",12,327,soft_skills_list,
3e474db7ba9e07e2dd4431e2f6610b4ee7876212,DevOps-utvecklare,"DevOps-utvecklare Har du funderat på att testa rollen som konsult men stoppats av tanken att det just nu känns osäkert och lite läskigt? Eller är du kanske redan konsult men tycker det är dags att se dig omkring och hitta nya utmaningar? I rollen som konsult hos Nexer får du en stabil och trygg anställning samtidigt som du får möjlighet att testa och utveckla din kompetens i olika uppdrag. Vi tror på en långsiktig och hållbar anställning där vi lägger stor vikt vid både kompetensutveckling och work life balance. Vem är du? Nexer i Västerås behöver nu stärka upp teamet med flera DevOps-utvecklare. Vi söker dig som kan kombinera dina tekniska och kommunikativa egenskaper för att skapa ett gott samarbete i och utanför teamet och som uppskattar att arbeta tillsammans med andra. Som person har du förmåga att ta initiativ och generera lösningar. Vidare håller du dig uppdaterad inom området för DevOps och främjar innovation genom att komma med nya idéer och lösningar. För det specifika uppdraget kommer du ingå i ett litet, kreativt, agilt utvecklingsteam och arbeta med framtagning och utveckling av en utvecklingsplattform för intern användning. I uppdraget ingår också viss utredning och dokumentation. Likaså om du har erfarenhet av infrastrukturhantering (nätverk, lagring, virtualisering) och/eller databaser. Lämplig utbildningsprofil är civil- eller högskoleingenjör med inriktning inom datateknik eller annan utbildning med inriktning inom programvaruutveckling och IT-infrastruktur. Att du behärskar både svenska och engelska flytande i tal och skrift är ett krav. Vilka är vi på Nexer i Västerås? Nexer i Västerås är i en tillväxtfas och vi vill bli fler! Idag är vi ett gäng på 12 konsulter med en bred blandning av kompetenser inom mjukvaru- och hårdvaruutveckling, projektledning och SCADA. Kontoret i Västerås präglas av gemenskap och engagemang, för oss är det viktigt att du känner att det är hos Nexer du hör hemma. Vi sätter dig som konsult i första hand och utgår från vad DU vill göra, både nu och framåt. Hos oss får du möjlighet att utvecklas både som person och kompetensmässigt. Teamet i Västerås genomsyras av ett prestigelöst kunskapsutbyte och här får du chans att växa i en inkluderande och stöttande miljö. Vi värnar om ett öppet och tryggt arbetsklimat där du är välkommen precis som du är! Uppdragen finns hos våra kunder som verkar inom både offentlig och privat sektor. Flertalet av våra kunder inom privat sektor bygger morgondagens produkter och finns inom elkraft, försvarsindustrin och automatiserad industri. Inom den offentliga sektorn har vi kunder över hela landet och du som konsult arbetar antingen på plats hos kund, i våra egna lokaler eller hemifrån, ofta i en hybridkombination. Du arbetar självgående i uppdraget eller så ingår du i ett team med flera kollegor från Nexer. Ansökan Du är varmt välkommen att söka tjänsten genom att skicka in din ansökan här nedan. Läs mer om Nexer härwww.nexergroup.com",skapa ett gott samarbete i och utanför teamet | ta initiativ och generera lösningar | håller du dig uppdaterad inom området för DevOps | främjar innovation | komma med nya idéer och lösningar | behärskar både svenska och engelska flytande i tal och skrift,6,255,soft_skills_list,
b2c39f2499a2a62a95e3eefb64c01b1c22b371b3,Software Engineer,"[ENGLISH BELOW] För att ansöka, vänligen inkludera ditt personliga brev och din GitHub. Bli en del av Numiro som Software Engineer Företagsbeskrivning Numiro är ett fjärrstyrt, VC-finansierat AI-teknikföretag som automatiserar skatteförberedelser för amerikanska CPA-firmor, vilket minskar behovet av extra personal och dyra mjukvarulicenser. Grundat av erfarna startup-ledare med över ett decenniums erfarenhet, är vi passionerade för att skapa exceptionella kundupplevelser. Vi befinner oss just nu i fröstadiet och bygger ett världsledande team. Det här är en roll värd att lämna ditt nuvarande jobb för. Rollbeskrivning Vi söker en mycket självständig, fjärrstyrd ingenjör (eller baserad i Stockholm) för att bygga framtidens AI-drivna lösningar för skattehantering. Du kommer att vara en tidig anställd (grundande ingenjör) i en roll med stort inflytande, där du ansvarar för design och implementering av centrala funktioner. Om dig Självgående: Du kan leverera resultat utan befintlig infrastruktur, verktyg eller processer. Snabblärd: Du tar snabbt till dig nya verktyg, tekniker och färdigheter. Resursstark: Du hittar lösningar och övervinner hinder på ett uthålligt sätt. AI-augmented: Du använder redan AI som ett verktyg för att maximera din effektivitet. Kundfokuserad: Du fokuserar på detaljer för att leverera enastående kundupplevelser och vet också när det är dags att snabbt leverera värde. Ansvarsområden Utveckla intuitiva gränssnitt som gör det möjligt för CPA-firmor att använda AI i sitt skattearbete. Designa och bygga funktioner, med ansvar för hela projektets utveckling, från start till slut. Bidra till skapandet av företagets kultur samt utveckling av interna verktyg och processer. Kvalifikationer och teknisk stack Expertis inom vår teknikstack: Vi använder React, Next.js, GraphQL och Postgres – allt skrivet i TypeScript. 3+ års erfarenhet av att bygga och skala framgångsrika mjukvaruprojekt, helst självständigt eller som en del av ett litet team eller en startup i tidigt skede. -------- To apply, please include your cover letter and your GitHub. Join Numiro as a Software Engineer Company Description Numiro is a remote-first, VC-funded AI tech startup that automates tax preparation for US CPA firms, reducing the need for additional staff and expensive software licenses. Founded by experienced startup leaders with over a decade of expertise, we are passionate about creating exceptional customer experiences. Currently in the seed stage, we are building a world-class team. This is a role worth leaving your current job for. Role Description We are looking for a highly autonomous remote engineer (or based in Stockholm) to build the AI-powered future of tax solutions. You will be an early employee (founding engineer) in a high-impact role where you will own the design and implementation of core features. About You Self-starter: You can get things done without needing existing infrastructure, tooling, or processes. Resourceful: You figure out how to overcome obstacles and solve problems persistently. AI-augmented: You are already using AI to maximize your productivity. Customer-obsessed: You care about the details to delight customers and also know when to move fast to deliver value quickly. Responsibilities Develop intuitive interfaces that allow CPA firms to leverage AI in their tax work. Design and build features, owning the full development lifecycle from front to back. Contribute to shaping the team culture as well as developing internal tooling and processes. Hard Skills & Tech Stack Expertise with our stack: We use React, Next.js, GraphQL, and Postgres – everything is written in TypeScript. 3+ years of experience building and scaling successful software projects, ideally independently or as part of a small team or early-stage startup. Does this sound like your next challenge? Apply now and join us on the journey at Numiro! Öppen för alla Vi fokuserar på din kompetens, inte dina övriga förutsättningar. Vi är öppna för att anpassa rollen eller arbetsplatsen efter dina behov.","Snabblärd | tar snabbt till dig nya verktyg, tekniker och färdigheter | Resursstark | hittar lösningar | övervinner hinder på ett uthålligt sätt | Kundfokuserad | fokuserar på detaljer för att leverera enastående kundupplevelser | snabbt leverera värde | Bidra till skapandet av företagets kultur | mycket självständig | fjärrstyrd | Självgående | självständigt",13,361,soft_skills_list,mix
a8e8a812b4000a0d080c8fb552a387907ee458fe,Java utvecklare till Softhouse,"Är du vår nästa Java utvecklare? På Softhouse befinner vi oss i en viktig fas på vår tillväxtresa och nu är vi på jakt efter Java utvecklare till vårt kontor i Stockholm eller Uppsala. Vi brinner för ny teknik och gillar att utvecklas, och utveckla, tillsammans. Genom vår kompetens bidrar vi till ett hållbart digitaliserat Sverige - tillsammans kodar vi framtiden. Vilka är vi? På Softhouse är vi ca. 300 medarbetare fördelade på 11 kontor och tillsammans levererar vi tjänster och mjukvara i världsklass. I Stockholm hittar du oss i en trevlig takvåning på Tegnérgatan och i Uppsala hittar du oss i fina lokaler med ett centralt läge. Här blir du snabbt en del av ett team med stark gemenskap och en kultur med högt till tak. Vi har en stor variation vad gäller uppdrag och arbetar med allt från nyutveckling till förvaltning, från IoT till webbutveckling. Vem är du? Vi söker dig som har minst fem års erfarenhet av utveckling i Java där du gärna spenderat flera av dessa år i en konsultroll. Du trivs med att arbeta agilt och drivs av att leverera hög kvalitet och dela dina kunskaper med kollegor. Förutom goda kunskaper i Java ser vi gärna att du: - Är van att arbeta ur ett livscykelperspektiv med t.ex. kravställning, arkitektur, design, test och integration. - Har erfarenhet av tekniker som exempelvis Spring, JMS, Java EE (EJB, JPA), Hibernate. - Det är meriterande om du har jobbat med mikrotjänster, eller någon av de stora molnplattformarna såsom AWS, Azure, eller GCP, eller klientramverk såsom JavaScript/TypeScript, Angular eller React. - Kan uttrycka dig obehindrat på svenska och engelska, i såväl tal som skrift. Självklart känner du också igen dig i våra värdeord: team, enkelhet, mod och passion. Vad erbjuder vi? - Ett stabilt och välmående bolag där du och din work-life-balance är i fokus. - En mix av spännande inhouseprojekt, teamleveranser tillsammans med dina Softhouse-kollegor och externa uppdrag. - Skräddarsydd utvecklingsplan och aktiv kunskapsdelning med andra Softhouse-kollegor. - Förmåner som 30 dagars semester, tjänstepension, föräldralön, 5000 kr/år i friskvårdsbidrag, rekryteringsbonus m.m. Det är precis lika viktigt att vi passar för dig, som att du passar för oss. Låter det intressant? Vårt urval sker löpande, så skicka in din ansökan så snart som möjligt. Vi träffas gärna på en kaffe och berättar mer!","dela dina kunskaper med kollegor | obehindrat på svenska och engelska, i såväl tal som skrift | team | enkelhet | mod | passion",6,127,soft_skills_list,
1b977112ac79c1ebfb239401983933ee97ecb4bf,Software Designer till ABB Västerås,"Vill du arbeta med mjukvaruutveckling och design-anpassningar av styrsystem och automationslösningar för containerkranar på ett världsledande och globalt företag? Vi söker dig som är nyexaminerad och brinner för programmering och innovativa lösningar! Arbetsuppgifter Som junior softwaredesigner på ABB kommer dina huvudsakliga arbetsuppgifter vara att arbeta i olika leveransprojekt där anpassningar av styrsystem och automationslösningar för containerkranar ligger i fokus. Anpassningarna som görs i mjukvaran sker genom tätt samarbete med hårdvaruingenjörerna och är beroende av vart och hur kranen skall användas. Målet är att skapa tillförlitliga, effektiva och säkra anpassningar av kransystemet, vilket kräver ett kreativt, lösningsorienterat mindset då du kommer stå för cirka 50% av designkoden i den slutliga lösningen. Profil Företaget lägger stor vikt vid dina personliga egenskaper, samt till din vilja att utvecklas. Yrket kräver ett genuint ingenjörsintresse och en generell entusiasm för teknik, programmering och innovativa lösningar. Avdelningen är prestigelös och frågor välkomnas varmt – hellre en fråga för mycket än en för lite. Tjänsten innebär samarbeten med både kollegor och kunder runt om i världen vilket innebär att vi söker ytterligare en lagspelare till teamet. Har du även ett praktiskt intresse för hårdvara och hur saker fungerar rent mekaniskt är det bra. Kompetenskrav -Du är som lägst utbildad högskoleingenjör inom datateknik, robotik eller elektroteknik -Du talar och skriver engelska obehindrat -Du har god förståelse och kunskap av PLC-Programmering Meriterande -Du har kunskap av andra programmeringsspråk. Ex, C, C++, Java eller Python -Du talar och förstår ett europeiskt eller utomeuropeiskt språk. Ex, kinesiska, tyska eller annat -Tidigare erfarenhet av PLC-programmering Om ABB Ports ABB är ledande inom teknik för elektrifiering och automation och möjliggör en mer hållbar och resurseffektiv framtid. Företagets lösningar kopplar samman ingenjörskunnande och mjukvara för att optimera hur saker tillverkas, flyttas, drivs och styrs. Enheten är specialiserad på avancerade automations- och informationssystem för alla typer av containerkranar, och arbetar i teknikens framkant med sina egenutvecklade sensorsystem för rörelsekontroll av tunga laster. De är den ledande leverantören i branschen och levererar projekt med el- och automationssystem till kunder över hela världen. Mer information om företaget ges vid intervjutillfället. Om Framtiden AB Vi på Framtiden arbetar med både bemanning och rekrytering, vi vill göra skillnad i människors liv. Skillnad gör vi genom att hjälpa människor att hitta rätt jobb och rätt kollega. Vi är specialister på att rekrytera rätt talanger till rätt företag. Framtiden finns på sju orter i Sverige samt i Oslo. Efter Talangprogrammet finns mycket goda möjligheter att gå över i en anställning direkt hos ABB Ports. Rekryteringsprocess -CV-urval -Intervju med Framtiden (rekryteringsbolag) -Intervju med ABB Ports -Drogtest Villkor Startdatum: Enligt överenskommelse Ort: Västerås Omfattning: Heltid Arbetstider: Flexibel arbetsplats och arbetstid","ett kreativt, lösningsorienterat mindset | vilja att utvecklas | en generell entusiasm för teknik, programmering och innovativa lösningar | samarbeten med både kollegor och kunder | en lagspelare | ett praktiskt intresse för hårdvara och hur saker fungerar rent mekaniskt | talar och skriver engelska obehindrat | talar och förstår ett europeiskt eller utomeuropeiskt språk | kinesiska | tyska eller annat",10,405,soft_skills_list,
83a7c818ddc9bf2d7e4b88a77ceade31e20d9ab5,Konsult inom systemsäkerhet till Combitech i Linköping,"Digitalisering skapar alltmer omfattande systemintegrationer där system-av-system och den komplexitet som detta medför ställer helt nya krav på produkter och verksamhet. Vill du dela vår passion och stolthet i att stötta våra partners förmågor att utveckla säkra och hållbara lösningar i denna digitaliseringsomställning? Då kan du vara just den vi söker! Vi erbjuder dig nu möjligheten att ta nästa steg i dina framtida utmaningar! DIN ROLL SOM KONSULT INOM SYSTEMSÄKERHET Combitech söker nu nya medarbetare inom systemsäkerhet till affärsområde Kritiska System med placering i Linköping. Tillsammans med flertalet kunniga specialister inom området ges du möjlighet att i nära samarbete med våra partners, och i framkant av metod och teknik, utveckla morgondagens säkerhetskritiska system. Förutom att bidra på både operativ och strategisk nivå i våra kunders projekt kommer du att få möjlighet att vara en del av vår fokuserade satsning avseende utveckling av kritiska system. Inom denna satsning blir du en del av ett kompetensnätverk där du tillsammans med drivna kollegor utvecklar våra framtida kompetenser och förmågor. Möjligheterna är många kan omfatta exempelvis systemsäkerhetsarbete i kundprojekt, etablera och lära ut metodik avseende utveckling av kritiska system samt att stötta i samband med skapandet av nya affärer. Detaljerna i rollen anpassas efter dina önskemål och ambitioner. VEM ÄR DU? Du har gedigen erfarenhet av och tydlig inriktning mot att arbeta med utveckling av kritiska system som till exempel innefattar systemering, krav, design, och arkitektur för kritiska tillämpningar - gärna med fokus på icke-funktionella egenskaper såsom robusthet, stabilitet och tillförlitlighet. Vi ser att du har kunskap avseende standarder och framför allt deras tillämpning vid utveckling av säkerhetskritiska system, t.ex. ISO26262, IEC61508, DO-178C, DO-254, ARP4754A, ARP 4761, ISO13849 samt erfarenhet av arbete med säkerhetsanalyser, exempelvis MTBF, FMEA, FTA, HARA Du har ett stort engagemang och har lätt för att skapa goda relationer med både kunder och medarbetare. Vi tror att du är en god lyssnare, har en stark initiativförmåga och tycker om kombinationen av att arbeta nära både människan och tekniken. Då tjänsten innebär arbete som omfattas av försvarssekretess krävs det att du genomför och godkänns i en säkerhetsprövning med registerkontroll. Urval sker löpande, vi ser fram emot din ansökan! KOM OCH GÖR SKILLNAD Vi tror att man gör ett bättre jobb om man kan fokusera på rätt saker, därför gör vi det lätt att kombinera jobbet med vardagen. Vi satsar på våra medarbetare, de utgör kärnan, hjärnan och hjärtat i vår verksamhet. För oss handlar det om hållbarhet - vi vill bli branschens mest hållbara företag; och för att vara ett hållbart företag i en hållbar framtid behöver vi investera i våra medarbetare. För oss är din återhämtning, dina utvecklingsmöjligheter och din trygghet lika viktigt som företagets framgång - utan våra medarbetare står vi stilla. Vill du veta mer om hur det är att arbeta hos oss? Kolla in våra karriärsidor!",ett stort engagemang | lätt för att skapa goda relationer med både kunder och medarbetare | en god lyssnare | har en stark initiativförmåga | kombinationen av att arbeta nära både människan och tekniken,5,202,soft_skills_list,
95432160c1c1b43f13a1dd6defaa73670cbf9496,Senior Fullstack Software Developer,"Vill du vara en nyckelspelare i ett agilt DevSecOps-team som driver utveckling med moderna teknologier och sätter kundupplevelsen i fokus? Vi söker dig som brinner för högkvalitativa lösningar, hållbar utveckling och samarbete över teamgränser. I denna roll kommer du att arbeta som konsult hos vår kund i en dynamisk och innovativ miljö. Du får stor frihet att påverka både design och utveckling av applikationer som förbättrar kundupplevelsen och bidrar till hållbarhet. Ditt uppdrag Som Senior Fullstack Software Developer ansvarar du för att: Utforma lösningar med helhetsperspektiv på användarvänlighet och hållbarhet. Iterera och förbättra tekniska lösningar i nära samarbete med Produktägare och kollegor. Säkerställa att lösningarna är robusta, säkra och hållbara genom secure software development. Översätta affärsbehov till tekniska lösningar i samarbete med Produktägare och UX-designers. Främja agila metoder för att leverera funktionalitet och förbättringar med hög kvalitet. Dela din expertis och bidra till kunskapsutveckling inom team och guilds. Din erfarenhet Vi söker dig med fler än 3 års erfarenhet av: Frontend: Angular (v14+), HTML5, CSS, TypeScript, JavaScript. Backend: C# (.NET Framework och .NET Core 7+), CMS (EpiServer/Optimizly). DevOps & Infrastruktur: Azure DevOps, Git & Gitflow, MS Azure, CI/CD, MS Visual Studio. Språk: Svenska och engelska flytande i tal och skrift. Extra värdefullt om du har: Erfarenhet av webbanalysverktyg (Google Analytics eller Piwik PRO). Kunskap i SQL och databasuppsättning. Förståelse för autentisering och Open Identity. Erfarenhet av automationstester och testning inför release. Använt SonarQube eller Github Advanced. Vårt erbjudande Flexibel arbetsplats: 2-3 dagar på kontoret, resten remote. Konsultuppdrag: Möjlighet att arbeta hos en kund som värderar innovation och hållbarhet. Utvecklingsmöjligheter: Fokus på kunskapsdelning och kontinuerlig förbättring. Vill du arbeta i en miljö där innovation och hållbarhet möts för att skapa framtidens lösningar? Ansök idag och bli en del av vårt konsultteam!",samarbete över teamgränser | nära samarbete med Produktägare och kollegor | samarbete med Produktägare och UX-designers | Dela din expertis | bidra till kunskapsutveckling | Svenska och engelska flytande i tal och skrift,6,220,soft_skills_list,
72a5f81c6106275f098dfdcbb229b937b5ddc29f,Senior Utvecklare till Taxiteknik i Stockholm,"Om Taxiteknik Taxiteknik grundades 2019 och utvecklar och levererar ett komplett affärssystem för taxibolag, genom produkterna Traffic Management, DriverApp och BookingApp. Produkterna erbjuder komplett system med tillägg för att passa kundens behov. Bolaget är främst verksamt på den svenska marknaden där vi har en stabil position. Vi söker nu en erfaren utvecklare som vill ta chansen att påverka ett bolag som är mitt i en spännande tillväxtfas. Du blir en del av ett litet och kompetent team som strävar efter att bygga det bästa trafikledningssystemet för taxi- och transportbranschen. Du kommer att ingå i ett team på sex personer, varav två utvecklare, två inom kundservice, en kundservicechef och en VD. Alla i teamet har ett stort kundfokus och strävar efter att leverera det bästa affärssystemet på marknaden. Teamet har flerårig erfarenhet av branschen. Dina arbetsuppgifter Som utvecklare hos oss kommer du att fortsätta bygga och utveckla vårt redan idag väl fungerande trafikledningssystem. Då du kommer att ingå i ett mindre team har du med din kompetens stor möjlighet att bidra och påverka produktutvecklingen. Det är viktigt att du känner ett ägandeskap för produkterna och tar stort ansvar i utvecklingsarbetet. Vår utvecklingsmiljö: - Backendtjänster utvecklade i Dart - Frontend i Angular - Appar i Flutter Om dig Vi söker dig som har flerårig (+5 år) erfarenhet av fullstack-utveckling. Du har god förståelse för hela utvecklingsprocessen och kan prioritera dina arbetsuppgifter väl. Som person har du mycket god samarbetsförmåga och kan arbeta självständigt såväl som i grupp. Du gillar att ta dig an utmaningar samt är målinriktad. Vidare är du bra på att kommunicera med kunder och kollegor och bekväm i att ta beslut. Vi kommer lägga stor vikt vid personlig lämplighet. Du talar och skriver på både svenska och engelska obehindrat. Välkommen med din ansökan! Om Vitec Software Group Vitec Software Group är ledande inom Vertical Market Software i Norden. Vi utvecklar och levererar standardprogram för olika nischer. Vitec växer genom förvärv av välskötta och etablerade programvarubolag. Koncernens övergripande processer tillsammans med medarbetarnas djupa kunskap om kundens lokala marknad skapar goda förutsättningar för förädling och fortsatt innovation. Vitec har 1 550 medarbetare, är noterat på Nasdaq Stockholm och omsatte 2 778 miljoner kronor år 2023. Läs mer om oss på www.vitecsoftware.com.",ett ägandeskap för produkterna | tar stort ansvar i utvecklingsarbetet | prioritera dina arbetsuppgifter väl | god samarbetsförmåga | arbeta självständigt såväl som i grupp | ta dig an utmaningar | målinriktad | bra på att kommunicera med kunder och kollegor | bekväm i att ta beslut | talar och skriver på både svenska och engelska obehindrat,10,343,soft_skills_list,
210ee59f35bb6c3b3a6d7c3bcb971cce8b0df39f,Senior DevOps Engineer till Syncro Group!,"Bygg och skala molninfrastruktur i ett snabbväxande techbolag Syncro Group är en börsnoterad techkoncern med bolag inom influencer marketing, kampanjhantering och rekrytering. Vi utvecklar plattformar som kopplar samman kreatörer, varumärken och byråer, och befinner oss i en fas av snabb utveckling och produktbreddning. Nu söker vi en Senior DevOps Engineer som vill vara med och bygga, automatisera och skala vår infrastruktur i AWS. Varför arbeta hos oss? Du får stor teknisk frihet och påverkan Du blir en del av ett litet, sammansvetsat team med korta beslutsvägar Du kan arbeta 100 % remote eller från vårt kontor i Stockholm Konkurrenskraftig lön, pension och friskvårdsbidrag Om rollen Du får en nyckelroll i vårt techteam där du tillsammans med utvecklare och UX driver arbetet med CI/CD, molninfrastruktur och driftsäkerhet. Rollen innebär både utveckling av ny infrastruktur och vidareutveckling av befintlig, och du arbetar nära produkt och utveckling i en agil, lösningsorienterad miljö. Ansvarsområden Design och underhåll av molninfrastruktur i AWS Automatisering av deployflöden och CI/CD Arbeta med container- och serverless-lösningar Implementering av övervakning och loggning Stödja utvecklingsteam med infrastruktur och miljöer Objektorienterad programmering med JavaScript, PHP eller Python Vår teknikstack (exempel) Compute & Containers: ECS, Lambda, EC2, Docker Storage & DB: S3, RDS, ElastiCache CI/CD: GitHub Actions, Serverless Framework Övervakning: CloudWatch, Elastic Stack Nätverk & säkerhet: IAM, VPC, Route 53 Vi tror att du har Gedigen erfarenhet av DevOps och molnbaserad infrastruktur (AWS) Erfarenhet av objektorienterat programmeringsspråk som exempelvis JavaScript, Python eller PHP. Vana att arbeta med CI/CD, infrastruktur som kod och automatisering Erfarenhet av containers eller serverless-miljöer Förmåga att ta eget ansvar och driva förbättringar proaktivt Vidare är nedan meriterande: Erfarenhet av databaser, testverktyg samt DNS-konfiguration. Fortsatt intresserad av rollen? Vad kul! Då får du mer än gärna ansöka med ett CV så hör vi av oss för ett eventuellt nästa steg i processen. För eventuella frågor eller funderingar är du välkommen att höra av dig till mig. Du når mig på ****","arbetar nära produkt och utveckling | en agil, lösningsorienterad miljö | ta eget ansvar | driva förbättringar proaktivt",4,120,soft_skills_list,
