id,headline,description,skills,skill_count,skills_len,skill_type,Note
9eec4acff60755f61de2aebb95c8feee0ff183d9,Reporter till Södra Dalarnes Tidning (Vikariat),"Är du snabb, driven och vill ha koll på det som händer lokalt? Då kan du vara den vi söker! En av våra medarbetare ska vara föräldraledig och nu söker vi hans ersättare som reporter på Södran. Ett riktigt drömjobb, om vi får säga det själva. Vi är fyra reportrar, en ledarskribent och en chefredaktör som tillsammans gör Södran (Södra Dalarnes Tidning), som är en del av Bonnier News Locals. Vi publicerar digitalt dygnet runt alla dagar i veckan och kommer ut som papperstidning tre dagar i veckan. Tidningen är oberoende liberal. Om rollen I jobbet som reporter på Södran är ingen dag den andra lik. Du jobbar i högt tempo och arbetsuppgifterna varierar. Från att göra den klassiska enkäten, intervjua matchhjälten eller bevaka kommunfullmäktige till att befinna dig i en livesändning i ett pågående nyhetsläge är steget aldrig långt. Arbetet är självständigt och kräver att du kan ta eget ansvar, men bakom dig finns också ett starkt team. Du skriver, fotograferar, filmar och livesänder – alltid med människan i fokus. Vem är du? För att trivas i rollen som reporter hos oss behöver du ha god förmåga att jobba självständigt. Du behöver vara flexibel, gilla högt tempo och att befinna dig i en utvecklande miljö där det händer mycket. Vi förutsätter att du är en reporter med fokus på noggrannhet och integritet. Vi tror också att du är duktig på sociala medier, har koll på var och när det händer och vet hur du ska forma ditt innehåll för att nå olika målgrupper. Kanske är du extra duktig på sport? Oavsett, att vara först med en nyhet är självklart för dig. Med dig i laget ser vi tillsammans till att sodran.se är det självklara valet av nyhetsförmedlare i vårt bevakningsområde. Kvalifikationer - Journalistisk utbildning eller annan utbildning eller erfarenhet som arbetsgivaren bedömer likvärdig. - Du behöver kunna skriva, ta bilder, filma samt medverka i livesändning. - Erfarenhet av att arbeta med granskningar och gräv är meriterande. - En god stilistisk förmåga. - Agera omdömesgillt och situationsanpassat i kontakt med läsare och intervjupersoner. - En god förmåga att hantera digitala publiceringar och sociala medier. - Ett intresse och förståelse för digital journalistik. - B-körkort. Övrig information Tjänsten är ett vikariat som sträcker sig till januari 2025 med goda möjligheter till förlängning. Tillträde 1 september eller enligt överenskommelse. Vi är nyfikna på vem du är och ser fram emot din ansökan!. Vill du veta mer gällande hur vår rekryteringsprocess ser ut kan du klicka här! Våra journalister rapporterar, granskar och berättar om vår tids frågor. Vi inspirerar och skapar affärer genom möten, produkter och tjänster. Alla vi som jobbar här, från journalisten i norr till techutvecklaren i söder, bidrar med olika perspektiv för att vi ska kunna utföra vårt uppdrag och föra det fria ordet framåt. Tillsammans. Med varumärken som Dagens Nyheter, Expressen och Dagens industri når vi miljoner läsare och användare varje dag. Genom Bonnier News Locals många titlar har vi även ett stort lokalt engagemang över hela landet - från Sydsvenskan i Skåne till Östersunds-Posten i Jämtland. Förutom detta ger vi också ut branschspecifika tidningar såsom Dagens Media, Resumé, Dagens medicin och Fastighetsnytt, och även en rad livsstilsmagasin som Damernas Värld, Sköna Hem, Teknikens Värld och Allt om Mat. Vi har också en betydande logistik och distributionsverksamhet som vi samlar inom ramen för Bonway. Under 2024 kommer vi att nå närmare en tredjedel av alla hushåll i Sverige. Genom att ständigt driva den digitala utvecklingen framåt når vi hela tiden längre – som medarbetare hos oss kan du påverka riktningen. Vi strävar efter att hitta talangfulla medarbetare som vidgar våra perspektiv och hjälper oss att bidra till ett mer inkluderande samhälle. Vi hoppas att även du vill bidra till detta!",snabb | driven | ta eget ansvar | god förmåga att jobba självständigt | flexibel | gilla högt tempo,6,99,soft_skills_list,
6a3052933461450ece4c5d2878b3a2aee2070d40,Sommarvikariat som reporter på BT,"Beskrivning Hos oss kommer du att trivas! Vi söker sommarvikarier till vår redaktion i Borås. I arbetsuppgifterna som reporter ingår det att göra journalistiskt innehåll som nyhetsartiklar och reportage. Kvalifikationer Journalistutbildning och/eller erfarenhet av redaktionellt arbete. Vi söker dig som har goda kunskaper i svenska språket och om samhället. Som person är du kreativ, nyfiken och självständig. Du har god planeringsförmåga, är stresstålig och ansvarstagande. Vi tror att du är en lagspelare som har lätt för att samarbeta och är positiv i ditt sätt. Du är en driven person som har lätt för att ta egna initiativ och kan arbeta självständigt. Villkor B-körkort Arbetstid Arbetet innebär tjänstgöring på dagtid, kvällar och helger. Vi undanber oss vänligt alla erbjudanden om annonserings- och rekryteringshjälp i samband med denna annons.",kreativ | nyfiken | självständig | har god planeringsförmåga | stresstålig | ansvarstagande | en lagspelare som har lätt för att samarbeta | positiv i ditt sätt | en driven person | lätt för att ta egna initiativ | kan arbeta självständigt,11,239,soft_skills_list,
4c1724aaee627a5b441af423b8c6d479412e1ace,Sommarvikarie till printnavet i NTM,"Vill du jobba och utvecklas på en inspirerande arbetsplats i sommar? Då är printnavet platsen för dig! NTM söker printredaktörer som ska planera, formathantera och redigera koncernens 16 tidningar i sommar. I printnavet jobbar vi i ett högt tempo med att förvalta och presentera den journalistik som produceras på våra redaktioner runt om i landet. Alltid med läsarna i fokus. Vi söker dig som har journalistisk erfarenhet och som har grundläggande kunskap i hur man arbetar med pappers- och e-tidningar. Grundläggande kunskaper i Indesign, där all redigering sker, krävs också. Merparten av övriga arbetsuppgifter sker i egenutvecklade redaktionella system som vi kommer att utbilda dig i. I rollen ingår att man kan och vill samarbeta, är flexibel och kommunikativ. Det är också viktigt att kunna arbeta självständigt, vara öppen för förändringar och att ta sig an nya arbetssätt. Som vikarie hos oss blir du en del av laget från dag ett. Du kommer att arbeta med ett gäng engagerade, duktiga och hjälpsamma kollegor. Printnavets huvudort är Norrköping men det kan finnas möjlighet att arbeta från andra orter där NTM har verksamhet. Låter det här som ett jobb för dig? Ansök redan i dag. Vi söker dig som: - Har journalistisk erfarenhet och grundläggande kunskap i hur man arbetar med pappers- och e-tidningar. - Grundläggande kunskaper i Indesign. - Har ett engagemang för journalistik och en vilja att förmedla nyheter som hjälper läsaren i vardagen. - Är nyfiken, villig att lära dig nya saker och snabb till förändring. - Har god språkkänsla och kan nyhetsvärdera. Vikariaten kan innebära arbetstid både dagtid, kvällar och helger. Vi är en värderingsstyrd koncern som eftersträvar jämställdhet och mångfald och värdesätter därför sökande med olika bakgrund och erfarenheter. Urval och intervjuer sker löpande och tjänsten kan tillsättas innan sista ansökningsdag. Kärnan i vår verksamhet är en fri och oberoende journalistik som skapar lokal samhällsnytta och värnar demokrati. Vi levererar lokala nyheter idag för ett bättre samhälle imorgon. Vårt bolag består har två delar; vår redaktionella verksamhet och vår kommersiella säljorganisation. Den gemensamma grunden är vår lokalkännedom. NTM Media ägs av NTM, en stiftelseägd koncern med hjärtat i den lokala journalistiken. Vi har inga kortsiktiga avkastningskrav, vilket gör att vi kan agera långsiktigt med främsta syfte att bedriva publicistisk verksamhet. Läs mer om vår koncern på ntm.se. Vi har höga ambitioner i vårt dagliga arbete och som arbetsgivare. Vi arbetar aktivt med vår arbetsmiljö, kompetens och ledarskap för att skapa en välmående verksamhet. Vi värdesätter mångfald och utvecklas genom att ta vara på våra medarbetares skilda erfarenheter och perspektiv, men vi samlas under en gemensam värdegrund: Vi är lyhörda, målinriktade och nyfikna och därför snabba till förändring. Vi har en positiv anda och vi är förlåtande, toleranta och inkluderande",kan och vill samarbeta | flexibel | kommunikativ | arbeta självständigt | vara öppen för förändringar | att ta sig an nya arbetssätt | nyfiken | villig att lära dig nya saker | snabb till förändring,9,198,soft_skills_list,
cc1ca43af7013abd2ee5504cd37a40aab6bd2482,Journalist/Reporter,"SAMO Media Ab är ett företag där vi jobbar med både produktion och uthyrning av lokaler samt media utrustning. Exempel på dessa är vi säljer nyheter till olika tidningar och tv kanaler, vi producerar nyhet och olika tv program åt andra media företag. Bolaget arbetar aktivt och professionellt med försäljning av annonser och övriga medialösningar. Bolaget samverkar också med externa uppdragsgivare. Vår organisation består av säljare, reportrar, redigerare samt originalare. Tidningsproduktionen är den huvudsakliga arbetsuppgiften, men vi arbetar också med övriga reklam och marknadsföringsuppdrag Färdigheter Du har en utbildning och tidigare erfarenhet som reporter och arbetar obehindrat i de vanligaste programmen inom branschen. Du trivs att arbeta i team, du är noggrann, strukturerad och har en hög stresströskel. Du har också god kännedom om det Kurdiska språket Vi förutsätter att du är en nyfiken och allmänbildad reporter som också har ett stort samhällsintresse. Du har en mycket god samarbetsförmåga, är snabb, driven samt initiativrik. I rollen som reporter är du flexibel och har förmågan att lätt anpassa dig till ändrade omständigheter. Du har även lätt för att ta kontakt med och möta människor. Våra förväntningar av dig är att du/ni: - Har hög arbetsmoral - Har hög stresstålighet - Kan uttrycka dig väl i Kurdiska språket både i tal och skrift - Är utåtriktad med hög social kompetens Vi håller ett mycket högt arbetstempo präglat av affärsmässighet, kreativitet och framåtanda. Medarbetarna beskriver gärna arbetet som tufft, utvecklande och roligt. Arbetsuppgifter: Vi söker nu en erfaren reporter/redaktör. Utbildning är ingen krav men bra om det finns. Erfarenheten är vår perioriterad. SAMO Media AB redaktion har ett tätt samarbete mellan produktions- och säljavdelningen. Som reporter/redaktör hos oss blir ditt uppdrag att skriva om mellanöstern men också kommersiella texter från näringslivet. Det är ett snabbt och kreativt arbetstempo där du skall bidra med idéer för att göra nyheter så intressanta och innehållsrika som möjligt. Det är ett högt arbetstempo och du förväntas skriva ca 5 nyheter/dag. Arbetsuppgifter: - Allmänna reporteruppdrag. - Föredragande på redaktionsmöten - Publicera material både på webb och på sociala medier - Sammanställande av texter och värdering av presskallelser. - Produktion av kommersiella texter Urval sker löpande under ansökningsperioden. Vi välkomnar även sökanden med någon form av anställningsstöd. Tjänsten är heltid, tillsvidare Öppen för alla Vi fokuserar på din kompetens, inte dina övriga förutsättningar. Vi är öppna för att anpassa rollen eller arbetsplatsen efter dina behov.",arbeta i team | noggrann | strukturerad | har en hög stresströskel | nyfiken | mycket god samarbetsförmåga | snabb | driven | initiativrik | flexibel | lätt anpassa dig till ändrade omständigheter | lätt för att ta kontakt med och möta människor | hög arbetsmoral | hög stresstålighet | utåtriktad | hög social kompetens | högt arbetstempo präglat av affärsmässighet | kreativitet | framåtanda,19,393,soft_skills_list,
6fb12db28e473efaadbc134fd982a2333f3be6bc,Nyfiken nyhetsjägare till Härnösand,"Välkommen till vår redaktion i Härnösand där vi söker en kollega till en fast journalisttjänst! Kom till Höga Kusten du också, här finns havet i staden och världsarvsnaturen runt knuten. Vem söker vi? Du älskar lokal journalistik, är nyfiken och har ett stort samhällsintresse. Som reporter tar du dig an snabba nyheter, träffar de spännande människorna som intresserar våra läsare eller ägnar dig åt djupare nyhetsgranskning. Du är en erfaren nyhetsjägare som jobbar brett mellan ämnena och är varken främmande för att skriva ett sportporträtt eller bevaka ett politiskt möte. Vi tror att du särskilt trivs när det är fart och fläkt och du får vara först med att berätta om det som Härnösand snackar om. Du är en duktig skribent och fotograf och behärskar att filma och sända tv, framför eller bakom kameran. Det är meriterande om du har erfarenhet av livesport eller kompetens inom bildjournalistik. Du har en journalistisk utbildning, likvärdig utbildning eller dokumenterad erfarenhet av journalistiskt arbete och tycker om att arbeta tillsammans med andra. Givetvis har du körkort. På Tidningen Ångermanland är vi 15 journalister som jobbar med lokala nyheter. Vi granskar makten, skriver reportage och gör djupdykningar i det som händer i våra kommuner. Vi publicerar oss dygnet runt på sajten tidningenangermanland.se och i papperstidningen som kommer ut tre dagar i veckan. Redaktionen i Härnösand består av tre reportrar, där du blir en av dem. Här finns också nyhetschef, printredaktör, liveredaktör och våra politiska redaktörer stationerade. Våra övriga redaktioner finns i Kramfors och Sollefteå och vi jobbar tätt mellan orterna. Tidningen Ångermanland är en del av Sveriges största lokaltidningskoncern Bonnier News Local. I tjänsten ingår kvälls- och helgjobb, i nuläget var sjunde vecka. Välkommen med din ansökan senast den 15 februari. Som Nordens största medieföretag, med verksamhet i 13 länder, hjälper vi medborgare och organisationer att fungera i ett demokratiskt samhälle. Våra journalister rapporterar, granskar och berättar om vår tids frågor. Vi inspirerar och skapar affärer genom möten, produkter och tjänster. Alla vi som jobbar här, från journalisten i norr till techutvecklaren i söder, bidrar med olika perspektiv för att vi ska kunna utföra vårt uppdrag och föra det fria ordet framåt. Tillsammans. Med varumärken som Dagens Nyheter, Expressen och Dagens industri når vi miljoner läsare och användare varje dag. Genom Bonnier News Locals många titlar har vi även ett stort lokalt engagemang över hela landet - från Sydsvenskan i Skåne till Östersunds-Posten i Jämtland. Förutom detta ger vi också ut branschspecifika tidningar såsom Dagens Media, Resumé, Dagens medicin och Fastighetsnytt, och även en rad livsstilsmagasin som Damernas Värld, Sköna Hem, Teknikens Värld och Allt om Mat. Vi har också en betydande logistik och distributionsverksamhet som vi samlar inom ramen för Bonway. Under 2024 kommer vi att nå närmare en tredjedel av alla hushåll i Sverige. Genom att ständigt driva den digitala utvecklingen framåt når vi hela tiden längre – som medarbetare hos oss kan du påverka riktningen. Vi strävar efter att hitta talangfulla medarbetare som vidgar våra perspektiv och hjälper oss att bidra till ett mer inkluderande samhälle. Vi hoppas att även du vill bidra till detta!",nyfiken | stort samhällsintresse | trivs när det är fart och fläkt | tycker om att arbeta tillsammans med andra,4,111,soft_skills_list,
e609ba21dc9d608f0185bebc595ca0f3467342d8,Kommunikatör,"Verksamhetsbeskrivning Tillväxt- och attraktivitetsavdelningens uppdrag är att skapa förutsättningar för långsiktig och hållbar tillväxt och en attraktiv kommun att leva och bo i. I Gällivare kommun pågår idag samhällsomvandling kombinerat med en expansiv gruvnäring. Vi står även inför stora industriella satsningar framöver och får därmed ett ökat arbetskraftsbehov. Fokus för avdelningen är att samordna, initiera och driva tillväxt och attraktivitetsarbete som är strategiskt viktiga för Gällivare kommun. Arbetsuppgifter Du kommer att arbeta med all vår kommunikation som rör Gällivare kommun, via kommunens kanaler. • Skriva texter för hemsidan och sociala medier samt bevaka och bemöta kommentarer. • Research och ta fram nyheter som händer i organisationen • Du är bra på att forma och förmedla budskap • Bevaka händelser i kommunen samt hålla dig ajour med vad som händer i frågor Kvalifikationer Du är antagligen journalist, kommunikatör eller liknande idag med en god känsla för vad som är en nyhet och hur man paketerar och går ut med detta på bästa sätt. Du är lösningsorienterad, självgående och hanterar många bollar i luften samtidigt. Du trivs att jobba i team och är lyhörd för andras behov, men har inga problem med att arbeta självständigt när jobbet kräver detta. Du tycker om att ta saker från ide till färdig produkt. Du uppskattar att jobba i ett öppet klimat, nära dina kolleger där man hjälps åt, backar upp varandra och har kul på jobbet. Du kan anpassa din skrift och tonalitet utifrån målgruppen och har en bredare förståelse för vad som gör kommunikation effektiv, till exempel i bilder, film, presentationer och online. Meriterande om du har erfarenhet av arbete med kriskommunikation. Inom ramen för den nationella minoritetsspråkslagen är Gällivare kommun förvaltningskommun för samiska, meänkieli och finska. Kunskaper i något av dessa språk är meriterande vid ansökan om anställning i Gällivare kommun. Arbetstid/Varaktighet Heltid, vikariat 1 år med möjlighet till förlängning Lön Individuella löner Tillträde Så snart som möjligt enligt överenskommelse. Intervjuer sker löpande. Vid anmodan lämnas originalhandlingar. Vi har valt våra rekryteringskanaler och önskar ingen rekryteringshjälp.","lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | trivs att jobba i team och är lyhörd för andras behov, men har inga problem med att arbeta självständigt när jobbet kräver detta | tycker om att ta saker från ide till färdig produkt | uppskattar att jobba i ett öppet klimat | nära dina kolleger där man hjälps åt | backar upp varandra",8,363,soft_skills_list,
2b2b5157e51f5cbc089349028780ab4b11622fe8,NWT söker kriminalreporter,"NWT är nyhetsledande i Värmland och nu söker vi dig som vill ha ett av de mest spännande journalistjobben i länet, det som kriminalreporter. Om NWT Media NWT är ett av de mediehus i Sverige som dagligen når flest läsare utanför Stockholm, Göteborg och Skåne. NWT är största titel inom NWT Media som har 16 olika titlar som levererar lokal journalistik via sajter, appar och printprodukter. Bolagets vision är att värna om demokrati och det fria ordet genom journalistik som engagerar, överraskar och upplyser. NWT Media är en del av NWT Gruppen som har en tydlig strategi för tillväxt de kommande åren. Utöver lokaljournalistiken driver koncernen bland annat verksamheter inom marknadsföring, distribution och fastighetsförvaltning. Vi finns i Värmland, Skaraborg och Dalsland. Om rollen Kriminalbevakning är ett prioriterat bevakningsområde för NWT och på redaktionen blir du en av två kriminalreportrar som jobbar tätt tillsammans. Du kommer att bevaka frågor som rör brott och straff ur alla tänkbara perspektiv, alltid med tydligt nyhetsfokus. Du ska vara nyhetsledande i att berätta vad som händer inom krimområdet i Värmland, först på plats där det händer och ständigt avslöja nya detaljer i uppmärksammande fall. Du ska granska rättsväsendets arbete och fördjupa dig i brottsligheten i Värmland. Har du erfarenhet av att spela in podd är det positivt, men inget krav. Framtiden för podden beror bland annat på vem vi rekryterar till den aktuella rollen. Om dig Du har gedigen journalistisk erfarenhet, stort samhällsintresse och gott omdöme. Du trivs som bäst när du är först med nyheterna som verkligen engagerar och du vet vad som krävs för att en nyhet eller fördjupning ska bli väl läst. Du är nyfiken, orädd och duktig på att knyta kontakter, med såväl som poliser och advokater som anhöriga och brottsoffer. Du älskar att vara på plats där det händer. Du gillar högt tempo, men gillar också att granska krimrelaterade händelser. Du är bekväm framför kameran när situationen kräver det. B-körkort är ett krav, tillgång till bil ett plus. Van att filma och fotografera. Vi ser fram emot din ansökan senast 21 februari 2024. Urval och intervjuer kommer att ske löpande. Tjänsten kan komma att bli tillsatt innan sista ansökningsdag så ansök gärna så snart som möjligt. Tillsättning omgående eller så snart det är möjligt.",stort samhällsintresse | gott omdöme | nyfiken | orädd | duktig på att knyta kontakter | älskar att vara på plats där det händer | gillar högt tempo,7,148,soft_skills_list,
4c035e2b9e34298b4fbca0fbf80d7eada85d47cf,Vårdfokus söker vass och erfaren reporter,"Vårdfokus är Vårdförbundets självständiga medlemstidning för 115 000 sjuksköterskor, barnmorskor, biomedicinska analytiker och röntgensjuksköterskor. Vi skriver om och bevakar medlemsgruppernas löner, arbetsmiljö, yrkes- och vårdutveckling, vårdpolitik, forskning och mycket mer. Vårdfokus finns som magasin (10 ggr/år), webb, nyhetsbrev samt i sociala medier. Du kommer till en idérik redaktion på tio personer och får ingå i ett sammansvetsat gäng där alla hjälps åt att göra kvalitetsjournalistik med egna vinklar. För att trivas hos oss måste du vara både en lagspelare och kunna jobba självständigt. Ditt uppdrag är göra journalistik som når brett ut bland läsarna i alla våra kanaler. Vi söker dig som är en rutinerad reporter med mångårig erfarenhet. Du är kvalitetsmedveten, samhällsintresserad och gör journalistik som träffar rätt i målgruppen. Vi vill att du: • Har journalistutbildning samt flera års aktuell erfarenhet som journalist • Har god kunskap om arbetsmarknadsfrågor, som avtal, arbetsmiljö och lön • Har erfarenhet av och med lätt hand kan skriva om och ta dig an flera olika ämnen • Har bred erfarenhet och skicklighet av att jobba både med print och digitalt • Behärskar alla journalistikens genrer, från djuplodande granskningar levande reportage och nyhetsartiklar • Behärskar olika kanaler och journalistiska metoder Och är: • Läsar- och målgruppsorienterad • En god stilist • Kommunikativ • Kreativ • Stresstålig • Flexibel • Självgående • Samarbetsvillig Meriterande är om du har erfarenhet av journalistiskt arbete med rörligt och/eller ljud. Om du har erfarenhet av att journalistiskt arbete med hälso- och sjukvårdsfrågor är det ytterligare en merit. Tjänsten är en tillsvidareanställning med tillträde enligt överenskommelse, dock senast 1 mars 2025. Din placeringsort är på Vårdförbundets hus i Stockholm. Vårdförbundet arbetar aktivt för att vara en inkluderande arbetsplats där alla är välkomna. Tillsammans ser vi till att medarbetare långsiktigt mår bra, att det är ett öppet klimat och att alla ska ges möjlighet till delaktighet och inflytande. Hos oss har du förmånen att både utvecklas och utmanas. Våra ledord för att tillsammans skapa den arbetsplats vi vill ha är; tillit, professionalitet, balans och arbetsglädje. Välkommen att bli en av oss!",en lagspelare | kunna jobba självständigt | kvalitetsmedveten | Kommunikativ | Kreativ | Stresstålig | Flexibel | Självgående | Samarbetsvillig,9,143,soft_skills_list,
e825fae346065764d8b2defc95a5019e5eebd3ed,Sommarvikarier till P4 Malmöhus,"Om sommarvikariat på Sveriges Radio Sommarvikariat på Sveriges Radio har en mycket lång tradition. Vi är en stor organisation som finns i hela landet och vi sänder dygnet runt, året om. På sommaren finns möjlighet att få prova på denna spännande verklighet, en erfarenhet anställda och andra använt som en språngbräda in på andra plattformar och yrken. Ett sommarvikariat på Sveriges Radio kan helt enkelt vara början på något väldigt spännande. P4 Malmöhus söker sommarvikarier med driv, digital spets och nyhetspuls Nu söker vi dig som vill vara med och skapa en sommar full av puls, tempo och digitala spetsvinklar. Gillar du teamarbete och att alltid vara först med senaste nytt – då kanske en sommar på P4 Malmöhus passar dig. P4 Malmöhus producerar dagligen viktig, lokal journalistik. Vi är nära publiken, agerar snabbt vid händelsenyheter och har en ambition att spegla hela samhället. Här får du en viktig roll! Det handlar om att vara i nuet, att ta in det som händer runt omkring och samtidigt försöka nå ut till publiken på ett underhållande sätt. Det handlar om att lyssna på och prata med vår publik och våra gäster. Vi söker deskreportrar, digitala redaktörer, programledare och reportrar inför sommaren 2025. Vi söker dig som vågar bjuda publiken på det extra. Du vet hur man engagerar, har god samarbetsförmåga, är idérik och van vid att ta ett stort eget ansvar. Bakgrund och kvalifikationer - Journalistisk utbildning, pågående eller avslutad, eller motsvarande - B-körkort - Omvärldskoll och nyhetsdriv Dokumenterad radioerfarenhet, kunskaper i SR:s olika arbetsredskap samt lokal kännedom ser vi som meriterande. Tjänsterna är semestervikariat eller programanställningar med varierande längd sommaren 2025. Tillträde enligt överenskommelse. Tjänstgöring kan inkludera tidiga morgnar, sena kvällar och helger. Redaktioner finns både i Malmö och i Helsingborg. Så här ansöker du Det enda du behöver göra är att skicka ditt CV och svara på frågorna i ansökningsformuläret (se nedan). Där kan du också berätta om du har en specifik kompetens som du tror kan vara till nytta i arbetet hos oss. Ett personligt brev behövs däremot inte. Är du redo för en ny spännande utmaning så ser vi gärna att du ansöker omgående, eftersom vi anställer fortlöpande. Vi vill ha din ansökan senast 2025-02-16. Företagsbeskrivning gömd på alla jobb på hela kontot. Kontakta Jobylon för att visa igen.",driv | Gillar du teamarbete och att alltid vara först med senaste nytt | vara i nuet | vågar bjuda publiken på det extra | vet hur man engagerar | har god samarbetsförmåga | är idérik | van vid att ta ett stort eget ansvar | Omvärldskoll,9,237,soft_skills_list,
58b19adf85ac4c69da3c8742999242ad4ebc602a,Sommarjobba på Corren! Sök nu!,"Nu har du chansen att söka sommarjobb på en av Sveriges mest levande redaktioner! Corren är en av landets största landsortstidningar och är mitt uppe i en stark digital utveckling där både räckvidd och antalet prenumeranter ökar kraftigt. Vi är en redaktion som brinner för journalistiken. Vi går igång på nyhetspulsen och när vi bevakar, förklarar och granskar på djupet så ser vi hur vi gör skillnad i lokalsamhällena där vi verkar. Det är det som driver oss varje dag. Vill du sommarjobba hos oss? Vill du utvecklas i en grupp med hög energi och höga ambitioner? Oavsett var du har din spets - i text, bild, video, some eller grävande - så är du välkommen med din ansökan. Sök idag! B-körkort är ett krav då det förekommer bilkörning i våra roller. Vi är en värderingsstyrd koncern som eftersträvar jämställdhet och mångfald och värdesätter därför sökande med olika bakgrund och erfarenheter. Urval och intervjuer sker löpande och tjänsterna kan tillsättas innan sista ansökningsdag. Kärnan i vår verksamhet är en fri och oberoende journalistik som skapar lokal samhällsnytta och värnar demokrati. Vi levererar lokala nyheter idag för ett bättre samhälle imorgon. Vårt bolag består har två delar; vår redaktionella verksamhet och vår kommersiella säljorganisation. Den gemensamma grunden är vår lokalkännedom. NTM Media ägs av NTM, en stiftelseägd koncern med hjärtat i den lokala journalistiken. Vi har inga kortsiktiga avkastningskrav, vilket gör att vi kan agera långsiktigt med främsta syfte att bedriva publicistisk verksamhet. Läs mer om vår koncern på ntm.se. Vi har höga ambitioner i vårt dagliga arbete och som arbetsgivare. Vi arbetar aktivt med vår arbetsmiljö, kompetens och ledarskap för att skapa en välmående verksamhet. Vi värdesätter mångfald och utvecklas genom att ta vara på våra medarbetares skilda erfarenheter och perspektiv, men vi samlas under en gemensam värdegrund: Vi är lyhörda, målinriktade och nyfikna och därför snabba till förändring. Vi har en positiv anda och vi är förlåtande, toleranta och inkluderande",lyhörda | målinriktade | nyfikna | snabba till förändring | en positiv anda | förlåtande | toleranta | inkluderande,8,115,soft_skills_list,
