requested_domain,requested_skill,source_domain,source_skill,source_file,source_rows,source_unique_ids,ids_present_in_requested_dataset
it,all_skills,it,distinct_skills,Metagente-distinct/METAGENTE/data/IT/distinct_train.csv,30,30,30
it,all_skills,it,hard_skills,Metagente-hard/METAGENTE/data/IT/hard_train.csv,50,50,49
it,all_skills,it,must_have,Metagente-must/METAGENTE/data/IT/must_have_train.csv,50,50,50
it,all_skills,it,nice_to_have,Metagente-nice/METAGENTE/data/IT/nice_to_have_train.csv,50,50,50
it,all_skills,it,soft_skills,Metagente-soft/METAGENTE/data/IT/soft_train.csv,50,50,48
it,hard_skills,it,hard_skills,Metagente-hard/METAGENTE/data/IT/hard_train.csv,50,50,49
it,soft_skills,it,soft_skills,Metagente-soft/METAGENTE/data/IT/soft_train.csv,50,50,48
it,distinct_skills,it,distinct_skills,Metagente-distinct/METAGENTE/data/IT/distinct_train.csv,30,30,30
it,must_have,it,must_have,Metagente-must/METAGENTE/data/IT/must_have_train.csv,50,50,50
it,nice_to_have,it,nice_to_have,Metagente-nice/METAGENTE/data/IT/nice_to_have_train.csv,50,50,50
journal,all_skills,journal,distinct_skills,Metagente-distinct/METAGENTE/data/train_data.csv,50,49,49
journal,all_skills,journal,hard_skills,Metagente-hard/METAGENTE/data/train_data.csv,50,50,50
journal,all_skills,journal,must_have,Metagente-must/METAGENTE/data/train_data.csv,50,50,50
journal,all_skills,journal,nice_to_have,Metagente-nice/METAGENTE/data/train_data.csv,50,49,49
journal,all_skills,journal,soft_skills,Metagente-soft/METAGENTE/data/train_data.csv,50,49,49
journal,hard_skills,journal,hard_skills,Metagente-hard/METAGENTE/data/train_data.csv,50,50,50
journal,soft_skills,journal,soft_skills,Metagente-soft/METAGENTE/data/train_data.csv,50,49,49
journal,distinct_skills,journal,distinct_skills,Metagente-distinct/METAGENTE/data/train_data.csv,50,49,47
journal,must_have,journal,must_have,Metagente-must/METAGENTE/data/train_data.csv,50,50,50
journal,nice_to_have,journal,nice_to_have,Metagente-nice/METAGENTE/data/train_data.csv,50,49,49
merged,all_skills,it,distinct_skills,Metagente-distinct/METAGENTE/data/IT/distinct_train.csv,30,30,30
merged,all_skills,it,hard_skills,Metagente-hard/METAGENTE/data/IT/hard_train.csv,50,50,49
merged,all_skills,it,must_have,Metagente-must/METAGENTE/data/IT/must_have_train.csv,50,50,50
merged,all_skills,it,nice_to_have,Metagente-nice/METAGENTE/data/IT/nice_to_have_train.csv,50,50,50
merged,all_skills,it,soft_skills,Metagente-soft/METAGENTE/data/IT/soft_train.csv,50,50,48
merged,all_skills,journal,distinct_skills,Metagente-distinct/METAGENTE/data/train_data.csv,50,49,49
merged,all_skills,journal,hard_skills,Metagente-hard/METAGENTE/data/train_data.csv,50,50,50
merged,all_skills,journal,must_have,Metagente-must/METAGENTE/data/train_data.csv,50,50,50
merged,all_skills,journal,nice_to_have,Metagente-nice/METAGENTE/data/train_data.csv,50,49,49
merged,all_skills,journal,soft_skills,Metagente-soft/METAGENTE/data/train_data.csv,50,49,49
merged,hard_skills,it,hard_skills,Metagente-hard/METAGENTE/data/IT/hard_train.csv,50,50,49
merged,hard_skills,journal,hard_skills,Metagente-hard/METAGENTE/data/train_data.csv,50,50,50
merged,soft_skills,it,soft_skills,Metagente-soft/METAGENTE/data/IT/soft_train.csv,50,50,48
merged,soft_skills,journal,soft_skills,Metagente-soft/METAGENTE/data/train_data.csv,50,49,49
merged,distinct_skills,it,distinct_skills,Metagente-distinct/METAGENTE/data/IT/distinct_train.csv,30,30,30
merged,distinct_skills,journal,distinct_skills,Metagente-distinct/METAGENTE/data/train_data.csv,50,49,47
merged,must_have,it,must_have,Metagente-must/METAGENTE/data/IT/must_have_train.csv,50,50,50
merged,must_have,journal,must_have,Metagente-must/METAGENTE/data/train_data.csv,50,50,50
merged,nice_to_have,it,nice_to_have,Metagente-nice/METAGENTE/data/IT/nice_to_have_train.csv,50,50,50
merged,nice_to_have,journal,nice_to_have,Metagente-nice/METAGENTE/data/train_data.csv,50,49,49
