domain,skill,split,feature,n,mean,median,minimum,maximum
it,all_skills,all,input_words,315,430.25714285714287,426.0,25.0,947.0
it,all_skills,all,target_items,315,21.08888888888889,20.0,0.0,65.0
it,all_skills,all,target_words,315,70.35873015873015,64.0,0.0,291.0
it,all_skills,all,distinct_skills_items,315,0.5682539682539682,0.0,0.0,15.0
it,all_skills,all,hard_skills_items,315,13.088888888888889,12.0,0.0,42.0
it,all_skills,all,must_have_items,315,7.273015873015873,6.0,0.0,31.0
it,all_skills,all,nice_to_have_items,315,2.8793650793650793,1.0,0.0,24.0
it,all_skills,all,soft_skills_items,315,7.419047619047619,7.0,0.0,30.0
it,all_skills,train,input_words,126,446.6111111111111,449.5,25.0,841.0
it,all_skills,train,target_items,126,21.1984126984127,19.5,1.0,54.0
it,all_skills,train,target_words,126,70.5,64.5,2.0,222.0
it,all_skills,train,distinct_skills_items,126,0.5555555555555556,0.0,0.0,8.0
it,all_skills,train,hard_skills_items,126,13.53968253968254,12.0,1.0,42.0
it,all_skills,train,must_have_items,126,7.253968253968254,5.0,0.0,28.0
it,all_skills,train,nice_to_have_items,126,3.2777777777777777,1.5,0.0,24.0
it,all_skills,train,soft_skills_items,126,7.095238095238095,7.0,0.0,21.0
it,all_skills,validation,input_words,32,420.8125,428.5,106.0,630.0
it,all_skills,validation,target_items,32,21.125,20.0,6.0,44.0
it,all_skills,validation,target_words,32,70.28125,63.5,15.0,165.0
it,all_skills,validation,distinct_skills_items,32,0.53125,0.0,0.0,5.0
it,all_skills,validation,hard_skills_items,32,13.25,12.0,2.0,35.0
it,all_skills,validation,must_have_items,32,7.1875,5.5,0.0,19.0
it,all_skills,validation,nice_to_have_items,32,3.0,0.0,0.0,19.0
it,all_skills,validation,soft_skills_items,32,7.3125,7.0,0.0,17.0
it,all_skills,test,input_words,157,419.05732484076435,407.0,50.0,947.0
it,all_skills,test,target_items,157,20.993630573248407,20.0,0.0,65.0
it,all_skills,test,target_words,157,70.26114649681529,64.0,0.0,291.0
it,all_skills,test,distinct_skills_items,157,0.5859872611464968,0.0,0.0,15.0
it,all_skills,test,hard_skills_items,157,12.694267515923567,11.0,0.0,35.0
it,all_skills,test,must_have_items,157,7.305732484076433,6.0,0.0,31.0
it,all_skills,test,nice_to_have_items,157,2.535031847133758,0.0,0.0,22.0
it,all_skills,test,soft_skills_items,157,7.7006369426751595,7.0,0.0,30.0
it,hard_skills,all,input_words,313,431.7667731629393,426.0,25.0,947.0
it,hard_skills,all,target_items,313,13.485623003194888,12.0,1.0,45.0
it,hard_skills,all,target_words,313,39.242811501597444,32.0,1.0,188.0
it,hard_skills,train,input_words,125,432.824,428.0,117.0,947.0
it,hard_skills,train,target_items,125,13.512,12.0,2.0,45.0
it,hard_skills,train,target_words,125,39.32,32.0,2.0,142.0
it,hard_skills,validation,input_words,31,434.61290322580646,426.0,106.0,691.0
it,hard_skills,validation,target_items,31,13.612903225806452,11.0,2.0,27.0
it,hard_skills,validation,target_words,31,39.516129032258064,34.0,7.0,129.0
it,hard_skills,test,input_words,157,430.3630573248408,426.0,25.0,832.0
it,hard_skills,test,target_items,157,13.439490445859873,12.0,1.0,42.0
