id,label_type,p1_count,p2_count,exact_cov_p1,exact_cov_p2,exact_ratio_p1,exact_ratio_p2,bm25_cov_p1,bm25_cov_p2,bm25_ratio_p1,bm25_ratio_p2,embed_cov_p1,embed_cov_p2,embed_ratio_p1,embed_ratio_p2,hybrid_cov_p1,hybrid_cov_p2,hybrid_ratio_p1,hybrid_ratio_p2,p1_merge_exact,p2_merge_exact,p1_merge_count_exact,p2_merge_count_exact,overlap_merge_count_exact,ratio_p1_merge_exact,ratio_p2_merge_exact,p1_merge_bm25,p2_merge_bm25,p1_merge_count_bm25,p2_merge_count_bm25,overlap_merge_count_bm25,ratio_p1_merge_bm25,ratio_p2_merge_bm25,p1_merge_embed,p2_merge_embed,p1_merge_count_embed,p2_merge_count_embed,overlap_merge_count_embed,ratio_p1_merge_embed,ratio_p2_merge_embed,p1_merge_hybrid,p2_merge_hybrid,p1_merge_count_hybrid,p2_merge_count_hybrid,overlap_merge_count_hybrid,ratio_p1_merge_hybrid,ratio_p2_merge_hybrid,p1_skills,p2_skills
f59d09ccfa4a54dd57711ffda74fea02e67ce4d8,distinct_skills,1,1,0,0,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor,arbetar med att bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor,1,1,0,0.0,0.0,bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor,arbetar med att bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor,1,1,1,1.0,1.0,bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor,arbetar med att bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor,1,1,1,1.0,1.0,bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor,arbetar med att bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor,1,1,1,1.0,1.0,bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor,arbetar med att bevaka och engagerar sig i frågor som berör yttrandefrihet och andra hållbarhetsrelaterade frågor
d5172071254de3c73d73037baef0b2833e11cf3c,distinct_skills,4,4,3,3,0.75,0.75,4,4,1.0,1.0,4,4,1.0,1.0,4,4,1.0,1.0,"""[skapa kvalitativa nyhetsartiklar som täcker viktiga händelser och trender inom bygg- | infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden""","infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden"" | ""[täcker viktiga händelser och trender inom bygg-",4,4,3,0.75,0.75,"""[skapa kvalitativa nyhetsartiklar som täcker viktiga händelser och trender inom bygg- | infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden""","""[täcker viktiga händelser och trender inom bygg- | infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden""",4,4,4,1.0,1.0,"""[skapa kvalitativa nyhetsartiklar som täcker viktiga händelser och trender inom bygg- | infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden""","""[täcker viktiga händelser och trender inom bygg- | infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden""",4,4,4,1.0,1.0,"""[skapa kvalitativa nyhetsartiklar som täcker viktiga händelser och trender inom bygg- | infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden""","""[täcker viktiga händelser och trender inom bygg- | infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden""",4,4,4,1.0,1.0,"""[skapa kvalitativa nyhetsartiklar som täcker viktiga händelser och trender inom bygg- | infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden""","""[täcker viktiga händelser och trender inom bygg- | infrastruktur- | energi- och industribranschen] | ett passionerat intresse för näringslivet i Sverige och Norden"""
35bb619d3c90e8bf6a8821807d654df19233d6aa,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
7b23814e7425186af7377136e829cbc29b02ed66,distinct_skills,3,3,2,2,0.6666666666666666,0.6666666666666666,3,3,1.0,1.0,3,3,1.0,1.0,3,3,1.0,1.0,"""sportkompetens | [bevaka allt mellan fotboll | löpning och personliga livsöden kopplat till sportens värld]""","""sportkompetens | löpning och personliga livsöden kopplat till sportens värld]"" | [redo att bevaka allt mellan fotboll",3,3,2,0.6666666666666666,0.6666666666666666,"""sportkompetens | [bevaka allt mellan fotboll | löpning och personliga livsöden kopplat till sportens värld]""","""sportkompetens | [redo att bevaka allt mellan fotboll | löpning och personliga livsöden kopplat till sportens värld]""",3,3,3,1.0,1.0,"""sportkompetens | [bevaka allt mellan fotboll | löpning och personliga livsöden kopplat till sportens värld]""","""sportkompetens | [redo att bevaka allt mellan fotboll | löpning och personliga livsöden kopplat till sportens värld]""",3,3,3,1.0,1.0,"""sportkompetens | [bevaka allt mellan fotboll | löpning och personliga livsöden kopplat till sportens värld]""","""sportkompetens | [redo att bevaka allt mellan fotboll | löpning och personliga livsöden kopplat till sportens värld]""",3,3,3,1.0,1.0,"""sportkompetens | [bevaka allt mellan fotboll | löpning och personliga livsöden kopplat till sportens värld]""","""sportkompetens | [redo att bevaka allt mellan fotboll | löpning och personliga livsöden kopplat till sportens värld]"""
4cd6b635b61047bc185dec277661f26ebe18572f,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
deffaf8f3238f2c69621ad3e36db1ef1eeeb1f92,distinct_skills,3,4,1,1,0.3333333333333333,0.25,3,3,1.0,0.75,3,3,1.0,0.75,3,3,1.0,0.75,"""stort hockeyintresse | bevakar du den lokala sporten med särskilt fokus på Modo hockey | levererar varje dag kring både hockeylaget och klubben""","""stort hockeyintresse | levererar varje dag kring både hockeylaget och klubben | analysera senaste matchen och göra ett djupare porträtt på en Modo-spelare | först med det senaste om Modo Hockey""",3,4,1,0.3333333333333333,0.25,"""stort hockeyintresse | bevakar du den lokala sporten med särskilt fokus på Modo hockey | levererar varje dag kring både hockeylaget och klubben""","""stort hockeyintresse | först med det senaste om Modo Hockey"" | levererar varje dag kring både hockeylaget och klubben | analysera senaste matchen och göra ett djupare porträtt på en Modo-spelare",3,4,3,1.0,0.75,"""stort hockeyintresse | bevakar du den lokala sporten med särskilt fokus på Modo hockey | levererar varje dag kring både hockeylaget och klubben""","""stort hockeyintresse | först med det senaste om Modo Hockey"" | levererar varje dag kring både hockeylaget och klubben | analysera senaste matchen och göra ett djupare porträtt på en Modo-spelare",3,4,3,1.0,0.75,"""stort hockeyintresse | bevakar du den lokala sporten med särskilt fokus på Modo hockey | levererar varje dag kring både hockeylaget och klubben""","""stort hockeyintresse | först med det senaste om Modo Hockey"" | levererar varje dag kring både hockeylaget och klubben | analysera senaste matchen och göra ett djupare porträtt på en Modo-spelare",3,4,3,1.0,0.75,"""stort hockeyintresse | bevakar du den lokala sporten med särskilt fokus på Modo hockey | levererar varje dag kring både hockeylaget och klubben""","""stort hockeyintresse | levererar varje dag kring både hockeylaget och klubben | analysera senaste matchen och göra ett djupare porträtt på en Modo-spelare | först med det senaste om Modo Hockey"""
e609ba21dc9d608f0185bebc595ca0f3467342d8,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
63f139518fd1821c988b8ce2cfbfd619dfffcf31,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
72b521802da89adc7e2bca1d595a3eadd5a2dc06,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
110a040332b6ed250057f7697da62bdd46f00d64,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
