label_type,method,overlap_rows,exact_first,lexical_guard,bm25_threshold,embed_threshold,hybrid_threshold,alpha_embed,macro_precision_avg,macro_recall_avg,macro_f1_avg,micro_exact,micro_extra,micro_matched_total,micro_total_p1_items,micro_total_p2_items,micro_precision,micro_recall,micro_f1
hard_skills,exact_only,35,True,True,1.5,0.72,0.69,0.75,0.5084906929780495,0.44339737576232585,0.47090819569196124,283,0,283,557,654,0.5080789946140036,0.4327217125382263,0.4673823286540049
hard_skills,bm25_only,35,True,True,1.5,0.72,0.69,0.75,0.9688087598675833,0.9356578744532759,0.9506452470940943,283,259,542,557,654,0.9730700179533214,0.9388379204892966,0.9556475118670544
hard_skills,embed_only,35,True,True,1.5,0.72,0.69,0.75,0.9145408391848309,0.8195221310919061,0.8621449783077361,283,228,511,557,654,0.9174147217235189,0.8134556574923547,0.8623132091391522
hard_skills,hybrid,35,True,True,1.5,0.72,0.69,0.75,0.9424634140118631,0.820574887323724,0.8726934239529006,283,243,526,557,654,0.9443447037701975,0.808868501529052,0.8713722702483493
distinct_skills,exact_only,35,True,True,1.5,0.72,0.69,0.75,0.3892857142857143,0.38690476190476186,0.3874716553287982,11,0,11,41,29,0.2682926829268293,0.3793103448275862,0.3142857142857143
distinct_skills,bm25_only,35,True,True,1.5,0.72,0.69,0.75,0.7571428571428571,0.75,0.7517006802721088,11,13,24,41,29,0.5853658536585366,0.8275862068965517,0.6857142857142856
distinct_skills,embed_only,35,True,True,1.5,0.72,0.69,0.75,0.7535714285714287,0.7678571428571429,0.7573696145124716,11,13,24,41,29,0.5853658536585366,0.8620689655172413,0.6972690296339338
distinct_skills,hybrid,35,True,True,1.5,0.72,0.69,0.75,0.8964285714285715,0.875,0.8764172335600906,11,16,27,41,29,0.6585365853658537,0.9310344827586207,0.7714285714285715
must_have,exact_only,35,True,True,1.5,0.72,0.69,0.75,0.5704925189416189,0.5411560530431858,0.551272566094989,522,0,522,904,981,0.577433628318584,0.5321100917431193,0.5538461538461539
must_have,bm25_only,35,True,True,1.5,0.72,0.69,0.75,0.9738395098195762,0.9532523675517511,0.9612898576159021,522,365,887,904,981,0.9811946902654868,0.9480122324159022,0.9643180913536822
must_have,embed_only,35,True,True,1.5,0.72,0.69,0.75,0.9239673404274296,0.8869460315103053,0.9002238018529762,522,317,839,904,981,0.9280973451327433,0.8756371049949032,0.901104342036578
must_have,hybrid,35,True,True,1.5,0.72,0.69,0.75,0.9511198726703416,0.8884168142924368,0.9130226549451343,522,343,865,904,981,0.956858407079646,0.8746177370030581,0.9138916030506151
nice_to_have,exact_only,35,True,True,1.5,0.72,0.69,0.75,0.6319444444444444,0.6319444444444444,0.6319444444444444,13,0,13,21,22,0.6190476190476191,0.5909090909090909,0.6046511627906977
nice_to_have,bm25_only,35,True,True,1.5,0.72,0.69,0.75,0.8958333333333334,0.8541666666666666,0.8680555555555555,13,6,19,21,22,0.9047619047619048,0.8636363636363636,0.8837209302325582
nice_to_have,embed_only,35,True,True,1.5,0.72,0.69,0.75,1.0,0.9583333333333334,0.9722222222222222,13,8,21,21,22,1.0,0.9545454545454546,0.9767441860465117
nice_to_have,hybrid,35,True,True,1.5,0.72,0.69,0.75,1.0,0.9583333333333334,0.9722222222222222,13,8,21,21,22,1.0,0.9545454545454546,0.9767441860465117
soft_skills,exact_only,35,True,True,1.5,0.72,0.69,0.75,0.639655652824102,0.6979003740367377,0.6590130795629779,217,0,217,343,326,0.6326530612244898,0.6656441717791411,0.6487294469357251
soft_skills,bm25_only,35,True,True,1.5,0.72,0.69,0.75,0.8645780986690078,0.9031080031080032,0.8720596278140408,217,81,298,343,326,0.8688046647230321,0.8834355828220859,0.876059040891738
soft_skills,embed_only,35,True,True,1.5,0.72,0.69,0.75,0.8321958517814132,0.8933793058793058,0.8501790628797166,217,69,286,343,326,0.8338192419825073,0.8680981595092024,0.8506134888731247
soft_skills,hybrid,35,True,True,1.5,0.72,0.69,0.75,0.852217143126234,0.8967463092463093,0.8629329034683437,217,77,294,343,326,0.8571428571428571,0.8711656441717791,0.8640973630831642
