id,label_type,p1_count,p2_count,exact_cov_p1,exact_cov_p2,exact_ratio_p1,exact_ratio_p2,bm25_cov_p1,bm25_cov_p2,bm25_ratio_p1,bm25_ratio_p2,embed_cov_p1,embed_cov_p2,embed_ratio_p1,embed_ratio_p2,hybrid_cov_p1,hybrid_cov_p2,hybrid_ratio_p1,hybrid_ratio_p2,p1_merge_exact,p2_merge_exact,p1_merge_count_exact,p2_merge_count_exact,overlap_merge_count_exact,ratio_p1_merge_exact,ratio_p2_merge_exact,p1_merge_bm25,p2_merge_bm25,p1_merge_count_bm25,p2_merge_count_bm25,overlap_merge_count_bm25,ratio_p1_merge_bm25,ratio_p2_merge_bm25,p1_merge_embed,p2_merge_embed,p1_merge_count_embed,p2_merge_count_embed,overlap_merge_count_embed,ratio_p1_merge_embed,ratio_p2_merge_embed,p1_merge_hybrid,p2_merge_hybrid,p1_merge_count_hybrid,p2_merge_count_hybrid,overlap_merge_count_hybrid,ratio_p1_merge_hybrid,ratio_p2_merge_hybrid,p1_skills,p2_skills
f59d09ccfa4a54dd57711ffda74fea02e67ce4d8,soft_skills,1,1,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,gillar att jobba i team,gillar att jobba i team,1,1,1,1.0,1.0,gillar att jobba i team,gillar att jobba i team,1,1,1,1.0,1.0,gillar att jobba i team,gillar att jobba i team,1,1,1,1.0,1.0,gillar att jobba i team,gillar att jobba i team,1,1,1,1.0,1.0,gillar att jobba i team,gillar att jobba i team
d5172071254de3c73d73037baef0b2833e11cf3c,soft_skills,5,6,4,4,0.8,0.6666666666666666,5,5,1.0,0.8333333333333334,5,5,1.0,0.8333333333333334,5,5,1.0,0.8333333333333334,"""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | nyfiken | självgående""","""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | självgående"" | är en nyfiken person | duktig på att nyhetsvärdera",5,6,4,0.8,0.6666666666666666,"""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | nyfiken | självgående""","""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | är en nyfiken person | självgående"" | duktig på att nyhetsvärdera",5,6,5,1.0,0.8333333333333334,"""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | nyfiken | självgående""","""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | är en nyfiken person | självgående"" | duktig på att nyhetsvärdera",5,6,5,1.0,0.8333333333333334,"""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | nyfiken | självgående""","""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | är en nyfiken person | självgående"" | duktig på att nyhetsvärdera",5,6,5,1.0,0.8333333333333334,"""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | nyfiken | självgående""","""passionerad | gillar att jobba både självständigt och tillsammans med andra | samarbeta med våra övriga avdelningar | är en nyfiken person | duktig på att nyhetsvärdera | självgående"""
35bb619d3c90e8bf6a8821807d654df19233d6aa,soft_skills,17,16,12,12,0.7058823529411765,0.75,17,16,1.0,1.0,15,15,0.8823529411764706,0.9375,17,15,1.0,0.9375,"""ett starkt eget driv | engagerande | vill att dina medarbetare ska trivas på jobbet | tydlig med dina förväntningar | tycker det är roligt att se människor utvecklas | tycka om att vara i händelsernas centrum | självständig | lyhörd | vill nå resultat | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""","engagerande | vill att dina medarbetare ska trivas på jobbet | tycka om att vara i händelsernas centrum | självständig | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande"" | ""har ett starkt eget driv | tydlig med dina förväntningar och tycker det är roligt att se människor utvecklas | lyhörd och vill nå resultat | drivs du av att jobba med människor – både medarbetare och läsare",17,16,12,0.7058823529411765,0.75,"""ett starkt eget driv + har en positiv anda | engagerande | vill att dina medarbetare ska trivas på jobbet + tydlig med dina förväntningar + tycker det är roligt att se människor utvecklas + lyhörd + vill nå resultat | tycka om att vara i händelsernas centrum | självständig | lyhörda | målinriktade | nyfikna | snabba till förändring | förlåtande | toleranta | inkluderande""","""har ett starkt eget driv + har en positiv anda | engagerande | vill att dina medarbetare ska trivas på jobbet + tydlig med dina förväntningar och tycker det är roligt att se människor utvecklas + lyhörd och vill nå resultat + drivs du av att jobba med människor – både medarbetare och läsare | tycka om att vara i händelsernas centrum | självständig | lyhörda | målinriktade | nyfikna | snabba till förändring | förlåtande | toleranta | inkluderande""",12,12,12,1.0,1.0,"""ett starkt eget driv | engagerande | vill att dina medarbetare ska trivas på jobbet | tydlig med dina förväntningar | tycker det är roligt att se människor utvecklas | tycka om att vara i händelsernas centrum | självständig | lyhörd | vill nå resultat | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""","""har ett starkt eget driv | engagerande | vill att dina medarbetare ska trivas på jobbet | tydlig med dina förväntningar och tycker det är roligt att se människor utvecklas | tycka om att vara i händelsernas centrum | självständig | lyhörd och vill nå resultat | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande"" | drivs du av att jobba med människor – både medarbetare och läsare",17,16,15,0.8823529411764706,0.9375,"""ett starkt eget driv | engagerande | vill att dina medarbetare ska trivas på jobbet | tydlig med dina förväntningar + tycker det är roligt att se människor utvecklas | tycka om att vara i händelsernas centrum | självständig | lyhörd + vill nå resultat | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""","""har ett starkt eget driv | engagerande | vill att dina medarbetare ska trivas på jobbet | tydlig med dina förväntningar och tycker det är roligt att se människor utvecklas | tycka om att vara i händelsernas centrum | självständig | lyhörd och vill nå resultat | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande"" | drivs du av att jobba med människor – både medarbetare och läsare",15,16,15,1.0,0.9375,"""ett starkt eget driv | engagerande | vill att dina medarbetare ska trivas på jobbet | tydlig med dina förväntningar | tycker det är roligt att se människor utvecklas | tycka om att vara i händelsernas centrum | självständig | lyhörd | vill nå resultat | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""","""har ett starkt eget driv | engagerande | vill att dina medarbetare ska trivas på jobbet | tydlig med dina förväntningar och tycker det är roligt att se människor utvecklas | tycka om att vara i händelsernas centrum | självständig | lyhörd och vill nå resultat | drivs du av att jobba med människor – både medarbetare och läsare | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande"""
7b23814e7425186af7377136e829cbc29b02ed66,soft_skills,14,13,12,12,0.8571428571428571,0.9230769230769231,13,13,0.9285714285714286,1.0,13,13,0.9285714285714286,1.0,13,13,0.9285714285714286,1.0,stort engagemang | nyfiken | flexibel | kan sätta dig in i nya frågor | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande,"nyfiken | flexibel | kan sätta dig in i nya frågor | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""",14,13,12,0.8571428571428571,0.9230769230769231,stort engagemang | nyfiken | flexibel | kan sätta dig in i nya frågor | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande,"nyfiken | flexibel | kan sätta dig in i nya frågor | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""",14,13,13,0.9285714285714286,1.0,stort engagemang | nyfiken | flexibel | kan sätta dig in i nya frågor | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande,"nyfiken | flexibel | kan sätta dig in i nya frågor | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""",14,13,13,0.9285714285714286,1.0,stort engagemang | nyfiken | flexibel | kan sätta dig in i nya frågor | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande,"nyfiken | flexibel | kan sätta dig in i nya frågor | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""",14,13,13,0.9285714285714286,1.0,stort engagemang | nyfiken | flexibel | kan sätta dig in i nya frågor | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande,"kreativ | nyfiken | kommer med egna idéer | kan sätta dig in i nya frågor | flexibel | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande"""
4cd6b635b61047bc185dec277661f26ebe18572f,soft_skills,8,6,3,3,0.375,0.5,5,5,0.625,0.8333333333333334,6,6,0.75,1.0,6,6,0.75,1.0,"idérik | självgående | strukturerad | flexibel | snabb | kreativ | Bred allmänbildning | har ett brett kontaktnät i olika delar av samhället""","självgående | strukturerad | snabb | ""idérik | är flexibel | kreativ""",8,6,3,0.375,0.5,"idérik | självgående | strukturerad | flexibel | snabb | kreativ | Bred allmänbildning | har ett brett kontaktnät i olika delar av samhället""","""idérik | självgående | strukturerad | snabb | kreativ"" | är flexibel",8,6,5,0.625,0.8333333333333334,"idérik | självgående | strukturerad | flexibel | snabb | kreativ | Bred allmänbildning | har ett brett kontaktnät i olika delar av samhället""","""idérik | självgående | strukturerad | är flexibel | snabb | kreativ""",8,6,6,0.75,1.0,"idérik | självgående | strukturerad | flexibel | snabb | kreativ | Bred allmänbildning | har ett brett kontaktnät i olika delar av samhället""","""idérik | självgående | strukturerad | är flexibel | snabb | kreativ""",8,6,6,0.75,1.0,"idérik | självgående | strukturerad | flexibel | snabb | kreativ | Bred allmänbildning | har ett brett kontaktnät i olika delar av samhället""","""idérik | självgående | strukturerad | är flexibel | snabb | kreativ"""
deffaf8f3238f2c69621ad3e36db1ef1eeeb1f92,soft_skills,4,3,3,3,0.75,1.0,3,3,0.75,1.0,3,3,0.75,1.0,3,3,0.75,1.0,"""driven | är bra på att knyta kontakter | gillar att jobba i ett högt tempo | en framåt person""","""driven | gillar att jobba i ett högt tempo | en framåt person""",4,3,3,0.75,1.0,"""driven | är bra på att knyta kontakter | gillar att jobba i ett högt tempo | en framåt person""","""driven | gillar att jobba i ett högt tempo | en framåt person""",4,3,3,0.75,1.0,"""driven | är bra på att knyta kontakter | gillar att jobba i ett högt tempo | en framåt person""","""driven | gillar att jobba i ett högt tempo | en framåt person""",4,3,3,0.75,1.0,"""driven | är bra på att knyta kontakter | gillar att jobba i ett högt tempo | en framåt person""","""driven | gillar att jobba i ett högt tempo | en framåt person""",4,3,3,0.75,1.0,"""driven | är bra på att knyta kontakter | gillar att jobba i ett högt tempo | en framåt person""","""driven | gillar att jobba i ett högt tempo | en framåt person"""
e609ba21dc9d608f0185bebc595ca0f3467342d8,soft_skills,10,9,5,5,0.5,0.5555555555555556,10,9,1.0,1.0,8,8,0.8,0.8888888888888888,10,9,1.0,1.0,"""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | trivs att jobba i team | är lyhörd för andras behov | har inga problem med att arbeta självständigt när jobbet kräver detta | tycker om att ta saker från ide till färdig produkt | [uppskattar att jobba i ett öppet klimat | nära dina kolleger där man hjälps åt | backar upp varandra och har kul på jobbet]""","""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | tycker om att ta saker från ide till färdig produkt | nära dina kolleger där man hjälps åt | [trivs att jobba i team och är lyhörd för andras behov | men har inga problem med att arbeta självständigt när jobbet kräver detta] | uppskattar att jobba i ett öppet klimat | backar upp varandra""",10,9,5,0.5,0.5555555555555556,"""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | trivs att jobba i team + är lyhörd för andras behov + [uppskattar att jobba i ett öppet klimat | har inga problem med att arbeta självständigt när jobbet kräver detta + backar upp varandra och har kul på jobbet]"" | tycker om att ta saker från ide till färdig produkt | nära dina kolleger där man hjälps åt","""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | [trivs att jobba i team och är lyhörd för andras behov + uppskattar att jobba i ett öppet klimat | men har inga problem med att arbeta självständigt när jobbet kräver detta] + backar upp varandra"" | tycker om att ta saker från ide till färdig produkt | nära dina kolleger där man hjälps åt",7,7,7,1.0,1.0,"""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | trivs att jobba i team | är lyhörd för andras behov | har inga problem med att arbeta självständigt när jobbet kräver detta | tycker om att ta saker från ide till färdig produkt | [uppskattar att jobba i ett öppet klimat | nära dina kolleger där man hjälps åt | backar upp varandra och har kul på jobbet]""","""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | [trivs att jobba i team och är lyhörd för andras behov | men har inga problem med att arbeta självständigt när jobbet kräver detta] | tycker om att ta saker från ide till färdig produkt | uppskattar att jobba i ett öppet klimat | nära dina kolleger där man hjälps åt | backar upp varandra""",10,9,8,0.8,0.8888888888888888,"""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | trivs att jobba i team + är lyhörd för andras behov | har inga problem med att arbeta självständigt när jobbet kräver detta | tycker om att ta saker från ide till färdig produkt | [uppskattar att jobba i ett öppet klimat | nära dina kolleger där man hjälps åt | backar upp varandra och har kul på jobbet]""","""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | [trivs att jobba i team och är lyhörd för andras behov | men har inga problem med att arbeta självständigt när jobbet kräver detta] | tycker om att ta saker från ide till färdig produkt | uppskattar att jobba i ett öppet klimat | nära dina kolleger där man hjälps åt | backar upp varandra""",9,9,9,1.0,1.0,"""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | trivs att jobba i team | är lyhörd för andras behov | har inga problem med att arbeta självständigt när jobbet kräver detta | tycker om att ta saker från ide till färdig produkt | [uppskattar att jobba i ett öppet klimat | nära dina kolleger där man hjälps åt | backar upp varandra och har kul på jobbet]""","""lösningsorienterad | självgående | hanterar många bollar i luften samtidigt | [trivs att jobba i team och är lyhörd för andras behov | men har inga problem med att arbeta självständigt när jobbet kräver detta] | tycker om att ta saker från ide till färdig produkt | uppskattar att jobba i ett öppet klimat | nära dina kolleger där man hjälps åt | backar upp varandra"""
63f139518fd1821c988b8ce2cfbfd619dfffcf31,soft_skills,4,4,3,3,0.75,0.75,4,4,1.0,1.0,4,4,1.0,1.0,4,4,1.0,1.0,"""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat""","""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat """,4,4,3,0.75,0.75,"""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat""","""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat """,4,4,4,1.0,1.0,"""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat""","""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat """,4,4,4,1.0,1.0,"""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat""","""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat """,4,4,4,1.0,1.0,"""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat""","""nyfiken | idérik | noggrann | skapa ett schysst och härligt arbetsklimat """
72b521802da89adc7e2bca1d595a3eadd5a2dc06,soft_skills,16,13,12,12,0.75,0.9230769230769231,13,13,0.8125,1.0,13,13,0.8125,1.0,13,13,0.8125,1.0,"""jobbar vi i högt tempo | tar feedbacken på allvar | bygger upp ditt eget nätverk och kontakter | stort engagemang | nyfiken | gillar att jobba i en händelsestyrd vardag där oplanerade arbetsuppgifter inträffar | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""","""jobbar vi i högt tempo | nyfiken | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande"" | gillar att jobba i en händelsestyrd vardag",16,13,12,0.75,0.9230769230769231,"""jobbar vi i högt tempo | tar feedbacken på allvar | bygger upp ditt eget nätverk och kontakter | stort engagemang | nyfiken | gillar att jobba i en händelsestyrd vardag där oplanerade arbetsuppgifter inträffar | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""","""jobbar vi i högt tempo | nyfiken | gillar att jobba i en händelsestyrd vardag | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""",16,13,13,0.8125,1.0,"""jobbar vi i högt tempo | tar feedbacken på allvar | bygger upp ditt eget nätverk och kontakter | stort engagemang | nyfiken | gillar att jobba i en händelsestyrd vardag där oplanerade arbetsuppgifter inträffar | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""","""jobbar vi i högt tempo | nyfiken | gillar att jobba i en händelsestyrd vardag | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""",16,13,13,0.8125,1.0,"""jobbar vi i högt tempo | tar feedbacken på allvar | bygger upp ditt eget nätverk och kontakter | stort engagemang | nyfiken | gillar att jobba i en händelsestyrd vardag där oplanerade arbetsuppgifter inträffar | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""","""jobbar vi i högt tempo | nyfiken | gillar att jobba i en händelsestyrd vardag | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""",16,13,13,0.8125,1.0,"""jobbar vi i högt tempo | tar feedbacken på allvar | bygger upp ditt eget nätverk och kontakter | stort engagemang | nyfiken | gillar att jobba i en händelsestyrd vardag där oplanerade arbetsuppgifter inträffar | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande""","""jobbar vi i högt tempo | nyfiken | gillar att jobba i en händelsestyrd vardag | kreativ | kommer med egna idéer | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande"""
110a040332b6ed250057f7697da62bdd46f00d64,soft_skills,13,13,10,10,0.7692307692307693,0.7692307692307693,13,13,1.0,1.0,13,13,1.0,1.0,13,13,1.0,1.0,"""lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | snabb | jobbar vi i högt tempo""","målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | ""jobbar vi i högt tempo | lyhörda | snabb""",13,13,10,0.7692307692307693,0.7692307692307693,"""lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | snabb | jobbar vi i högt tempo""","lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | snabb"" | ""jobbar vi i högt tempo",13,13,13,1.0,1.0,"""lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | snabb | jobbar vi i högt tempo""","lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | snabb"" | ""jobbar vi i högt tempo",13,13,13,1.0,1.0,"""lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | snabb | jobbar vi i högt tempo""","lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | snabb"" | ""jobbar vi i högt tempo",13,13,13,1.0,1.0,"""lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | snabb | jobbar vi i högt tempo""","""jobbar vi i högt tempo | lyhörda | målinriktade | nyfikna | snabba till förändring | har en positiv anda | förlåtande | toleranta | inkluderande | nyfiken | kommunikativ | flexibel | snabb"""
