id,label_type,p1_count,p2_count,exact_cov_p1,exact_cov_p2,exact_ratio_p1,exact_ratio_p2,bm25_cov_p1,bm25_cov_p2,bm25_ratio_p1,bm25_ratio_p2,embed_cov_p1,embed_cov_p2,embed_ratio_p1,embed_ratio_p2,hybrid_cov_p1,hybrid_cov_p2,hybrid_ratio_p1,hybrid_ratio_p2,p1_merge_exact,p2_merge_exact,p1_merge_count_exact,p2_merge_count_exact,overlap_merge_count_exact,ratio_p1_merge_exact,ratio_p2_merge_exact,p1_merge_bm25,p2_merge_bm25,p1_merge_count_bm25,p2_merge_count_bm25,overlap_merge_count_bm25,ratio_p1_merge_bm25,ratio_p2_merge_bm25,p1_merge_embed,p2_merge_embed,p1_merge_count_embed,p2_merge_count_embed,overlap_merge_count_embed,ratio_p1_merge_embed,ratio_p2_merge_embed,p1_merge_hybrid,p2_merge_hybrid,p1_merge_count_hybrid,p2_merge_count_hybrid,overlap_merge_count_hybrid,ratio_p1_merge_hybrid,ratio_p2_merge_hybrid,p1_skills,p2_skills
f59d09ccfa4a54dd57711ffda74fea02e67ce4d8,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
d5172071254de3c73d73037baef0b2833e11cf3c,nice_to_have,1,1,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,fler språk,fler språk,1,1,1,1.0,1.0,fler språk,fler språk,1,1,1,1.0,1.0,fler språk,fler språk,1,1,1,1.0,1.0,fler språk,fler språk,1,1,1,1.0,1.0,fler språk,fler språk
35bb619d3c90e8bf6a8821807d654df19233d6aa,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
7b23814e7425186af7377136e829cbc29b02ed66,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
4cd6b635b61047bc185dec277661f26ebe18572f,nice_to_have,2,2,1,1,0.5,0.5,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,"""har ett brett kontaktnät i olika delar av samhället | kan flera språk""","kan flera språk"" | ""en fördel om du har ett brett kontaktnät i olika delar av samhället",2,2,1,0.5,0.5,"""har ett brett kontaktnät i olika delar av samhället | kan flera språk""","""en fördel om du har ett brett kontaktnät i olika delar av samhället | kan flera språk""",2,2,2,1.0,1.0,"""har ett brett kontaktnät i olika delar av samhället | kan flera språk""","""en fördel om du har ett brett kontaktnät i olika delar av samhället | kan flera språk""",2,2,2,1.0,1.0,"""har ett brett kontaktnät i olika delar av samhället | kan flera språk""","""en fördel om du har ett brett kontaktnät i olika delar av samhället | kan flera språk""",2,2,2,1.0,1.0,"""har ett brett kontaktnät i olika delar av samhället | kan flera språk""","""en fördel om du har ett brett kontaktnät i olika delar av samhället | kan flera språk"""
deffaf8f3238f2c69621ad3e36db1ef1eeeb1f92,nice_to_have,1,2,0,0,0.0,0.0,1,1,1.0,0.5,1,1,1.0,0.5,1,1,1.0,0.5,gillar att jobba med ljud,"""[producerar också en podcast | så det är ett stort plus om du gillar att jobba med ljud]""",1,2,0,0.0,0.0,gillar att jobba med ljud,"så det är ett stort plus om du gillar att jobba med ljud]"" | ""[producerar också en podcast",1,2,1,1.0,0.5,gillar att jobba med ljud,"så det är ett stort plus om du gillar att jobba med ljud]"" | ""[producerar också en podcast",1,2,1,1.0,0.5,gillar att jobba med ljud,"så det är ett stort plus om du gillar att jobba med ljud]"" | ""[producerar också en podcast",1,2,1,1.0,0.5,gillar att jobba med ljud,"""[producerar också en podcast | så det är ett stort plus om du gillar att jobba med ljud]"""
e609ba21dc9d608f0185bebc595ca0f3467342d8,nice_to_have,3,4,0,0,0.0,0.0,0,0,0.0,0.0,2,2,0.6666666666666666,0.5,3,3,1.0,0.75,"""kriskommunikation | [samiska | meänkieli och finska. Kunskaper i något av dessa språk ]""","""arbete med kriskommunikation | samiska | meänkieli | finska""",3,4,0,0.0,0.0,"""kriskommunikation | [samiska | meänkieli och finska. Kunskaper i något av dessa språk ]""","""arbete med kriskommunikation | samiska | meänkieli | finska""",3,4,0,0.0,0.0,"""kriskommunikation | [samiska | meänkieli och finska. Kunskaper i något av dessa språk ]""","""arbete med kriskommunikation | samiska | meänkieli | finska""",3,4,2,0.6666666666666666,0.5,"""kriskommunikation | [samiska | meänkieli och finska. Kunskaper i något av dessa språk ]""","""arbete med kriskommunikation | samiska | meänkieli | finska""",3,4,3,1.0,0.75,"""kriskommunikation | [samiska | meänkieli och finska. Kunskaper i något av dessa språk ]""","""arbete med kriskommunikation | samiska | meänkieli | finska"""
63f139518fd1821c988b8ce2cfbfd619dfffcf31,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
72b521802da89adc7e2bca1d595a3eadd5a2dc06,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
110a040332b6ed250057f7697da62bdd46f00d64,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
