id,label_type,method,p1_count,p2_count,exact_matches,extra_matches,matched_total,precision,recall,f1,p1_skills,p2_skills
e949b3bd073a741410dd42e13b3826aa0d1ec8d6,hard_skills,exact_only,2,2,0,0,0,0.0,0.0,0.0,"""mjukvaruutveckling | agilt""","""olika typer av användargränssnitt | komplexa tekniska system med många ingående komponenter"
29fac269cf015bcca2c9f604379758d586e8b5fc,hard_skills,exact_only,18,10,5,0,5,0.2777777777777778,0.5,0.35714285714285715,"""Javautvecklare | kundsräkning | frontend | backend | säkerställa kvalitet genom testning | Java EE | Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande""","""frontend och backend | Java EE och Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend: Angular | Typescript och JavaScript | Enhetstester och integrationstester (JUnit eller liknande)"""
85d6d8d0f38cce1eca507e80e7d5d8aa71a4ca46,hard_skills,exact_only,5,3,0,0,0,0.0,0.0,0.0,"""mjukvaruutvecklingsmetoder | versionshantering | CI/CD | C++ | Linux""","""utveckling och underhåll av radarapplikationer och simulatorprodukter | C++ och Linux | mjukvaruutvecklingsmetoder (inklusive versionshantering och CI/CD)"""
8245de776aec9ab1e4ca2259a7caef9f49720139,hard_skills,exact_only,5,2,0,0,0,0.0,0.0,0.0,"""programmering | Kubernetes | AWS | Amazon EKS | mjukvaruingenjör""","""Kubernetes och AWS | Erfarenhet av Amazon EKS är meriterande"""
750fceec480cf04eab0e7cf347fa0f08279dd983,hard_skills,exact_only,25,15,5,0,5,0.2,0.3333333333333333,0.25,"""CAD-system för elschema och instrumentering | artificiell intelligens | nya teknologier | vidareutveckla cadett ELSA samt tillhörande komponenter och integrationer | Programmering av nya funktioner i vår .NET-baserade programvaruplattform | användargränssnitt | användarupplevelse | Förvaltning och vidareutveckling av befintlig kod | Integration med tredjepartsverktyg och Autodesk-plattformar | Tillämpning av AI-metoder för intelligent stöd i konstruktionen | God programmeringsvana | .NET | C# | VB.NET | desktoputveckling | WinForms | WPF eller liknande | databaser | maskininlärning | data-analys | Autodesk-produkter | AutoCAD | C++ | Git | DevOps""","""framtidens CAD-system för elschema och instrumentering | Programmering av nya funktioner i vår .NET-baserade programvaruplattform | Arbete med användargränssnitt och användarupplevelse | Förvaltning och vidareutveckling av befintlig kod | Integration med tredjepartsverktyg och Autodesk-plattformar | Tillämpning av AI-metoder för intelligent stöd i konstruktionen | God programmeringsvana | Kunskaper i .NET (C#/VB.NET) | Erfarenhet av desktoputveckling (WinForms | WPF eller liknande) | Erfarenhet av arbete med databaser | Erfarenhet av och/eller kunskap om Autodesk-produkter som AutoCAD | Kunskaper inom elschema eller industriell automation | Erfarenhet av C++ | Erfarenhet av Git och DevOps"""
b538dd3a43282b4e5b082443a9a6b253a4735608,hard_skills,exact_only,46,18,11,0,11,0.2391304347826087,0.6111111111111112,0.34375,"""tekniska utveckling | leda den strategiska riktningen för tekniken | [utveckla och underhålla företagets SaaS-plattform med fokus på hög tillgänglighet | pålitlighet och skalbarhet] | fatta tekniska beslut | säkerställa hög kvalitet i både kod och arkitektur | utveckla produkten till nästa nivå | forma företagets tekniska plattform och framtida inriktning | Elastisys managed kubernetes | PostgreSQL | Python | Node.js | Next.js | React | TypeScript | Driva utveckling av företagets SaaS-plattform | [Säkerställa att företaget har en arkitektur | kodbas och teknikstack som är säkert | skalbar | stabil och framtidssäker] | förstå och omsätta produktkrav till tekniska specifikationer | Vara teknisk kontakt mot företagets samarbetspartners och teknisk representant i kundprojekt | bygga ett robust ramverk med CI/CD | automatiserade tester | releaser | återanvändbara komponenter | Främja arbetssätt för snabb utveckling och hög kvalitet | Säkerställa att utvecklingsorganisationen minimerar teknisk skuld | Utveckla och implementera en långsiktig teknisk strategi och vision för plattformen | Utforska och utvärdera nya teknologier och verktyg | förbättra företagets produkt och utvecklingsprocess | Delta i beslutsfattande | utvecklare | designa och bygga skalbara och säkra system | uppskattar att både arbeta på en strategisk nivå mer arkitekturfrågor såväl som konkreta operativa utvecklingsfrågor | systemarkitektur | utveckla tekniska strategier | programmering | utveckling | API:er | integration | molntjänster | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer""","""bygga digitala lösningar som gör skillnad för människors liv | utveckla och underhålla SaaS-plattform | Elastisys managed kubernetes | PostgreSQL | Python | Node.js | Next.js | React | TypeScript | Säkerställa att företaget har en arkitektur | kodbas och teknikstack som är säkert | skalbar | stabil och framtidssäker | bygga ett robust ramverk med CI/CD | automatiserade tester | releaser och återanvändbara komponenter för vår SaaS-plattform | erfarenhet av att designa och bygga skalbara och säkra system | systemarkitektur och att utveckla tekniska strategier"""
83a7c818ddc9bf2d7e4b88a77ceade31e20d9ab5,hard_skills,exact_only,22,14,8,0,8,0.36363636363636365,0.5714285714285714,0.4444444444444444,"""utveckling av kritiska system | [systemering | krav | design | och arkitektur för kritiska tillämpningar] | icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet | utveckling av säkerhetskritiska system | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA""","""systemsäkerhet | utveckla morgondagens säkerhetskritiska system | har kunskap avseende standarder och framför allt deras tillämpning vid utveckling av säkerhetskritiska system | t.ex. ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 samt erfarenhet av arbete med säkerhetsanalyser | exempelvis MTBF | FMEA | FTA | HARA"""
3fc97a60224060874af390a4f38f6d8cd7e7fdcf,hard_skills,exact_only,32,12,1,0,1,0.03125,0.08333333333333333,0.045454545454545456,"""utveckla och förbättra digitala lösningar | nyutveckling | vidareutveckling av befintliga system | integration | användarnytta | hållbar arkitektur | Microsoftbaserad | backend | frontendutveckling | molntjänster (Azure) | data | användarupplevelse | [Utveckla och vidareutveckla lösningar i Microsoftmiljö – både frontend och backend] | Designa och implementera system som stödjer affärs- och verksamhetsmål | Bygga integrationer för effektivt informationsflöde mellan olika affärssystem | analys och optimering av kunddata | agilt enligt SAFe | fullstackutveckling | C# | .NET | React 17 | TypeScript | JavaScript | anpassning och utveckling av Sharepoint | API-design och systemintegration | databaser | SQL | NoSQL | molnmiljö | Microsoft Azure | agilt arbete | testdriven utveckling""",""" Teknikstacken är Microsoftbaserad och du får arbeta med såväl backend- som frontendutveckling | Utveckla och vidareutveckla lösningar i Microsoftmiljö – både frontend och backend | Bygga integrationer för effektivt informationsflöde mellan olika affärssystem | Arbeta med analys och optimering av kunddata | Gedigen kunskap inom C# och .NET | Erfarenhet av frontendutveckling med React 17 | TypeScript och JavaScript | Erfarenhet av anpassning och utveckling av Sharepoint | God förståelse för API-design och systemintegration | Erfarenhet av databaser både SQL och NoSQL | Erfarenhet av arbete i molnmiljö gärna Microsoft Azure | Erfarenhet av att arbeta i större komplexa IT-miljöer"""
cfcb2ae30a6f58604789eeb74faaca09c434a5dd,hard_skills,exact_only,8,4,2,0,2,0.25,0.5,0.3333333333333333,"""test- eller mjukvaruutveckling | implementering av funktioner i C-kod | systemering | verifiera system | testa och felsöka på både hård- och mjukvarunivå | Matlab/Simulink | C/C++ | Python""","""test- eller mjukvaruutveckling | C-kod systemering och att verifiera system | Matlab/Simulink | C/C++ eller Python"""
2a372f7eed4f4231f8c4d1a54c0bba4be8b20357,hard_skills,exact_only,22,5,0,0,0,0.0,0.0,0.0,"""ta fram lösningar | förbättrar utvecklarnas arbetsflöden | automatiserar processer | designar och bygger backend-system | Go | MongoDB | hantera metadata | spåra kodändringar | utvecklar frontend-gränssnitt | React | TypeScript | göra systemen mer lättanvända | [säkerställas att de är prestandaeffektiva | skalbara och enkla att underhålla] | optimerar även derasCI/CD-pipeline | vidareutveckla företagets DevSecOps-ekosystem | backend-utveckling | databaser | frontend-utveckling | containerisering | Docker | Kubernetes""","""utveckla innovativa DevSecOps- och Developer Experience-lösningar | inklusive ett system för hantering av metadata och en ""Follow Your Commit""-funktionalitet | Du designar och bygger backend-system i Go och MongoDB för att hantera metadata och spåra kodändringar samt utvecklar frontend-gränssnitt i React och TypeScript för att göra systemen mer lättanvända | Duoptimerar även derasCI/CD-pipeline och bidrar till att vidareutveckla företagetsDevSecOps-ekosystem | backend-utveckling databaser och/eller frontend-utveckling. Kunskap om containerisering exempelvis i form av Docker och Kubernetes"""
