label_type,method,overlap_rows,exact_first,lexical_guard,bm25_threshold,embed_threshold,hybrid_threshold,alpha_embed,macro_precision_avg,macro_recall_avg,macro_f1_avg,micro_exact,micro_extra,micro_matched_total,micro_total_p1_items,micro_total_p2_items,micro_precision,micro_recall,micro_f1
hard_skills,exact_only,32,True,True,2.0,0.75,0.72,0.75,0.09989085816721287,0.15225312881562883,0.11611365654066241,49,0,49,433,212,0.11316397228637413,0.23113207547169812,0.15193798449612403
hard_skills,bm25_only,32,True,True,2.0,0.75,0.72,0.75,0.260460206276123,0.4452190170940171,0.31030048064828886,49,86,135,433,212,0.3117782909930716,0.6367924528301887,0.4186046511627907
hard_skills,embed_only,32,True,True,2.0,0.75,0.72,0.75,0.27481325827083897,0.4048067384004884,0.30657585549605,49,70,119,433,212,0.2748267898383372,0.5613207547169812,0.36899224806201547
hard_skills,hybrid,32,True,True,2.0,0.75,0.72,0.75,0.35545146727961224,0.582472909035409,0.4137830114978105,49,106,155,433,212,0.3579676674364896,0.7311320754716981,0.4806201550387597
soft_skills,exact_only,32,True,True,2.0,0.75,0.72,0.75,0.06934928327391562,0.06752041361416361,0.06743878585917126,14,0,14,234,218,0.05982905982905983,0.06422018348623854,0.061946902654867256
soft_skills,bm25_only,32,True,True,2.0,0.75,0.72,0.75,0.5117812844834904,0.5490208576146076,0.4906017301430554,14,106,120,234,218,0.5128205128205128,0.5504587155963303,0.5309734513274337
soft_skills,embed_only,32,True,True,2.0,0.75,0.72,0.75,0.35694769385026737,0.3676255168442668,0.3322090353080131,14,65,79,234,218,0.33760683760683763,0.3623853211009174,0.3495575221238938
soft_skills,hybrid,32,True,True,2.0,0.75,0.72,0.75,0.47235398894406244,0.5029515623265624,0.4499290015839972,14,94,108,234,218,0.46153846153846156,0.4954128440366973,0.4778761061946903
must_have,exact_only,32,True,True,2.0,0.75,0.72,0.75,0.05368482620320856,0.05751633986928105,0.05502136752136752,13,0,13,223,107,0.05829596412556054,0.12149532710280374,0.07878787878787878
must_have,bm25_only,32,True,True,2.0,0.75,0.72,0.75,0.24104587734303207,0.3984593837535014,0.2851242026609674,13,54,67,223,107,0.3004484304932735,0.6261682242990654,0.406060606060606
must_have,embed_only,32,True,True,2.0,0.75,0.72,0.75,0.2783797597596351,0.4717757936507936,0.3315102531830473,13,57,70,223,107,0.31390134529147984,0.6542056074766355,0.42424242424242425
must_have,hybrid,32,True,True,2.0,0.75,0.72,0.75,0.3453309152218199,0.5707589285714285,0.4080298713386949,13,74,87,223,107,0.3901345291479821,0.8130841121495327,0.5272727272727273
nice_to_have,exact_only,32,True,True,2.0,0.75,0.72,0.75,0.05016447368421052,0.05416666666666667,0.05197192513368984,9,0,9,79,56,0.11392405063291139,0.16071428571428573,0.13333333333333333
nice_to_have,bm25_only,32,True,True,2.0,0.75,0.72,0.75,0.113578216374269,0.16354166666666667,0.13123925706646294,9,20,29,79,56,0.3670886075949367,0.5178571428571429,0.42962962962962964
nice_to_have,embed_only,32,True,True,2.0,0.75,0.72,0.75,0.13042763157894738,0.209375,0.15298892284186402,9,21,30,79,56,0.379746835443038,0.5357142857142857,0.4444444444444445
nice_to_have,hybrid,32,True,True,2.0,0.75,0.72,0.75,0.18554459064327483,0.29583333333333334,0.21688072956455307,9,27,36,79,56,0.45569620253164556,0.6428571428571429,0.5333333333333333
