domain,label,manuscript_records,recalculated_records,manuscript_exact_micro_f1,recalculated_exact_micro_f1,exact_delta,manuscript_containment_micro_f1,recalculated_containment_micro_f1,containment_delta
software_developers,hard_skills,32,32,0.692,0.6919831223628692,-1.687763713076329e-05,0.882,0.8818565400843882,-0.00014345991561182103
software_developers,soft_skills,32,32,0.676,0.6757281553398058,-0.0002718446601942537,0.889,0.8893203883495144,0.0003203883495144222
software_developers,distinct_skills,32,32,0.667,0.6666666666666666,-0.00033333333333340764,1.0,1.0,0.0
software_developers,must_have,32,32,0.652,0.6523605150214592,0.00036051502145917347,0.914,0.9141630901287554,0.0001630901287553721
software_developers,nice_to_have,32,32,0.701,0.7012987012987014,0.0002987012987014648,0.948,0.948051948051948,5.194805194808083e-05
journalists,hard_skills,35,35,0.489,0.4887690925426775,-0.0002309074573225156,0.792,0.7924528301886793,0.00045283018867925406
journalists,soft_skills,35,35,0.763,0.7630402384500746,4.023845007461446e-05,0.844,0.8435171385991058,-0.0004828614008941523
journalists,distinct_skills,35,35,0.407,0.4067796610169492,-0.00022033898305079402,0.712,0.7118644067796609,-0.00013559322033906973
journalists,must_have,35,35,0.62,0.6195286195286194,-0.00047138047138062245,0.856,0.8563411896745229,0.0003411896745229015
journalists,nice_to_have,35,35,0.791,0.7906976744186046,-0.000302325581395424,0.977,0.9767441860465117,-0.00025581395348828195
