label_type,metric,label,avg,total_items,overlap_total
distinct_skills,exact_ratio,review1,0.45,12,6
distinct_skills,exact_ratio,review2,0.45,12,6
distinct_skills,bm25_ratio,review1,0.7666666666666666,12,9
distinct_skills,bm25_ratio,review2,0.7666666666666666,12,9
distinct_skills,embed_ratio,review1,0.9,12,11
distinct_skills,embed_ratio,review2,0.9,12,11
distinct_skills,hybrid_ratio,review1,1.0,12,12
distinct_skills,hybrid_ratio,review2,1.0,12,12
distinct_skills,merge_exact_ratio,review1,0.45,12,6
distinct_skills,merge_exact_ratio,review2,0.45,12,6
distinct_skills,merge_bm25_ratio,review1,0.7666666666666666,12,9
distinct_skills,merge_bm25_ratio,review2,0.7666666666666666,12,9
distinct_skills,merge_embed_ratio,review1,0.9,12,11
distinct_skills,merge_embed_ratio,review2,0.9,12,11
distinct_skills,merge_hybrid_ratio,review1,1.0,12,12
distinct_skills,merge_hybrid_ratio,review2,1.0,12,12
