id,label_type,p1_count,p2_count,exact_cov_p1,exact_cov_p2,exact_ratio_p1,exact_ratio_p2,bm25_cov_p1,bm25_cov_p2,bm25_ratio_p1,bm25_ratio_p2,embed_cov_p1,embed_cov_p2,embed_ratio_p1,embed_ratio_p2,hybrid_cov_p1,hybrid_cov_p2,hybrid_ratio_p1,hybrid_ratio_p2,p1_merge_exact,p2_merge_exact,p1_merge_count_exact,p2_merge_count_exact,overlap_merge_count_exact,ratio_p1_merge_exact,ratio_p2_merge_exact,p1_merge_bm25,p2_merge_bm25,p1_merge_count_bm25,p2_merge_count_bm25,overlap_merge_count_bm25,ratio_p1_merge_bm25,ratio_p2_merge_bm25,p1_merge_embed,p2_merge_embed,p1_merge_count_embed,p2_merge_count_embed,overlap_merge_count_embed,ratio_p1_merge_embed,ratio_p2_merge_embed,p1_merge_hybrid,p2_merge_hybrid,p1_merge_count_hybrid,p2_merge_count_hybrid,overlap_merge_count_hybrid,ratio_p1_merge_hybrid,ratio_p2_merge_hybrid,p1_skills,p2_skills
e949b3bd073a741410dd42e13b3826aa0d1ec8d6,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
29fac269cf015bcca2c9f604379758d586e8b5fc,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
85d6d8d0f38cce1eca507e80e7d5d8aa71a4ca46,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
8245de776aec9ab1e4ca2259a7caef9f49720139,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
750fceec480cf04eab0e7cf347fa0f08279dd983,distinct_skills,2,2,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,2,2,1.0,1.0,"""elschema | industriell automation""","industriell automation"" | ""Kunskaper inom elschema",2,2,1,0.5,0.5,"""elschema | industriell automation""","industriell automation"" | ""Kunskaper inom elschema",2,2,1,0.5,0.5,"""elschema | industriell automation""","industriell automation"" | ""Kunskaper inom elschema",2,2,1,0.5,0.5,"""elschema | industriell automation""","""Kunskaper inom elschema | industriell automation""",2,2,2,1.0,1.0,"""elschema | industriell automation""","""Kunskaper inom elschema | industriell automation"""
b538dd3a43282b4e5b082443a9a6b253a4735608,distinct_skills,2,2,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,"""hälsosektorn | andra reglerade miljöer""","""hälsosektorn | andra reglerade miljöer""",2,2,2,1.0,1.0,"""hälsosektorn | andra reglerade miljöer""","""hälsosektorn | andra reglerade miljöer""",2,2,2,1.0,1.0,"""hälsosektorn | andra reglerade miljöer""","""hälsosektorn | andra reglerade miljöer""",2,2,2,1.0,1.0,"""hälsosektorn | andra reglerade miljöer""","""hälsosektorn | andra reglerade miljöer""",2,2,2,1.0,1.0,"""hälsosektorn | andra reglerade miljöer""","""hälsosektorn | andra reglerade miljöer"""
83a7c818ddc9bf2d7e4b88a77ceade31e20d9ab5,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
3fc97a60224060874af390a4f38f6d8cd7e7fdcf,distinct_skills,3,3,0,0,0.0,0.0,1,1,0.3333333333333333,0.3333333333333333,3,3,1.0,1.0,3,3,1.0,1.0,"""boendemiljö | bostadsproduktion | bygg- och fastighetsbranschen""","""Erfarenhet från bygg- och fastighetsbranschen | boendemiljö | bostadsproduktion""",3,3,0,0.0,0.0,"""boendemiljö | bostadsproduktion | bygg- och fastighetsbranschen""","""Erfarenhet från bygg- och fastighetsbranschen | boendemiljö | bostadsproduktion""",3,3,1,0.3333333333333333,0.3333333333333333,"""boendemiljö | bostadsproduktion | bygg- och fastighetsbranschen""","boendemiljö | bostadsproduktion"" | ""Erfarenhet från bygg- och fastighetsbranschen",3,3,3,1.0,1.0,"""boendemiljö | bostadsproduktion | bygg- och fastighetsbranschen""","boendemiljö | bostadsproduktion"" | ""Erfarenhet från bygg- och fastighetsbranschen",3,3,3,1.0,1.0,"""boendemiljö | bostadsproduktion | bygg- och fastighetsbranschen""","""Erfarenhet från bygg- och fastighetsbranschen | boendemiljö | bostadsproduktion"""
cfcb2ae30a6f58604789eeb74faaca09c434a5dd,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
2a372f7eed4f4231f8c4d1a54c0bba4be8b20357,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
e4080c526064c76f38a00d030c86f93a8f6f7ed2,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
cdf58a4b02fb270e68da28fa8e4da014dc7e46a1,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
4ec4a23bc0f19e8a90e119d6eefc9c5f2bf9b58c,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
0e18ce5f95336fb84e514ccb6ba05efd943f94d9,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
26d441214e6bea6bb0f0ea920756af7df3ad5cc0,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
a89dd7bbb0a5e86995f59a857bd30676abf2212c,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
fc2d62596eed08a2c1d289b5fbfe1ba0abe55e42,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
1dfa922d141361e3b54349ef6a26ab225765017b,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
66ac09b15df185c3998ff3ac7d9a07e88b3ea7b1,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
08b35904c8c050918c00da4fb962dec60f6bb9c0,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
3d7fa3f609fac471741578715ff75be547478781,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
0d6deceb0d8f7fbaf7388f8244060da5cfafc297,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
4d664c3d98a17f4fbd2a4eeef937018df2ea93e1,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
bbd75fc7ef4f2cf2b0c10730200251e9ce246857,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
76823aac15d363047c7b8ec0acc55130d79637f6,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
2af58d3ee9707f725c8a4e61a7abf072fadb3fdf,distinct_skills,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
