id,label_type,p1_count,p2_count,exact_cov_p1,exact_cov_p2,exact_ratio_p1,exact_ratio_p2,bm25_cov_p1,bm25_cov_p2,bm25_ratio_p1,bm25_ratio_p2,embed_cov_p1,embed_cov_p2,embed_ratio_p1,embed_ratio_p2,hybrid_cov_p1,hybrid_cov_p2,hybrid_ratio_p1,hybrid_ratio_p2,p1_merge_exact,p2_merge_exact,p1_merge_count_exact,p2_merge_count_exact,overlap_merge_count_exact,ratio_p1_merge_exact,ratio_p2_merge_exact,p1_merge_bm25,p2_merge_bm25,p1_merge_count_bm25,p2_merge_count_bm25,overlap_merge_count_bm25,ratio_p1_merge_bm25,ratio_p2_merge_bm25,p1_merge_embed,p2_merge_embed,p1_merge_count_embed,p2_merge_count_embed,overlap_merge_count_embed,ratio_p1_merge_embed,ratio_p2_merge_embed,p1_merge_hybrid,p2_merge_hybrid,p1_merge_count_hybrid,p2_merge_count_hybrid,overlap_merge_count_hybrid,ratio_p1_merge_hybrid,ratio_p2_merge_hybrid,p1_skills,p2_skills
e949b3bd073a741410dd42e13b3826aa0d1ec8d6,soft_skills,10,12,8,8,0.8,0.6666666666666666,9,10,0.9,0.8333333333333334,9,10,0.9,0.8333333333333334,9,10,0.9,0.8333333333333334,"""pasionerade | arbeta i en föränderlig omvärld | Flexibilitet | prestigelöshet | möjligheter | kommunikativ | ödmjuk | professionellt | hantera våra kunder och kollegor | goda kunskaper i svenska och engelska i både tal och skrift""","flexibilitet | prestigelöshet | möjligheter | kommunikativ | ödmjuk | professionellt | hantera våra kunder och kollegor | goda kunskaper i svenska och engelska i både tal och skrift"" | ""passionerade teknikexperter | använder dina kunskaper för att utveckla dina kollegor och våra kunder | en lagspelare | trivs med att arbeta i en föränderlig omvärld",10,12,8,0.8,0.6666666666666666,"""pasionerade | arbeta i en föränderlig omvärld | Flexibilitet | prestigelöshet | möjligheter | kommunikativ | ödmjuk | professionellt | hantera våra kunder och kollegor + goda kunskaper i svenska och engelska i både tal och skrift""","trivs med att arbeta i en föränderlig omvärld | flexibilitet | prestigelöshet | möjligheter | kommunikativ | ödmjuk | professionellt | använder dina kunskaper för att utveckla dina kollegor och våra kunder + hantera våra kunder och kollegor + goda kunskaper i svenska och engelska i både tal och skrift"" | ""passionerade teknikexperter | en lagspelare",9,10,8,0.8888888888888888,0.8,"""pasionerade | arbeta i en föränderlig omvärld | Flexibilitet | prestigelöshet | möjligheter | kommunikativ | ödmjuk | professionellt | hantera våra kunder och kollegor | goda kunskaper i svenska och engelska i både tal och skrift""","trivs med att arbeta i en föränderlig omvärld | flexibilitet | prestigelöshet | möjligheter | kommunikativ | ödmjuk | professionellt | använder dina kunskaper för att utveckla dina kollegor och våra kunder + hantera våra kunder och kollegor | goda kunskaper i svenska och engelska i både tal och skrift"" | ""passionerade teknikexperter | en lagspelare",10,11,9,0.9,0.8181818181818182,"""pasionerade | arbeta i en föränderlig omvärld | Flexibilitet | prestigelöshet | möjligheter | kommunikativ | ödmjuk | professionellt | hantera våra kunder och kollegor | goda kunskaper i svenska och engelska i både tal och skrift""","trivs med att arbeta i en föränderlig omvärld | flexibilitet | prestigelöshet | möjligheter | kommunikativ | ödmjuk | professionellt | använder dina kunskaper för att utveckla dina kollegor och våra kunder + hantera våra kunder och kollegor | goda kunskaper i svenska och engelska i både tal och skrift"" | ""passionerade teknikexperter | en lagspelare",10,11,9,0.9,0.8181818181818182,"""pasionerade | arbeta i en föränderlig omvärld | Flexibilitet | prestigelöshet | möjligheter | kommunikativ | ödmjuk | professionellt | hantera våra kunder och kollegor | goda kunskaper i svenska och engelska i både tal och skrift""","""passionerade teknikexperter | använder dina kunskaper för att utveckla dina kollegor och våra kunder | en lagspelare | trivs med att arbeta i en föränderlig omvärld | möjligheter | flexibilitet | prestigelöshet | kommunikativ | ödmjuk | professionellt | hantera våra kunder och kollegor | goda kunskaper i svenska och engelska i både tal och skrift"""
29fac269cf015bcca2c9f604379758d586e8b5fc,soft_skills,21,21,16,16,0.7619047619047619,0.7619047619047619,21,21,1.0,1.0,21,21,1.0,1.0,21,21,1.0,1.0,"""svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | uppfattar kundens behov | översätta dem till tekniska krav | strukturerad i ditt arbete | [planerar | organiserar och prioriterar ditt arbete på ett effektivt sätt] | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | bidrar i utvecklingen av våra lösningar | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera | anpassa ditt budskap till mottagaren""","föra en dialog med våra angränsande team och kollegor | uppfattar kundens behov | översätta dem till tekniska krav | strukturerad i ditt arbete | [planerar | organiserar och prioriterar ditt arbete på ett effektivt sätt] | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | bidrar i utvecklingen av våra lösningar | lyssnar | kommunicerar | anpassa ditt budskap till mottagaren"" | ""Kan svenska flytande i tal och skrift | har en helhetsförståelse för uppdraget och tjänsterna | skicklig på att samarbeta | löser problem som kan uppstå | skicklig på att kommunicera",21,21,16,0.7619047619047619,0.7619047619047619,"""svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna + föra en dialog med våra angränsande team och kollegor + bidrar i utvecklingen av våra lösningar | uppfattar kundens behov | översätta dem till tekniska krav + strukturerad i ditt arbete + organiserar och prioriterar ditt arbete på ett effektivt sätt] + anpassa ditt budskap till mottagaren"" | [planerar | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera","""Kan svenska flytande i tal och skrift | har en helhetsförståelse för uppdraget och tjänsterna + föra en dialog med våra angränsande team och kollegor + bidrar i utvecklingen av våra lösningar | uppfattar kundens behov | översätta dem till tekniska krav + strukturerad i ditt arbete + organiserar och prioriterar ditt arbete på ett effektivt sätt] + anpassa ditt budskap till mottagaren"" | [planerar | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | skicklig på att samarbeta | lyssnar | kommunicerar | löser problem som kan uppstå | skicklig på att kommunicera",16,16,16,1.0,1.0,"""svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | uppfattar kundens behov | översätta dem till tekniska krav | strukturerad i ditt arbete + organiserar och prioriterar ditt arbete på ett effektivt sätt] | [planerar | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | bidrar i utvecklingen av våra lösningar | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera | anpassa ditt budskap till mottagaren""","""Kan svenska flytande i tal och skrift | har en helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | uppfattar kundens behov | översätta dem till tekniska krav | strukturerad i ditt arbete + organiserar och prioriterar ditt arbete på ett effektivt sätt] | [planerar | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | bidrar i utvecklingen av våra lösningar | skicklig på att samarbeta | lyssnar | kommunicerar | löser problem som kan uppstå | skicklig på att kommunicera | anpassa ditt budskap till mottagaren""",20,20,20,1.0,1.0,"""svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | uppfattar kundens behov | översätta dem till tekniska krav | strukturerad i ditt arbete | [planerar | organiserar och prioriterar ditt arbete på ett effektivt sätt] | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | bidrar i utvecklingen av våra lösningar | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera | anpassa ditt budskap till mottagaren""","""Kan svenska flytande i tal och skrift | har en helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | uppfattar kundens behov | översätta dem till tekniska krav | strukturerad i ditt arbete | [planerar | organiserar och prioriterar ditt arbete på ett effektivt sätt] | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | bidrar i utvecklingen av våra lösningar | skicklig på att samarbeta | lyssnar | kommunicerar | löser problem som kan uppstå | skicklig på att kommunicera | anpassa ditt budskap till mottagaren""",21,21,21,1.0,1.0,"""svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | uppfattar kundens behov | översätta dem till tekniska krav | strukturerad i ditt arbete | [planerar | organiserar och prioriterar ditt arbete på ett effektivt sätt] | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | bidrar i utvecklingen av våra lösningar | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera | anpassa ditt budskap till mottagaren""","""Kan svenska flytande i tal och skrift | har en helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | uppfattar kundens behov | översätta dem till tekniska krav | strukturerad i ditt arbete | [planerar | organiserar och prioriterar ditt arbete på ett effektivt sätt] | arbetar mot uppsatta mål | sätter i gång aktiviteter | uppnår resultat | en drivande person | tar initiativ | driver frågor framåt | bidrar i utvecklingen av våra lösningar | skicklig på att samarbeta | lyssnar | kommunicerar | löser problem som kan uppstå | skicklig på att kommunicera | anpassa ditt budskap till mottagaren"""
85d6d8d0f38cce1eca507e80e7d5d8aa71a4ca46,soft_skills,6,6,2,2,0.3333333333333333,0.3333333333333333,6,6,1.0,1.0,6,6,1.0,1.0,6,6,1.0,1.0,"""drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ | samarbeta med kollegor från olika avdelningar | driva arbetet framåt | säkerställa hög kvalitet i varje leverans""","analytiskt lagd | driva arbetet framåt | ""samarbeta med kollegor från olika avdelningar | säkerställa hög kvalitet i varje leverans | drivs av att lösa komplexa problem | kommunikativ""",6,6,2,0.3333333333333333,0.3333333333333333,"""drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ | samarbeta med kollegor från olika avdelningar | driva arbetet framåt | säkerställa hög kvalitet i varje leverans""","drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ"" | ""samarbeta med kollegor från olika avdelningar | driva arbetet framåt | säkerställa hög kvalitet i varje leverans",6,6,6,1.0,1.0,"""drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ | samarbeta med kollegor från olika avdelningar | driva arbetet framåt | säkerställa hög kvalitet i varje leverans""","drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ"" | ""samarbeta med kollegor från olika avdelningar | driva arbetet framåt | säkerställa hög kvalitet i varje leverans",6,6,6,1.0,1.0,"""drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ | samarbeta med kollegor från olika avdelningar | driva arbetet framåt | säkerställa hög kvalitet i varje leverans""","drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ"" | ""samarbeta med kollegor från olika avdelningar | driva arbetet framåt | säkerställa hög kvalitet i varje leverans",6,6,6,1.0,1.0,"""drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ | samarbeta med kollegor från olika avdelningar | driva arbetet framåt | säkerställa hög kvalitet i varje leverans""","""samarbeta med kollegor från olika avdelningar | driva arbetet framåt | säkerställa hög kvalitet i varje leverans | drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ"""
8245de776aec9ab1e4ca2259a7caef9f49720139,soft_skills,11,11,9,9,0.8181818181818182,0.8181818181818182,11,11,1.0,1.0,10,10,0.9090909090909091,0.9090909090909091,11,11,1.0,1.0,"""ett programmeringsintresse | entusiastiskt driver | få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer | delar med dig av dina egna idéer""","få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer | delar med dig av dina egna idéer"" | ""ha ett programmeringsintresse över lag | bekväm med att ofta vara den som entusiastiskt driver",11,11,9,0.8181818181818182,0.8181818181818182,"""ett programmeringsintresse | entusiastiskt driver | få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer + delar med dig av dina egna idéer""","""ha ett programmeringsintresse över lag | bekväm med att ofta vara den som entusiastiskt driver | få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer + delar med dig av dina egna idéer""",10,10,10,1.0,1.0,"""ett programmeringsintresse | entusiastiskt driver | få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer | delar med dig av dina egna idéer""","""ha ett programmeringsintresse över lag | få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer | delar med dig av dina egna idéer"" | bekväm med att ofta vara den som entusiastiskt driver",11,11,10,0.9090909090909091,0.9090909090909091,"""ett programmeringsintresse | entusiastiskt driver | få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer | delar med dig av dina egna idéer""","""ha ett programmeringsintresse över lag | bekväm med att ofta vara den som entusiastiskt driver | få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer | delar med dig av dina egna idéer""",11,11,11,1.0,1.0,"""ett programmeringsintresse | entusiastiskt driver | få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer | delar med dig av dina egna idéer""","""ha ett programmeringsintresse över lag | bekväm med att ofta vara den som entusiastiskt driver | få ihop en bra helhetslösning | nyfiken | gillar utmaningar | går igång på tekniska problem | se både helheten och detaljer | ta initiativ | öppen | lära dig ännu mer | delar med dig av dina egna idéer"""
750fceec480cf04eab0e7cf347fa0f08279dd983,soft_skills,7,6,4,4,0.5714285714285714,0.6666666666666666,6,6,0.8571428571428571,1.0,6,6,0.8571428571428571,1.0,6,6,0.8571428571428571,1.0,"""Samarbete med produktledning och support-team | Höga ambitioner | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | arbeta självständigt och i team | svenska | engelska""","""Samarbete med produktledning och support-team | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | svenska | Förmåga att arbeta självständigt och i team | engelska """,7,6,4,0.5714285714285714,0.6666666666666666,"""Samarbete med produktledning och support-team | Höga ambitioner | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | arbeta självständigt och i team | svenska | engelska""","""Samarbete med produktledning och support-team | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | Förmåga att arbeta självständigt och i team | svenska | engelska """,7,6,6,0.8571428571428571,1.0,"""Samarbete med produktledning och support-team | Höga ambitioner | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | arbeta självständigt och i team | svenska | engelska""","""Samarbete med produktledning och support-team | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | Förmåga att arbeta självständigt och i team | svenska | engelska """,7,6,6,0.8571428571428571,1.0,"""Samarbete med produktledning och support-team | Höga ambitioner | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | arbeta självständigt och i team | svenska | engelska""","""Samarbete med produktledning och support-team | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | Förmåga att arbeta självständigt och i team | svenska | engelska """,7,6,6,0.8571428571428571,1.0,"""Samarbete med produktledning och support-team | Höga ambitioner | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | arbeta självständigt och i team | svenska | engelska""","""Samarbete med produktledning och support-team | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | Förmåga att arbeta självständigt och i team | svenska | engelska """
b538dd3a43282b4e5b082443a9a6b253a4735608,soft_skills,10,9,6,6,0.6,0.6666666666666666,7,7,0.7,0.7777777777777778,7,7,0.7,0.7777777777777778,7,7,0.7,0.7777777777777778,"""driva utvecklingen | arbeta nära det övriga teamet | Samarbeta med produktägare | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | skapa innovativa lösningar inom hälsa | arbeta i en dynamisk startupmiljö""","Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | arbeta i en dynamisk startupmiljö"" | ""grym utvecklare | en passion för teknik och innovation | driva utvecklingen",10,9,6,0.6,0.6666666666666666,"""driva utvecklingen | arbeta nära det övriga teamet | Samarbeta med produktägare | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | skapa innovativa lösningar inom hälsa | arbeta i en dynamisk startupmiljö""","driva utvecklingen | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | arbeta i en dynamisk startupmiljö"" | ""grym utvecklare | en passion för teknik och innovation",10,9,7,0.7,0.7777777777777778,"""driva utvecklingen | arbeta nära det övriga teamet | Samarbeta med produktägare | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | skapa innovativa lösningar inom hälsa | arbeta i en dynamisk startupmiljö""","driva utvecklingen | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | arbeta i en dynamisk startupmiljö"" | ""grym utvecklare | en passion för teknik och innovation",10,9,7,0.7,0.7777777777777778,"""driva utvecklingen | arbeta nära det övriga teamet | Samarbeta med produktägare | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | skapa innovativa lösningar inom hälsa | arbeta i en dynamisk startupmiljö""","driva utvecklingen | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | arbeta i en dynamisk startupmiljö"" | ""grym utvecklare | en passion för teknik och innovation",10,9,7,0.7,0.7777777777777778,"""driva utvecklingen | arbeta nära det övriga teamet | Samarbeta med produktägare | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | skapa innovativa lösningar inom hälsa | arbeta i en dynamisk startupmiljö""","""grym utvecklare | en passion för teknik och innovation | driva utvecklingen | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | arbeta i en dynamisk startupmiljö"""
83a7c818ddc9bf2d7e4b88a77ceade31e20d9ab5,soft_skills,5,5,2,2,0.4,0.4,5,5,1.0,1.0,5,5,1.0,1.0,5,5,1.0,1.0,"""ett stort engagemang | lätt för att skapa goda relationer med både kunder och medarbetare | en god lyssnare | har en stark initiativförmåga | kombinationen av att arbeta nära både människan och tekniken""","en god lyssnare | har en stark initiativförmåga | "" stort engagemang | har lätt för att skapa goda relationer med både kunder och medarbetare | tycker om kombinationen av att arbeta nära både människan och tekniken""",5,5,2,0.4,0.4,"""ett stort engagemang | lätt för att skapa goda relationer med både kunder och medarbetare + kombinationen av att arbeta nära både människan och tekniken"" | en god lyssnare | har en stark initiativförmåga",""" stort engagemang | har lätt för att skapa goda relationer med både kunder och medarbetare + tycker om kombinationen av att arbeta nära både människan och tekniken"" | en god lyssnare | har en stark initiativförmåga",4,4,4,1.0,1.0,"""ett stort engagemang | lätt för att skapa goda relationer med både kunder och medarbetare | en god lyssnare | har en stark initiativförmåga | kombinationen av att arbeta nära både människan och tekniken""",""" stort engagemang | har lätt för att skapa goda relationer med både kunder och medarbetare | en god lyssnare | har en stark initiativförmåga | tycker om kombinationen av att arbeta nära både människan och tekniken""",5,5,5,1.0,1.0,"""ett stort engagemang | lätt för att skapa goda relationer med både kunder och medarbetare | en god lyssnare | har en stark initiativförmåga | kombinationen av att arbeta nära både människan och tekniken""",""" stort engagemang | har lätt för att skapa goda relationer med både kunder och medarbetare | en god lyssnare | har en stark initiativförmåga | tycker om kombinationen av att arbeta nära både människan och tekniken""",5,5,5,1.0,1.0,"""ett stort engagemang | lätt för att skapa goda relationer med både kunder och medarbetare | en god lyssnare | har en stark initiativförmåga | kombinationen av att arbeta nära både människan och tekniken""",""" stort engagemang | har lätt för att skapa goda relationer med både kunder och medarbetare | en god lyssnare | har en stark initiativförmåga | tycker om kombinationen av att arbeta nära både människan och tekniken"""
3fc97a60224060874af390a4f38f6d8cd7e7fdcf,soft_skills,10,7,3,3,0.3,0.42857142857142855,7,6,0.7,0.8571428571428571,6,6,0.6,0.8571428571428571,7,6,0.7,0.8571428571428571,"""samarbete | långsiktighet | innovation | arbeta både praktiskt och strategiskt | Samverka med andra IT-team | Talar och skriver obehindrat på svenska | [arbeta i större | komplexa IT-miljöer] | god kommunikationsförmåga | samarbeta med flera intressenter""","långsiktighet | innovation | Samverka med andra IT-team | ""gillar att arbeta både praktiskt och strategiskt | trivs i ett team | samarbete | Talar och skriver obehindrat på svenska""",10,7,3,0.3,0.42857142857142855,"""samarbete | långsiktighet | innovation | arbeta både praktiskt och strategiskt | Samverka med andra IT-team + samarbeta med flera intressenter"" | Talar och skriver obehindrat på svenska | [arbeta i större | komplexa IT-miljöer] | god kommunikationsförmåga","samarbete | långsiktighet | innovation | ""gillar att arbeta både praktiskt och strategiskt | Samverka med andra IT-team | Talar och skriver obehindrat på svenska"" | trivs i ett team",9,7,6,0.6666666666666666,0.8571428571428571,"""samarbete | långsiktighet | innovation | arbeta både praktiskt och strategiskt | Samverka med andra IT-team | Talar och skriver obehindrat på svenska | [arbeta i större | komplexa IT-miljöer] | god kommunikationsförmåga | samarbeta med flera intressenter""","samarbete | långsiktighet | innovation | ""gillar att arbeta både praktiskt och strategiskt | Samverka med andra IT-team | Talar och skriver obehindrat på svenska"" | trivs i ett team",10,7,6,0.6,0.8571428571428571,"""samarbete | långsiktighet | innovation | arbeta både praktiskt och strategiskt | Samverka med andra IT-team + samarbeta med flera intressenter"" | Talar och skriver obehindrat på svenska | [arbeta i större | komplexa IT-miljöer] | god kommunikationsförmåga","samarbete | långsiktighet | innovation | ""gillar att arbeta både praktiskt och strategiskt | Samverka med andra IT-team | Talar och skriver obehindrat på svenska"" | trivs i ett team",9,7,6,0.6666666666666666,0.8571428571428571,"""samarbete | långsiktighet | innovation | arbeta både praktiskt och strategiskt | Samverka med andra IT-team | Talar och skriver obehindrat på svenska | [arbeta i större | komplexa IT-miljöer] | god kommunikationsförmåga | samarbeta med flera intressenter""","""gillar att arbeta både praktiskt och strategiskt | trivs i ett team | samarbete | långsiktighet | innovation | Samverka med andra IT-team | Talar och skriver obehindrat på svenska"""
cfcb2ae30a6f58604789eeb74faaca09c434a5dd,soft_skills,1,1,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,Mycket goda kunskaper i tal och skrift i svenska,Mycket goda kunskaper i tal och skrift i svenska,1,1,1,1.0,1.0,Mycket goda kunskaper i tal och skrift i svenska,Mycket goda kunskaper i tal och skrift i svenska,1,1,1,1.0,1.0,Mycket goda kunskaper i tal och skrift i svenska,Mycket goda kunskaper i tal och skrift i svenska,1,1,1,1.0,1.0,Mycket goda kunskaper i tal och skrift i svenska,Mycket goda kunskaper i tal och skrift i svenska,1,1,1,1.0,1.0,Mycket goda kunskaper i tal och skrift i svenska,Mycket goda kunskaper i tal och skrift i svenska
2a372f7eed4f4231f8c4d1a54c0bba4be8b20357,soft_skills,5,5,2,2,0.4,0.4,5,5,1.0,1.0,5,5,1.0,1.0,5,5,1.0,1.0,"""nära samarbete medutvecklingsteamet och kollegor | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","kommunikativ | har ett öga för detaljer | ""nära samarbete medutvecklingsteamet och kollegor inom DevSecOps | tycker om att dela din kunskap med andra | vill kombinera tekniskt arbete med strategisk förbättring """,5,5,2,0.4,0.4,"""nära samarbete medutvecklingsteamet och kollegor | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","""nära samarbete medutvecklingsteamet och kollegor inom DevSecOps | kommunikativ | tycker om att dela din kunskap med andra | har ett öga för detaljer | vill kombinera tekniskt arbete med strategisk förbättring """,5,5,5,1.0,1.0,"""nära samarbete medutvecklingsteamet och kollegor | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","""nära samarbete medutvecklingsteamet och kollegor inom DevSecOps | kommunikativ | tycker om att dela din kunskap med andra | har ett öga för detaljer | vill kombinera tekniskt arbete med strategisk förbättring """,5,5,5,1.0,1.0,"""nära samarbete medutvecklingsteamet och kollegor | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","""nära samarbete medutvecklingsteamet och kollegor inom DevSecOps | kommunikativ | tycker om att dela din kunskap med andra | har ett öga för detaljer | vill kombinera tekniskt arbete med strategisk förbättring """,5,5,5,1.0,1.0,"""nära samarbete medutvecklingsteamet och kollegor | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","""nära samarbete medutvecklingsteamet och kollegor inom DevSecOps | kommunikativ | tycker om att dela din kunskap med andra | har ett öga för detaljer | vill kombinera tekniskt arbete med strategisk förbättring """
