Cột 1,Reviewer 1,Reviewer 2,Ghi chú
Hard skill avg overlap ratio,0.9,0.83,Total skill count là tập các skill (đã deduplicate)
Hard skill total skill count,437,470,total overlap là tập skill overlap (đã deduplicate)
Hard skill total overlap,400,400,Avg overlap ratio là trung bình tỉ lệ overlap trên toàn bộ sample
,,,
Soft skill avg overlap ratio,0.93,0.88,
Soft skill total skill count,246,264,
Soft skill total overlap,230,230,
,,,
Must have skill avg overlap ratio,0.9,0.93,
Must have skill total skill count,236,223,
Must have skill total overlap,209,209,
,,,
Nice to have skill avg overlap ratio,0.92,0.96,
Nice to have skill total skill count,79,75,
Nice to have skill total overlap,74,74,
,,,
Distinct skill avg overlap ratio,1,1,
Distinct skill total skill count,12,12,
Distinct skill total overlap,12,12,
