id,label_type,p1_count,p2_count,exact_cov_p1,exact_cov_p2,exact_ratio_p1,exact_ratio_p2,bm25_cov_p1,bm25_cov_p2,bm25_ratio_p1,bm25_ratio_p2,embed_cov_p1,embed_cov_p2,embed_ratio_p1,embed_ratio_p2,hybrid_cov_p1,hybrid_cov_p2,hybrid_ratio_p1,hybrid_ratio_p2,p1_merge_exact,p2_merge_exact,p1_merge_count_exact,p2_merge_count_exact,overlap_merge_count_exact,ratio_p1_merge_exact,ratio_p2_merge_exact,p1_merge_bm25,p2_merge_bm25,p1_merge_count_bm25,p2_merge_count_bm25,overlap_merge_count_bm25,ratio_p1_merge_bm25,ratio_p2_merge_bm25,p1_merge_embed,p2_merge_embed,p1_merge_count_embed,p2_merge_count_embed,overlap_merge_count_embed,ratio_p1_merge_embed,ratio_p2_merge_embed,p1_merge_hybrid,p2_merge_hybrid,p1_merge_count_hybrid,p2_merge_count_hybrid,overlap_merge_count_hybrid,ratio_p1_merge_hybrid,ratio_p2_merge_hybrid,p1_skills,p2_skills
e949b3bd073a741410dd42e13b3826aa0d1ec8d6,must_have,6,4,1,1,0.16666666666666666,0.25,1,1,0.16666666666666666,0.25,1,1,0.16666666666666666,0.25,1,1,0.16666666666666666,0.25,"""mjukvaruutveckling | agilt | Flexibilitet | prestigelöshet | möjligheter | goda kunskaper i svenska och engelska i både tal och skrift""","goda kunskaper i svenska och engelska i både tal och skrift"" | "" kommunikativ | ödmjuk | professionellt kunna hantera våra kunder och kollegor",6,4,1,0.16666666666666666,0.25,"""mjukvaruutveckling | agilt | Flexibilitet | prestigelöshet | möjligheter | goda kunskaper i svenska och engelska i både tal och skrift""","goda kunskaper i svenska och engelska i både tal och skrift"" | "" kommunikativ | ödmjuk | professionellt kunna hantera våra kunder och kollegor",6,4,1,0.16666666666666666,0.25,"""mjukvaruutveckling | agilt | Flexibilitet | prestigelöshet | möjligheter | goda kunskaper i svenska och engelska i både tal och skrift""","goda kunskaper i svenska och engelska i både tal och skrift"" | "" kommunikativ | ödmjuk | professionellt kunna hantera våra kunder och kollegor",6,4,1,0.16666666666666666,0.25,"""mjukvaruutveckling | agilt | Flexibilitet | prestigelöshet | möjligheter | goda kunskaper i svenska och engelska i både tal och skrift""","goda kunskaper i svenska och engelska i både tal och skrift"" | "" kommunikativ | ödmjuk | professionellt kunna hantera våra kunder och kollegor",6,4,1,0.16666666666666666,0.25,"""mjukvaruutveckling | agilt | Flexibilitet | prestigelöshet | möjligheter | goda kunskaper i svenska och engelska i både tal och skrift""",""" kommunikativ | ödmjuk | professionellt kunna hantera våra kunder och kollegor | goda kunskaper i svenska och engelska i både tal och skrift"""
29fac269cf015bcca2c9f604379758d586e8b5fc,must_have,23,15,14,14,0.6086956521739131,0.9333333333333333,15,15,0.6521739130434783,1.0,15,15,0.6521739130434783,1.0,15,15,0.6521739130434783,1.0,"""Java EE | Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera | anpassa ditt budskap till mottagaren""","""Java EE | Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | Kan svenska flytande i tal och skrift""",23,15,14,0.6086956521739131,0.9333333333333333,"""Java EE + Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera | anpassa ditt budskap till mottagaren""","""Java EE + Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | Kan svenska flytande i tal och skrift""",22,14,14,0.6363636363636364,1.0,"""Java EE | Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera | anpassa ditt budskap till mottagaren""","""Java EE | Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | Kan svenska flytande i tal och skrift""",23,15,15,0.6521739130434783,1.0,"""Java EE | Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera | anpassa ditt budskap till mottagaren""","""Java EE | Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | Kan svenska flytande i tal och skrift""",23,15,15,0.6521739130434783,1.0,"""Java EE | Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | svenska flytande i tal och skrift | helhetsförståelse för uppdraget och tjänsterna | föra en dialog med våra angränsande team och kollegor | samarbeta | lyssnar | kommunicerar | löser problem | kommunicera | anpassa ditt budskap till mottagaren""","""Java EE | Java 11+ | EJB/CDI | JPA | REST | Microservices | OpenAPI | Frontend | Angular | Typescript | JavaScript | Enhetstester | integrationstester | JUnit eller liknande | Kan svenska flytande i tal och skrift"""
85d6d8d0f38cce1eca507e80e7d5d8aa71a4ca46,must_have,8,5,2,2,0.25,0.4,3,3,0.375,0.6,4,4,0.5,0.8,5,5,0.625,1.0,"""mjukvaruutvecklingsmetoder | versionshantering | CI/CD | C++ | Linux | drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ""","versionshantering | CI/CD | ""Flera års erfarenhet av mjukvaruutvecklingsmetoder | Goda kunskaper i C++ | Linux""",8,5,2,0.25,0.4,"""mjukvaruutvecklingsmetoder | versionshantering | CI/CD | C++ | Linux | drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ""","versionshantering | CI/CD | Linux"" | ""Flera års erfarenhet av mjukvaruutvecklingsmetoder | Goda kunskaper i C++",8,5,3,0.375,0.6,"""mjukvaruutvecklingsmetoder | versionshantering | CI/CD | C++ | Linux | drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ""","""Flera års erfarenhet av mjukvaruutvecklingsmetoder | versionshantering | CI/CD | Linux"" | Goda kunskaper i C++",8,5,4,0.5,0.8,"""mjukvaruutvecklingsmetoder | versionshantering | CI/CD | C++ | Linux | drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ""","""Flera års erfarenhet av mjukvaruutvecklingsmetoder | versionshantering | CI/CD | Goda kunskaper i C++ | Linux""",8,5,5,0.625,1.0,"""mjukvaruutvecklingsmetoder | versionshantering | CI/CD | C++ | Linux | drivs av att lösa komplexa problem | analytiskt lagd | kommunikativ""","""Flera års erfarenhet av mjukvaruutvecklingsmetoder | versionshantering | CI/CD | Goda kunskaper i C++ | Linux"""
8245de776aec9ab1e4ca2259a7caef9f49720139,must_have,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,mjukvaruingenjör,,1,0,0,0.0,0.0,mjukvaruingenjör,,1,0,0,0.0,0.0,mjukvaruingenjör,,1,0,0,0.0,0.0,mjukvaruingenjör,,1,0,0,0.0,0.0,mjukvaruingenjör,
750fceec480cf04eab0e7cf347fa0f08279dd983,must_have,2,2,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,"""God programmeringsvana | Höga ambitioner""","""God programmeringsvana | höga ambitioner""",2,2,2,1.0,1.0,"""God programmeringsvana | Höga ambitioner""","""God programmeringsvana | höga ambitioner""",2,2,2,1.0,1.0,"""God programmeringsvana | Höga ambitioner""","""God programmeringsvana | höga ambitioner""",2,2,2,1.0,1.0,"""God programmeringsvana | Höga ambitioner""","""God programmeringsvana | höga ambitioner""",2,2,2,1.0,1.0,"""God programmeringsvana | Höga ambitioner""","""God programmeringsvana | höga ambitioner"""
b538dd3a43282b4e5b082443a9a6b253a4735608,must_have,27,15,10,10,0.37037037037037035,0.6666666666666666,15,15,0.5555555555555556,1.0,14,14,0.5185185185185185,0.9333333333333333,16,15,0.5925925925925926,1.0,"""utvecklare | designa och bygga skalbara och säkra system | uppskattar att både arbeta på en strategisk nivå mer arkitekturfrågor såväl som konkreta operativa utvecklingsfrågor | systemarkitektur | utveckla tekniska strategier | programmering | utveckling | API:er | integration | molntjänster | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | PostgreSQL | Python | Node.js | Next.js | React | TypeScript | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | skapa innovativa lösningar inom hälsa | arbeta i en dynamisk startupmiljö""","utveckla tekniska strategier | API:er | integration | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | ""erfarenhet av att designa och bygga skalbara och säkra system | Erfarenhet av systemarkitektur | bred kunskap och ett brinnande intresse för programmering och utveckling | Goda kunskaper inom molntjänster | engelska""",27,15,10,0.37037037037037035,0.6666666666666666,"""utvecklare | designa och bygga skalbara och säkra system | uppskattar att både arbeta på en strategisk nivå mer arkitekturfrågor såväl som konkreta operativa utvecklingsfrågor | systemarkitektur | utveckla tekniska strategier | programmering | utveckling | API:er | integration | molntjänster + skapa innovativa lösningar inom hälsa | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | PostgreSQL | Python | Node.js | Next.js | React | TypeScript | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | arbeta i en dynamisk startupmiljö""","""erfarenhet av att designa och bygga skalbara och säkra system + bred kunskap och ett brinnande intresse för programmering och utveckling | Erfarenhet av systemarkitektur | utveckla tekniska strategier | API:er | integration | Goda kunskaper inom molntjänster | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska""",26,14,14,0.5384615384615384,1.0,"""utvecklare | designa och bygga skalbara och säkra system | uppskattar att både arbeta på en strategisk nivå mer arkitekturfrågor såväl som konkreta operativa utvecklingsfrågor | systemarkitektur | utveckla tekniska strategier | programmering | utveckling | API:er | integration | molntjänster | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | PostgreSQL | Python | Node.js | Next.js | React | TypeScript | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | skapa innovativa lösningar inom hälsa | arbeta i en dynamisk startupmiljö""","""erfarenhet av att designa och bygga skalbara och säkra system | Erfarenhet av systemarkitektur | utveckla tekniska strategier | API:er | integration | Goda kunskaper inom molntjänster | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska"" | bred kunskap och ett brinnande intresse för programmering och utveckling",27,15,14,0.5185185185185185,0.9333333333333333,"""utvecklare | designa och bygga skalbara och säkra system + uppskattar att både arbeta på en strategisk nivå mer arkitekturfrågor såväl som konkreta operativa utvecklingsfrågor | systemarkitektur | utveckla tekniska strategier | programmering | utveckling | API:er | integration | molntjänster | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | PostgreSQL | Python | Node.js | Next.js | React | TypeScript | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | skapa innovativa lösningar inom hälsa | arbeta i en dynamisk startupmiljö""","""erfarenhet av att designa och bygga skalbara och säkra system | Erfarenhet av systemarkitektur | utveckla tekniska strategier | bred kunskap och ett brinnande intresse för programmering och utveckling | API:er | integration | Goda kunskaper inom molntjänster | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska""",26,15,15,0.5769230769230769,1.0,"""utvecklare | designa och bygga skalbara och säkra system | uppskattar att både arbeta på en strategisk nivå mer arkitekturfrågor såväl som konkreta operativa utvecklingsfrågor | systemarkitektur | utveckla tekniska strategier | programmering | utveckling | API:er | integration | molntjänster | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | PostgreSQL | Python | Node.js | Next.js | React | TypeScript | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska | Ett starkt engagemang | skapa innovativa lösningar inom hälsa | arbeta i en dynamisk startupmiljö""","""erfarenhet av att designa och bygga skalbara och säkra system | Erfarenhet av systemarkitektur | utveckla tekniska strategier | bred kunskap och ett brinnande intresse för programmering och utveckling | API:er | integration | Goda kunskaper inom molntjänster | Google Cloud | moderna utvecklingsmetoder | Kubernetes | DevOps-principer | Stark problemlösningsförmåga | kreativt tänkande | Flytande svenska | engelska"""
83a7c818ddc9bf2d7e4b88a77ceade31e20d9ab5,must_have,22,23,17,17,0.7727272727272727,0.7391304347826086,22,22,1.0,0.9565217391304348,22,22,1.0,0.9565217391304348,22,22,1.0,0.9565217391304348,"""utveckling av kritiska system | [systemering | krav | design | och arkitektur för kritiska tillämpningar] | icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet | utveckling av säkerhetskritiska system | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA""","[systemering | krav | design | och arkitektur för kritiska tillämpningar] | robusthet | stabilitet | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | ""har kunskap avseende standarder | deras tillämpning vid utveckling av säkerhetskritiska system | HARA | arbeta med utveckling av kritiska system | fokus på icke-funktionella egenskaper | tillförlitlighet""",22,23,17,0.7727272727272727,0.7391304347826086,"""utveckling av kritiska system + utveckling av säkerhetskritiska system | [systemering | krav | design | och arkitektur för kritiska tillämpningar] | icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA""","deras tillämpning vid utveckling av säkerhetskritiska system + arbeta med utveckling av kritiska system | [systemering | krav | design | och arkitektur för kritiska tillämpningar] | fokus på icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet"" | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA | ""har kunskap avseende standarder",21,22,21,1.0,0.9545454545454546,"""utveckling av kritiska system + och arkitektur för kritiska tillämpningar] | [systemering | krav | design | icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet | utveckling av säkerhetskritiska system | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA""","arbeta med utveckling av kritiska system + och arkitektur för kritiska tillämpningar] | [systemering | krav | design | fokus på icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet"" | deras tillämpning vid utveckling av säkerhetskritiska system | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA | ""har kunskap avseende standarder",21,22,21,1.0,0.9545454545454546,"""utveckling av kritiska system + utveckling av säkerhetskritiska system | [systemering | krav | design | och arkitektur för kritiska tillämpningar] | icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA""","deras tillämpning vid utveckling av säkerhetskritiska system + arbeta med utveckling av kritiska system | [systemering | krav | design | och arkitektur för kritiska tillämpningar] | fokus på icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet"" | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA | ""har kunskap avseende standarder",21,22,21,1.0,0.9545454545454546,"""utveckling av kritiska system | [systemering | krav | design | och arkitektur för kritiska tillämpningar] | icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet | utveckling av säkerhetskritiska system | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA""","""har kunskap avseende standarder | deras tillämpning vid utveckling av säkerhetskritiska system | ISO26262 | IEC61508 | DO-178C | DO-254 | ARP4754A | ARP 4761 | ISO13849 | säkerhetsanalyser | MTBF | FMEA | FTA | HARA | arbeta med utveckling av kritiska system | [systemering | krav | design | och arkitektur för kritiska tillämpningar] | fokus på icke-funktionella egenskaper | robusthet | stabilitet | tillförlitlighet"""
3fc97a60224060874af390a4f38f6d8cd7e7fdcf,must_have,17,17,9,9,0.5294117647058824,0.5294117647058824,15,16,0.8823529411764706,0.9411764705882353,15,16,0.8823529411764706,0.9411764705882353,15,16,0.8823529411764706,0.9411764705882353,"""fullstackutveckling | C# | .NET | frontendutveckling | React 17 | TypeScript | JavaScript | anpassning och utveckling av Sharepoint | API-design och systemintegration | databaser | SQL | NoSQL | molnmiljö | Microsoft Azure | agilt arbete | testdriven utveckling | Talar och skriver obehindrat på svenska""",".NET | React 17 | TypeScript | JavaScript | SQL | NoSQL | Microsoft Azure | testdriven utveckling | Talar och skriver obehindrat på svenska"" | "" Gedigen kunskap inom C# | Erfarenhet av frontendutveckling | Erfarenhet av anpassning och utveckling av Sharepoint | God förståelse för API-design | systemintegration | Erfarenhet av databaser | Erfarenhet av arbete i molnmiljö | Erfarenhet av agilt arbete",17,17,9,0.5294117647058824,0.5294117647058824,"""fullstackutveckling | C# | .NET | frontendutveckling | React 17 | TypeScript | JavaScript | anpassning och utveckling av Sharepoint + testdriven utveckling | API-design och systemintegration | databaser | SQL | NoSQL | molnmiljö | Microsoft Azure | agilt arbete | Talar och skriver obehindrat på svenska""",".NET | Erfarenhet av frontendutveckling | React 17 | TypeScript | JavaScript | Erfarenhet av anpassning och utveckling av Sharepoint + testdriven utveckling | God förståelse för API-design + systemintegration | Erfarenhet av databaser | SQL | NoSQL | Erfarenhet av arbete i molnmiljö | Microsoft Azure | Erfarenhet av agilt arbete | Talar och skriver obehindrat på svenska"" | "" Gedigen kunskap inom C#",16,15,14,0.875,0.9333333333333333,"""fullstackutveckling | C# | .NET | frontendutveckling | React 17 | TypeScript | JavaScript | anpassning och utveckling av Sharepoint | API-design och systemintegration | databaser | SQL | NoSQL | molnmiljö | Microsoft Azure | agilt arbete | testdriven utveckling | Talar och skriver obehindrat på svenska""",".NET | Erfarenhet av frontendutveckling | React 17 | TypeScript | JavaScript | Erfarenhet av anpassning och utveckling av Sharepoint | God förståelse för API-design + systemintegration | Erfarenhet av databaser | SQL | NoSQL | Erfarenhet av arbete i molnmiljö | Microsoft Azure | Erfarenhet av agilt arbete | testdriven utveckling | Talar och skriver obehindrat på svenska"" | "" Gedigen kunskap inom C#",17,16,15,0.8823529411764706,0.9375,"""fullstackutveckling | C# | .NET | frontendutveckling | React 17 | TypeScript | JavaScript | anpassning och utveckling av Sharepoint | API-design och systemintegration | databaser | SQL | NoSQL | molnmiljö | Microsoft Azure | agilt arbete | testdriven utveckling | Talar och skriver obehindrat på svenska""",".NET | Erfarenhet av frontendutveckling | React 17 | TypeScript | JavaScript | Erfarenhet av anpassning och utveckling av Sharepoint | God förståelse för API-design + systemintegration | Erfarenhet av databaser | SQL | NoSQL | Erfarenhet av arbete i molnmiljö | Microsoft Azure | Erfarenhet av agilt arbete | testdriven utveckling | Talar och skriver obehindrat på svenska"" | "" Gedigen kunskap inom C#",17,16,15,0.8823529411764706,0.9375,"""fullstackutveckling | C# | .NET | frontendutveckling | React 17 | TypeScript | JavaScript | anpassning och utveckling av Sharepoint | API-design och systemintegration | databaser | SQL | NoSQL | molnmiljö | Microsoft Azure | agilt arbete | testdriven utveckling | Talar och skriver obehindrat på svenska""",""" Gedigen kunskap inom C# | .NET | Erfarenhet av frontendutveckling | React 17 | TypeScript | JavaScript | Erfarenhet av anpassning och utveckling av Sharepoint | God förståelse för API-design | systemintegration | Erfarenhet av databaser | SQL | NoSQL | Erfarenhet av arbete i molnmiljö | Microsoft Azure | Erfarenhet av agilt arbete | testdriven utveckling | Talar och skriver obehindrat på svenska"""
cfcb2ae30a6f58604789eeb74faaca09c434a5dd,must_have,4,6,0,0,0.0,0.0,2,2,0.5,0.3333333333333333,2,2,0.5,0.3333333333333333,2,2,0.5,0.3333333333333333,"""Matlab/Simulink | C/C++ | Python | Mycket goda kunskaper i tal och skrift i svenska""","""Mycket goda kunskaper i tal och skrift i svenska | Matlab | Simulink | C | C++ | Python""",4,6,0,0.0,0.0,"""Matlab/Simulink | C/C++ | Python | Mycket goda kunskaper i tal och skrift i svenska""","Python"" | ""Mycket goda kunskaper i tal och skrift i svenska | Matlab | Simulink | C | C++",4,6,2,0.5,0.3333333333333333,"""Matlab/Simulink | C/C++ | Python | Mycket goda kunskaper i tal och skrift i svenska""","Python"" | ""Mycket goda kunskaper i tal och skrift i svenska | Matlab | Simulink | C | C++",4,6,2,0.5,0.3333333333333333,"""Matlab/Simulink | C/C++ | Python | Mycket goda kunskaper i tal och skrift i svenska""","Python"" | ""Mycket goda kunskaper i tal och skrift i svenska | Matlab | Simulink | C | C++",4,6,2,0.5,0.3333333333333333,"""Matlab/Simulink | C/C++ | Python | Mycket goda kunskaper i tal och skrift i svenska""","""Mycket goda kunskaper i tal och skrift i svenska | Matlab | Simulink | C | C++ | Python"""
2a372f7eed4f4231f8c4d1a54c0bba4be8b20357,must_have,10,10,5,5,0.5,0.5,10,10,1.0,1.0,10,10,1.0,1.0,10,10,1.0,1.0,"""backend-utveckling | databaser | frontend-utveckling | containerisering | Docker | Kubernetes | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","databaser | frontend-utveckling | Kubernetes | kommunikativ | har ett öga för detaljer | ""Gedigen bakgrund inom backend-utveckling | Kunskap om containerisering | form av Docker | tycker om att dela din kunskap med andra | vill kombinera tekniskt arbete med strategisk förbättring """,10,10,5,0.5,0.5,"""backend-utveckling | databaser | frontend-utveckling | containerisering + dela din kunskap med andra | Docker | Kubernetes | kommunikativ | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","""Gedigen bakgrund inom backend-utveckling | databaser | frontend-utveckling | Kunskap om containerisering + tycker om att dela din kunskap med andra | form av Docker | Kubernetes | kommunikativ | har ett öga för detaljer | vill kombinera tekniskt arbete med strategisk förbättring """,9,9,9,1.0,1.0,"""backend-utveckling | databaser | frontend-utveckling | containerisering | Docker | Kubernetes | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","""Gedigen bakgrund inom backend-utveckling | databaser | frontend-utveckling | Kunskap om containerisering | form av Docker | Kubernetes | kommunikativ | tycker om att dela din kunskap med andra | har ett öga för detaljer | vill kombinera tekniskt arbete med strategisk förbättring """,10,10,10,1.0,1.0,"""backend-utveckling | databaser | frontend-utveckling | containerisering | Docker | Kubernetes | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","""Gedigen bakgrund inom backend-utveckling | databaser | frontend-utveckling | Kunskap om containerisering | form av Docker | Kubernetes | kommunikativ | tycker om att dela din kunskap med andra | har ett öga för detaljer | vill kombinera tekniskt arbete med strategisk förbättring """,10,10,10,1.0,1.0,"""backend-utveckling | databaser | frontend-utveckling | containerisering | Docker | Kubernetes | kommunikativ | dela din kunskap med andra | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring""","""Gedigen bakgrund inom backend-utveckling | databaser | frontend-utveckling | Kunskap om containerisering | form av Docker | Kubernetes | kommunikativ | tycker om att dela din kunskap med andra | har ett öga för detaljer | vill kombinera tekniskt arbete med strategisk förbättring """
