id,label_type,p1_count,p2_count,exact_cov_p1,exact_cov_p2,exact_ratio_p1,exact_ratio_p2,bm25_cov_p1,bm25_cov_p2,bm25_ratio_p1,bm25_ratio_p2,embed_cov_p1,embed_cov_p2,embed_ratio_p1,embed_ratio_p2,hybrid_cov_p1,hybrid_cov_p2,hybrid_ratio_p1,hybrid_ratio_p2,p1_merge_exact,p2_merge_exact,p1_merge_count_exact,p2_merge_count_exact,overlap_merge_count_exact,ratio_p1_merge_exact,ratio_p2_merge_exact,p1_merge_bm25,p2_merge_bm25,p1_merge_count_bm25,p2_merge_count_bm25,overlap_merge_count_bm25,ratio_p1_merge_bm25,ratio_p2_merge_bm25,p1_merge_embed,p2_merge_embed,p1_merge_count_embed,p2_merge_count_embed,overlap_merge_count_embed,ratio_p1_merge_embed,ratio_p2_merge_embed,p1_merge_hybrid,p2_merge_hybrid,p1_merge_count_hybrid,p2_merge_count_hybrid,overlap_merge_count_hybrid,ratio_p1_merge_hybrid,ratio_p2_merge_hybrid,p1_skills,p2_skills
e949b3bd073a741410dd42e13b3826aa0d1ec8d6,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
29fac269cf015bcca2c9f604379758d586e8b5fc,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
85d6d8d0f38cce1eca507e80e7d5d8aa71a4ca46,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
8245de776aec9ab1e4ca2259a7caef9f49720139,nice_to_have,1,1,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,Amazon EKS,Erfarenhet av Amazon EKS,1,1,0,0.0,0.0,Amazon EKS,Erfarenhet av Amazon EKS,1,1,0,0.0,0.0,Amazon EKS,Erfarenhet av Amazon EKS,1,1,1,1.0,1.0,Amazon EKS,Erfarenhet av Amazon EKS,1,1,1,1.0,1.0,Amazon EKS,Erfarenhet av Amazon EKS
750fceec480cf04eab0e7cf347fa0f08279dd983,nice_to_have,19,21,10,10,0.5263157894736842,0.47619047619047616,19,20,1.0,0.9523809523809523,15,15,0.7894736842105263,0.7142857142857143,18,17,0.9473684210526315,0.8095238095238095,""".NET | C# | VB.NET | desktoputveckling | WinForms | WPF eller liknande | databaser | artificiell intelligens | maskininlärning | data-analys | Autodesk-produkter | AutoCAD | C++ | Git | DevOps | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | arbeta självständigt och i team | Goda kunskaper i svenska och engelska i tal och skrift""","C# | VB.NET | WinForms | WPF eller liknande | artificiell intelligens | Autodesk-produkter | AutoCAD | DevOps | Ett strukturerat arbetssätt | Goda kunskaper i svenska och engelska i tal och skrift"" | ""Kunskaper i .NET | Erfarenhet av desktoputveckling | Erfarenhet av arbete med databaser | Kunskaper inom elschema | industriell automation | Erfarenhet av C++ | Erfarenhet av Git | [Intresse för | eller erfarenhet av | maskininlärning eller data-analys] | Förmåga att arbeta självständigt och i team",19,21,10,0.5263157894736842,0.47619047619047616,""".NET + arbeta självständigt och i team + Goda kunskaper i svenska och engelska i tal och skrift"" | C# | VB.NET | desktoputveckling | WinForms | WPF eller liknande + maskininlärning + data-analys | databaser | artificiell intelligens | Autodesk-produkter | AutoCAD | C++ | Git | DevOps | Ett strukturerat arbetssätt + ett intresse för komplexa tekniska lösningar","""Kunskaper i .NET + Kunskaper inom elschema + Förmåga att arbeta självständigt och i team + Goda kunskaper i svenska och engelska i tal och skrift"" | C# | VB.NET | Erfarenhet av desktoputveckling | WinForms | WPF eller liknande + eller erfarenhet av + maskininlärning eller data-analys] | Erfarenhet av arbete med databaser | artificiell intelligens | Autodesk-produkter | AutoCAD | Erfarenhet av C++ | Erfarenhet av Git | DevOps | Ett strukturerat arbetssätt + [Intresse för | industriell automation",14,15,14,1.0,0.9333333333333333,""".NET | C# | VB.NET | desktoputveckling | WinForms | WPF eller liknande | databaser | artificiell intelligens | maskininlärning | data-analys | Autodesk-produkter | AutoCAD | C++ | Git | DevOps | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | arbeta självständigt och i team | Goda kunskaper i svenska och engelska i tal och skrift""","C# | VB.NET | Erfarenhet av desktoputveckling | WinForms | WPF eller liknande | Erfarenhet av arbete med databaser | artificiell intelligens | maskininlärning eller data-analys] | Autodesk-produkter | AutoCAD | Erfarenhet av C++ | DevOps | Ett strukturerat arbetssätt | Förmåga att arbeta självständigt och i team | Goda kunskaper i svenska och engelska i tal och skrift"" | ""Kunskaper i .NET | Kunskaper inom elschema | industriell automation | Erfarenhet av Git | [Intresse för | eller erfarenhet av",19,21,15,0.7894736842105263,0.7142857142857143,""".NET | C# | VB.NET | desktoputveckling | WinForms | WPF eller liknande | databaser | artificiell intelligens | maskininlärning + data-analys | Autodesk-produkter | AutoCAD | C++ | Git | DevOps | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | arbeta självständigt och i team | Goda kunskaper i svenska och engelska i tal och skrift""","""Kunskaper i .NET | C# | VB.NET | Erfarenhet av desktoputveckling | WinForms | WPF eller liknande | Erfarenhet av arbete med databaser | artificiell intelligens | maskininlärning eller data-analys] | Autodesk-produkter | AutoCAD | Erfarenhet av C++ | Erfarenhet av Git | DevOps | Ett strukturerat arbetssätt | Förmåga att arbeta självständigt och i team | Goda kunskaper i svenska och engelska i tal och skrift"" | Kunskaper inom elschema | industriell automation | [Intresse för | eller erfarenhet av",18,21,17,0.9444444444444444,0.8095238095238095,""".NET | C# | VB.NET | desktoputveckling | WinForms | WPF eller liknande | databaser | artificiell intelligens | maskininlärning | data-analys | Autodesk-produkter | AutoCAD | C++ | Git | DevOps | Ett strukturerat arbetssätt | ett intresse för komplexa tekniska lösningar | arbeta självständigt och i team | Goda kunskaper i svenska och engelska i tal och skrift""","""Kunskaper i .NET | C# | VB.NET | Erfarenhet av desktoputveckling | WinForms | WPF eller liknande | Erfarenhet av arbete med databaser | Autodesk-produkter | AutoCAD | Kunskaper inom elschema | industriell automation | Erfarenhet av C++ | Erfarenhet av Git | DevOps | Ett strukturerat arbetssätt | [Intresse för | eller erfarenhet av | artificiell intelligens | maskininlärning eller data-analys] | Förmåga att arbeta självständigt och i team | Goda kunskaper i svenska och engelska i tal och skrift"""
b538dd3a43282b4e5b082443a9a6b253a4735608,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
83a7c818ddc9bf2d7e4b88a77ceade31e20d9ab5,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
3fc97a60224060874af390a4f38f6d8cd7e7fdcf,nice_to_have,3,1,0,0,0.0,0.0,0,0,0.0,0.0,1,1,0.3333333333333333,1.0,1,1,0.3333333333333333,1.0,"""bygg- och fastighetsbranschen | [arbeta i större | komplexa IT-miljöer]""",Erfarenhet av att arbeta i större komplexa IT-miljöer,3,1,0,0.0,0.0,"""bygg- och fastighetsbranschen | [arbeta i större | komplexa IT-miljöer]""",Erfarenhet av att arbeta i större komplexa IT-miljöer,3,1,0,0.0,0.0,"""bygg- och fastighetsbranschen | [arbeta i större | komplexa IT-miljöer]""",Erfarenhet av att arbeta i större komplexa IT-miljöer,3,1,1,0.3333333333333333,1.0,"""bygg- och fastighetsbranschen | [arbeta i större | komplexa IT-miljöer]""",Erfarenhet av att arbeta i större komplexa IT-miljöer,3,1,1,0.3333333333333333,1.0,"""bygg- och fastighetsbranschen | [arbeta i större | komplexa IT-miljöer]""",Erfarenhet av att arbeta i större komplexa IT-miljöer
cfcb2ae30a6f58604789eeb74faaca09c434a5dd,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
2a372f7eed4f4231f8c4d1a54c0bba4be8b20357,nice_to_have,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,,
