model,domain,skill,test_rows,raw_prediction_items,predicted_items,gold_items,filtered_items,duplicate_items_removed,unsupported_items,format_compliance,unsupported_item_rate,exact_new_matches,containment_new_matches,lexical_new_matches,semantic_new_matches,exact_macro_precision,exact_macro_recall,exact_macro_f1,exact_micro_precision,exact_micro_recall,exact_micro_f1,containment_macro_precision,containment_macro_recall,containment_macro_f1,containment_micro_precision,containment_micro_recall,containment_micro_f1,lexical_macro_precision,lexical_macro_recall,lexical_macro_f1,lexical_micro_precision,lexical_micro_recall,lexical_micro_f1,semantic_macro_precision,semantic_macro_recall,semantic_macro_f1,semantic_micro_precision,semantic_micro_recall,semantic_micro_f1
BERT,it,all_skills,157,3917,3815,3296,98,4,0,not applicable to source-bound token classification,0.0,2023,820,7,5,0.5111148804671152,0.5889366840086809,0.5387550203403391,0.5302752293577981,0.6137742718446602,0.5689776402756294,0.7340425341792078,0.8384910358220387,0.7689845935996386,0.74521625163827,0.8625606796116505,0.7996062438475601,0.7361579579590634,0.8412707578692766,0.7713570588549464,0.747051114023591,0.8646844660194175,0.8015750246097594,0.7374652417729244,0.8427586537532473,0.7727402865065685,0.7483617300131061,0.8662014563106796,0.8029812965827591
BERT,it,hard_skills,157,2812,2776,2066,31,5,0,not applicable to source-bound token classification,0.0,1338,491,3,0,0.47037209432423077,0.6168820184270647,0.520076270972264,0.4819884726224784,0.6476282671829623,0.5526641883519207,0.6448374980418415,0.8472856373980828,0.713427433685471,0.6588616714697406,0.8852855759922555,0.7554729450640231,0.6460239598877264,0.8485172881982563,0.7146216492789774,0.659942363112392,0.8867376573088093,0.7567121024370095,0.6460239598877264,0.8485172881982563,0.7146216492789774,0.659942363112392,0.8867376573088093,0.7567121024370095
BERT,it,soft_skills,153,1792,1683,1169,109,0,0,not applicable to source-bound token classification,0.0,705,333,4,3,0.4372688634024641,0.6204325278158216,0.4930445712689563,0.41889483065953653,0.6030795551753636,0.4943899018232819,0.628414519164442,0.8819611275068691,0.7052364074518802,0.6167557932263814,0.8879384088964928,0.7279102384291726,0.6303719655460978,0.8848193078160298,0.7075461834498833,0.6191325014854426,0.8913601368691189,0.7307152875175316,0.6315577136358705,0.8862013673477888,0.7088195345684356,0.6209150326797386,0.8939264328485885,0.7328190743338008
BERT,it,distinct_skills,42,204,198,89,6,0,0,not applicable to source-bound token classification,0.0,42,21,0,2,0.24652511926948015,0.3634920634920635,0.26614073238723096,0.21212121212121213,0.47191011235955055,0.29268292682926833,0.3701869906757125,0.6726190476190476,0.4206299354758738,0.3181818181818182,0.7078651685393258,0.43902439024390244,0.3701869906757125,0.6726190476190476,0.4206299354758738,0.3181818181818182,0.7078651685393258,0.43902439024390244,0.39582801631673814,0.7023809523809523,0.44724057973357684,0.3282828282828283,0.7303370786516854,0.4529616724738676
BERT,it,must_have,143,1849,1805,1143,41,3,0,not applicable to source-bound token classification,0.0,631,256,0,0,0.356256181585319,0.5682586014559347,0.40643710057860083,0.34958448753462606,0.5520559930008749,0.4280868385345998,0.4926560692348799,0.7958406524674655,0.5628746124192817,0.49141274238227145,0.7760279965004374,0.601763907734057,0.4926560692348799,0.7958406524674655,0.5628746124192817,0.49141274238227145,0.7760279965004374,0.601763907734057,0.4926560692348799,0.7958406524674655,0.5628746124192817,0.49141274238227145,0.7760279965004374,0.601763907734057
BERT,it,nice_to_have,83,782,772,447,10,0,0,not applicable to source-bound token classification,0.0,261,97,0,1,0.34468963256851654,0.6075193460101513,0.4040980668560749,0.3380829015544041,0.5838926174496645,0.42821985233798193,0.4698902038565957,0.831029289177672,0.556015460827807,0.4637305699481865,0.8008948545861297,0.5873666940114848,0.4698902038565957,0.831029289177672,0.556015460827807,0.4637305699481865,0.8008948545861297,0.5873666940114848,0.4708942199208527,0.8320333052419292,0.557019476892064,0.4650259067357513,0.8031319910514542,0.5890073831009024
BERT,journal,all_skills,161,4907,4623,3598,282,2,0,not applicable to source-bound token classification,0.0,2069,1155,8,4,0.45409845794387793,0.5730188456162635,0.5007425921908601,0.4475448842742808,0.575041689827682,0.5033450918379759,0.705994753763172,0.9076520173198191,0.7835814977904986,0.6973826519576033,0.896053362979433,0.7843328062279529,0.7074309942132604,0.9095504981182249,0.7852088551606702,0.6991131300021631,0.8982768204558088,0.7862790414791387,0.7081497584380376,0.9104492673270888,0.7860041620585061,0.699978369024443,0.8993885491939967,0.7872521591047318
BERT,journal,hard_skills,161,3938,3688,2399,250,0,0,not applicable to source-bound token classification,0.0,1240,885,11,10,0.34837317187496913,0.5138959472342164,0.40683636161482345,0.3362255965292842,0.5168820341809087,0.40742566124527685,0.584392783127269,0.886641615321594,0.6890119812722547,0.5761930585683297,0.885785744060025,0.6982092985050106,0.5873965243461641,0.8915727459556263,0.6926756186190558,0.579175704989154,0.8903709879116298,0.7018235584031542,0.5896433163363836,0.8947971125450208,0.6953148775774441,0.5818872017353579,0.8945393914130888,0.7051092492196483
BERT,journal,soft_skills,142,1596,1405,892,191,0,0,not applicable to source-bound token classification,0.0,661,175,4,1,0.48027815461110246,0.6908119640876476,0.5444987201180707,0.47046263345195727,0.7410313901345291,0.5755333043099695,0.6499946164771488,0.9290206146150637,0.7346374213618857,0.5950177935943061,0.9372197309417041,0.7279059643012626,0.652747243349494,0.9330699103897117,0.7378765531221442,0.597864768683274,0.9417040358744395,0.7313887679582064,0.6531873841945643,0.9335729284983635,0.7383460366902194,0.598576512455516,0.9428251121076233,0.7322594688724422
BERT,journal,distinct_skills,98,486,452,266,34,0,0,not applicable to source-bound token classification,0.0,80,106,0,0,0.21752864482456322,0.31070213799805635,0.23774800710195926,0.17699115044247787,0.3007518796992481,0.22284122562674094,0.44124979329060965,0.7102445740200843,0.5057277972092846,0.41150442477876104,0.6992481203007519,0.5181058495821728,0.44124979329060965,0.7102445740200843,0.5057277972092846,0.41150442477876104,0.6992481203007519,0.5181058495821728,0.44124979329060965,0.7102445740200843,0.5057277972092846,0.41150442477876104,0.6992481203007519,0.5181058495821728
BERT,journal,must_have,161,4817,4575,3281,241,1,0,not applicable to source-bound token classification,0.0,1973,1025,10,8,0.4449846764740396,0.599930716688795,0.5029218939614084,0.4312568306010929,0.6013410545565376,0.5022912423625254,0.6718141066038236,0.9166519488728447,0.7626096570289056,0.6553005464480874,0.9137458092045109,0.7632382892057027,0.6738169563008745,0.9196277584325051,0.7649804722440611,0.6574863387978143,0.916793660469369,0.7657841140529532,0.6749311274273508,0.9210892192023763,0.7662262090159264,0.6592349726775957,0.9192319414812558,0.7678207739307537
BERT,journal,nice_to_have,88,397,362,216,35,0,0,not applicable to source-bound token classification,0.0,104,87,0,0,0.33302629764026825,0.5125090187590188,0.38460623971987606,0.287292817679558,0.48148148148148145,0.3598615916955017,0.5510669987692046,0.8805735930735931,0.6479035232444323,0.5276243093922652,0.8842592592592593,0.6608996539792388,0.5510669987692046,0.8805735930735931,0.6479035232444323,0.5276243093922652,0.8842592592592593,0.6608996539792388,0.5510669987692046,0.8805735930735931,0.6479035232444323,0.5276243093922652,0.8842592592592593,0.6608996539792388
BERT,merged,all_skills,318,8857,8488,6893,363,6,0,not applicable to source-bound token classification,0.0,4179,1896,15,9,0.48771397821658785,0.5979610636656151,0.5295683209659356,0.4923421300659755,0.6062672276222254,0.5433976984591379,0.7151313435774689,0.877238404732519,0.774926469841685,0.7157163053722903,0.8813288843754533,0.7899356348741954,0.7167295774085266,0.8793629746476553,0.7767341693007732,0.717483506126296,0.883505005077615,0.7918860932319096,0.717473300536842,0.8802132911461548,0.7775237879594623,0.7185438265786993,0.884810677498912,0.7930563682465379
BERT,merged,hard_skills,317,6546,6291,4463,252,3,0,not applicable to source-bound token classification,0.0,2639,1292,10,10,0.4326098483380582,0.5980783601567582,0.4909416688673194,0.41948815768558256,0.5913062962133094,0.49079412311697973,0.6280364420998805,0.8786431370823669,0.7163047977406155,0.6248609124145604,0.880797669728882,0.7310768086293472,0.6297013757241646,0.8807790435479622,0.7181453212040124,0.6264504848195835,0.88303831503473,0.732936581737028,0.630975445234488,0.8826655900454302,0.7196474545810019,0.6280400572246065,0.8852789603405781,0.734796354844709
BERT,merged,soft_skills,294,3050,2849,2064,201,0,0,not applicable to source-bound token classification,0.0,1327,505,7,2,0.48014465499215947,0.6431812756416282,0.531311617514731,0.46577746577746576,0.6429263565891473,0.540199470791777,0.6667230891438745,0.8923990710842294,0.7377256456135539,0.6430326430326431,0.8875968992248062,0.7457765112965601,0.6687323829093444,0.895090465102154,0.7399904566183827,0.6454896454896455,0.8909883720930233,0.7486260940362304,0.6690042785014371,0.8953828627629726,0.7402716770023609,0.6461916461916462,0.8919573643410853,0.7494402605332792
BERT,merged,distinct_skills,140,476,462,355,14,0,0,not applicable to source-bound token classification,0.0,113,101,0,1,0.27294485743015157,0.3046740362811791,0.2652611475825762,0.24458874458874458,0.3183098591549296,0.2766217870257038,0.4553149336657739,0.5935856009070294,0.4706666468452182,0.46320346320346323,0.6028169014084507,0.5238678090575275,0.4553149336657739,0.5935856009070294,0.4706666468452182,0.46320346320346323,0.6028169014084507,0.5238678090575275,0.45710064795148825,0.5947760770975056,0.47209521827378964,0.4653679653679654,0.6056338028169014,0.5263157894736842
BERT,merged,must_have,303,6543,6184,4422,352,7,0,not applicable to source-bound token classification,0.0,2622,1250,7,6,0.416711234585987,0.5967374569757896,0.4696727541017349,0.4239974126778784,0.592944369063772,0.494437111069206,0.599588204848515,0.8597744285136935,0.6751085017137213,0.6261319534282018,0.8756218905472637,0.7301527437299643,0.600523512965161,0.8608571855989258,0.6761090066271076,0.6272639068564037,0.8772048846675712,0.7314727512728644,0.6009750030509409,0.8614490996035901,0.6766152453066897,0.6282341526520052,0.878561736770692,0.7326041863096361
BERT,merged,nice_to_have,172,963,933,664,30,0,0,not applicable to source-bound token classification,0.0,370,172,0,0,0.39591661633340297,0.5548085991935441,0.435869198033962,0.3965702036441586,0.5572289156626506,0.46336881653099565,0.5794245644786091,0.8404484166724068,0.6446989241373456,0.5809217577706324,0.8162650602409639,0.6787726988102692,0.5794245644786091,0.8404484166724068,0.6446989241373456,0.5809217577706324,0.8162650602409639,0.6787726988102692,0.5794245644786091,0.8404484166724068,0.6446989241373456,0.5809217577706324,0.8162650602409639,0.6787726988102692
BART,it,all_skills,157,1859,1859,3296,0,0,55,not recoverable from retained parsed artifacts,0.029585798816568046,1099,463,21,5,0.5746406571244441,0.3458944270435417,0.41707468587034363,0.5911780527165142,0.33343446601941745,0.4263821532492725,0.8324914065624659,0.49476376249341036,0.5988083549905574,0.8402366863905325,0.47390776699029125,0.6060135790494665,0.8441113076568895,0.5023928755924533,0.6077613024885764,0.8515330823023131,0.48027912621359226,0.6141610087293891,0.8468018286678933,0.504262172497344,0.6098991058237017,0.8542227003765466,0.4817961165048544,0.6161008729388944
BART,it,hard_skills,157,941,940,2066,1,0,38,not recoverable from retained parsed artifacts,0.04042553191489362,440,253,5,7,0.42439181774888035,0.2605614052673576,0.29587608554412353,0.46808510638297873,0.21297192642787996,0.2927478376580173,0.7300448251843906,0.3947365503932055,0.4649517024374251,0.7372340425531915,0.3354307841239109,0.4610778443113772,0.7363080948234565,0.3969733558147243,0.4682049893517477,0.7425531914893617,0.3378509196515005,0.46440452428476386,0.7428253832674965,0.3999699283691837,0.47220918848195076,0.75,0.34123910939012586,0.46906187624750495
BART,it,soft_skills,153,751,751,1169,0,0,40,not recoverable from retained parsed artifacts,0.05326231691078562,398,188,7,3,0.49552555287849415,0.37377604818720583,0.3995795171440298,0.5299600532623169,0.34046193327630453,0.41458333333333336,0.7885421405029248,0.5586894552080007,0.6062106352605869,0.7802929427430093,0.5012831479897348,0.6104166666666666,0.804500746167413,0.570179236305625,0.6189602918010931,0.7896138482023968,0.5072711719418306,0.6177083333333334,0.8085468090370052,0.5737740075474549,0.6225515678837188,0.7936085219707057,0.5098374679213002,0.6208333333333332
