model,domain,skill,id,exact_new_matches,containment_new_matches,lexical_new_matches,semantic_new_matches,predicted_count,gold_count,exact_true_positives,exact_precision,exact_recall,exact_f1,containment_true_positives,containment_precision,containment_recall,containment_f1,lexical_true_positives,lexical_precision,lexical_recall,lexical_f1,semantic_true_positives,semantic_precision,semantic_recall,semantic_f1,raw_prediction_count,filtered_prediction_count,duplicate_items_removed,unsupported_count,unsupported_rate,gold,raw_prediction,prediction,filtered_prediction,unsupported_prediction,llm_source_row,llm_text_exact_after_normalization,llm_text_token_exact_after_normalization,llm_text_compact_exact_after_normalization,llm_text_token_sequence_similarity
BERT,it,all_skills,ce5383b36d76faa7e4814cfd096250147c69c419,12,6,0,0,23,19,12,0.5217391304347826,0.631578947368421,0.5714285714285715,18,0.782608695652174,0.9473684210526315,0.8571428571428571,18,0.782608695652174,0.9473684210526315,0.8571428571428571,18,0.782608695652174,0.9473684210526315,0.8571428571428571,23,0,0,0,0.0,"behärskar svenska i tal och skrift | mjukvaruutvecklare av komplexa inbyggda realtidssystem | teknikområdet 5G | agilt team | ansvarar för produktens hela utvecklingscykel | systemering | design | test på flera nivåer | C | C++ | Java | Matlab | Git | samarbete med andra utvecklare, kravställare och testare | jobba i team | bidrar med sin kunskap för att nå gemensamma mål | utveckla teamets arbetssätt och färdighet | goda kunskaper i engelska såväl i tal som skrift | ett stort intresse för teknik","komplexa inbyggda realtidssystem | 5G | agilt team | produktens | hela utvecklingscykel | systemering | design | test | nära | samarbete med andra utvecklare, kravställare | testare | C++ | Java | Matlab | Git | ett stort intresse för teknik | gillar | jobba i team | nå gemensamma mål | utveckla teamets arbetssätt och färdighet | goda kunskaper i engelska såväl i tal som skrift | behärskar svenska i tal och skrift | agila","komplexa inbyggda realtidssystem | 5G | agilt team | produktens | hela utvecklingscykel | systemering | design | test | nära | samarbete med andra utvecklare, kravställare | testare | C++ | Java | Matlab | Git | ett stort intresse för teknik | gillar | jobba i team | nå gemensamma mål | utveckla teamets arbetssätt och färdighet | goda kunskaper i engelska såväl i tal som skrift | behärskar svenska i tal och skrift | agila",,,,not_applicable,not_applicable,not_applicable,not_applicable
BERT,it,all_skills,684e1ce5a4f93b330c6e1b074f35c07416c5b722,16,5,0,0,43,23,16,0.37209302325581395,0.6956521739130435,0.48484848484848486,21,0.4883720930232558,0.9130434782608695,0.6363636363636364,21,0.4883720930232558,0.9130434782608695,0.6363636363636364,21,0.4883720930232558,0.9130434782608695,0.6363636363636364,44,1,0,0,0.0,CI | testautomation | utveckla mjukvara som i sin tur testar annan mjukvara eller hårdvara | utveckla mjukvaruverktyg som stöttar i testprocessen | ramverk | continuous integration-pipelines | breda kunskaper | förstå produkten | felsöka | studera loggar | Programmering | öppenhet | god sammanhållning | ett kritiskt tänkande | engagerad | leverera ditt bästa resultat | kreativ och nyfiken inför uppdragets behov | snabbt anpassa dig till olika situationer | förståelse för projektets behov | hitta den rätta lösningen för att komma framåt | social | arbeta i team | ser spännande utmaningar i de möjligheter som erbjuds,test | CI | testautomation | programmera | skriva automatiserade testfall | utvecklar CI-pipelines med | Zuul/Jenkins | implementera verktyg och flöden | BDD | testmetodik? | testningen | utveckla mjukvara som | testar annan mjukvara eller hårdvara | utveckla mjukvaruverktyg som stöttar i testprocessen | ramverk | continuous integration-pipelines | Test (SDET) | breda kunskaper | ett kritiskt tänkande | gillar att | förstå produkten | kreativa sinne | designa nya sätt att sätta produkten på prov | utvecklar | ha god struktur och kvalitet | gillar | felsöka | studera loggar | lokalisera orsaken till ett problem | Programmering | engagerad | strävar efter att | leverera ditt bästa resultat varje gång | kreativ | nyfiken inför uppdragets behov | snabbt anpassa dig till olika situationer | har | fenomenal fingertoppskänsla | förståelse för projektets behov | hitta | social | arbeta i team | ser spännande utmaningar | de möjligheter som erbjuds,test | CI | testautomation | programmera | skriva automatiserade testfall | utvecklar CI-pipelines med | Zuul/Jenkins | implementera verktyg och flöden | BDD | testmetodik? | testningen | utveckla mjukvara som | testar annan mjukvara eller hårdvara | utveckla mjukvaruverktyg som stöttar i testprocessen | ramverk | continuous integration-pipelines | Test (SDET | breda kunskaper | ett kritiskt tänkande | gillar att | förstå produkten | kreativa sinne | designa nya sätt att sätta produkten på prov | utvecklar | ha god struktur och kvalitet | gillar | felsöka | studera loggar | lokalisera orsaken till ett problem | Programmering | engagerad | strävar efter att | leverera ditt bästa resultat varje gång | kreativ | nyfiken inför uppdragets behov | snabbt anpassa dig till olika situationer | fenomenal fingertoppskänsla | förståelse för projektets behov | hitta | social | arbeta i team | ser spännande utmaningar | de möjligheter som erbjuds,har,,,not_applicable,not_applicable,not_applicable,not_applicable
BERT,it,all_skills,0d14ef2480d3a575b2402d632cebed56cf34c5b1,8,10,0,0,27,22,8,0.2962962962962963,0.36363636363636365,0.32653061224489793,18,0.6666666666666666,0.8181818181818182,0.7346938775510203,18,0.6666666666666666,0.8181818181818182,0.7346938775510203,18,0.6666666666666666,0.8181818181818182,0.7346938775510203,29,2,0,0,0.0,"utvecklingsflöden | utmaningar utvecklare möter | utveckla och implementera självbetjäningslösningar | Förståelse för API-design och integration | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring | kommunikativ | har en god förmåga att förklara tekniska koncept på ett tydligt sätt | skapa de bästa möjliga förutsättningarna för företagets utvecklare | förbättra deras arbetsmiljö, verktyg och produktivitet | Developer Experience (DevEx) | säkerställa att utvecklare kan arbeta effektivt, utan onödiga hinder | analysera och identifiera flaskhalsar i utvecklingsflödet | utveckla och implementera lösningar som optimerar arbetsprocesserna | förbättra onboardingprocessen för nya utvecklare | skapa och underhålla tydlig och användarvänlig dokumentation, guider och utbildningsmaterial kopplat till utvecklingsverktyg och processer | arbeta datadrivet genom att samla in och analysera insikter | mäta framsteg | identifiera förbättringsområden | säkerställa att nya verktyg och processer integreras på ett sätt som skapar verkligt värde för organisationen | förbättra utvecklingsmiljöer | samarbete med utvecklingsteam","Developer | analysera och | identifiera flaskhalsar i utvecklingsflödet | utveckla och implementera lösningar | optimerar arbetsprocesserna | förbättra onboardingprocessen för nya utvecklare | skapa och underhålla tydlig och användarvänlig dokumentation, guider och utbildningsmaterial kopplat till utvecklingsverktyg och processer | arbeta datadrivet | samla in och analysera insikter | mäta framsteg | identifiera förbättringsområden | nära samarbete med utvecklingsteam | säkerställa att nya verktyg och processer | förbättra utvecklingsmiljöer | har | ett öga för detaljer | roll | tekniskt arbete | strategisk förbättring | för | utvecklingsflöden och de utmaningar utvecklare möter | utveckla och implementera självbetjäningslösningar | Förståelse | API-design och | integration | kommunikativ | en god förmåga att | förklara tekniska koncept på ett tydligt sätt | kombinera tekniskt arbete med strategisk förbättring","Developer | analysera och | identifiera flaskhalsar i utvecklingsflödet | utveckla och implementera lösningar | optimerar arbetsprocesserna | förbättra onboardingprocessen för nya utvecklare | skapa och underhålla tydlig och användarvänlig dokumentation, guider och utbildningsmaterial kopplat till utvecklingsverktyg och processer | arbeta datadrivet | samla in och analysera insikter | mäta framsteg | identifiera förbättringsområden | nära samarbete med utvecklingsteam | säkerställa att nya verktyg och processer | förbättra utvecklingsmiljöer | ett öga för detaljer | roll | tekniskt arbete | strategisk förbättring | utvecklingsflöden och de utmaningar utvecklare möter | utveckla och implementera självbetjäningslösningar | Förståelse | API-design och | integration | kommunikativ | en god förmåga att | förklara tekniska koncept på ett tydligt sätt | kombinera tekniskt arbete med strategisk förbättring",har | för,,,not_applicable,not_applicable,not_applicable,not_applicable
BERT,it,all_skills,8c8615e90ed52df6f4a0a6251153a155932e128d,21,5,0,0,36,28,21,0.5833333333333334,0.75,0.6562499999999999,26,0.7222222222222222,0.9285714285714286,0.8125000000000001,26,0.7222222222222222,0.9285714285714286,0.8125000000000001,26,0.7222222222222222,0.9285714285714286,0.8125000000000001,36,0,0,0,0.0,"tala och skriva svenska flytande | jobba med produkter både inom och utanför SAP:s familj | agila utvecklingsteam | agila arbetssätt | SAP S/4 | SAP CRM | SAP Workflow | SAP BTP | arbeta med försäkringslösningar | arbeta som Tech Lead | Agera Tech Lead inom SAP och ABAP utveckling | Utveckla prioriterade funktioner i ABAP | följa TRRs utvecklingsprocess | agila team | kodgranskning, både manuell och automatisk | automatiska tester | delaktig i hur TRR kan använda SAPs funktionalitet | systemintegration | gränssnittsutveckling | koppla samman SAP-systemen med andra system och applikationer | Microsoft Azure | SAP API management | OData | Events | RFC | Nyfiken | öppen | lyfter blicken och spanar mot framtiden","utveckling | klassisk | ABAP utveckling | Agera Tech Lead inom SAP och ABAP utveckling | Utveckla prioriterade funktioner i ABAP | följa TRRs utvecklingsprocess i agila team | Arbeta | kodgranskning, både manuell och automatisk | Arbeta med | automatiska tester | Vara delaktig i hur TRR kan använda SAPs funktionalitet | involverad i | systemintegration och | gränssnittsutveckling | koppla samman SAP-systemen med andra system och applikationer | Microsoft Azure | SAP API management | OData | Events | RFC | Nyfiken | öppen | jobba | produkter både inom och utanför | agila utvecklingsteam | agila arbetssätt | tala och skriva svenska flytande | SAP S/4 | SAP CRM | SAP Workflow | SAP BTP | arbeta med försäkringslösningar | arbeta som Tech Lead med | rutiner | pattern'n'practices | developer experience","utveckling | klassisk | ABAP utveckling | Agera Tech Lead inom SAP och ABAP utveckling | Utveckla prioriterade funktioner i ABAP | följa TRRs utvecklingsprocess i agila team | Arbeta | kodgranskning, både manuell och automatisk | Arbeta med | automatiska tester | Vara delaktig i hur TRR kan använda SAPs funktionalitet | involverad i | systemintegration och | gränssnittsutveckling | koppla samman SAP-systemen med andra system och applikationer | Microsoft Azure | SAP API management | OData | Events | RFC | Nyfiken | öppen | jobba | produkter både inom och utanför | agila utvecklingsteam | agila arbetssätt | tala och skriva svenska flytande | SAP S/4 | SAP CRM | SAP Workflow | SAP BTP | arbeta med försäkringslösningar | arbeta som Tech Lead med | rutiner | pattern'n'practices | developer experience",,,,not_applicable,not_applicable,not_applicable,not_applicable
BERT,it,all_skills,65ae2330cb89e652e7c6909d34279b7293b0af6b,13,1,0,0,22,14,13,0.5909090909090909,0.9285714285714286,0.7222222222222223,14,0.6363636363636364,1.0,0.7777777777777778,14,0.6363636363636364,1.0,0.7777777777777778,14,0.6363636363636364,1.0,0.7777777777777778,24,1,1,0,0.0,systemutveckling | mjukvaruutveckling | programmeringsspråk | C# | Java | Python | .NET | databasutveckling | SQL | NoSQL | MongoDB | agil utveckling | Scrum | flytande på svenska och engelska i tal och skrift,mjukvaruutveckling | från | design | programmering | testning och implementation av mjukvarulösningar | moderna programmeringsspråk och ramverk | C# | Java | Python | NET | SQL-databaser | NoSQL-databaser | MongoDB | agil | systemutveckling och mjukvaruutveckling | programmeringsspråk | NET) | databasutveckling | SQL | NoSQL | agil utveckling | Scrum | liknande metoder | flytande på svenska och engelska i tal och skrift,mjukvaruutveckling | design | programmering | testning och implementation av mjukvarulösningar | moderna programmeringsspråk och ramverk | C# | Java | Python | .NET | SQL-databaser | NoSQL-databaser | MongoDB | agil | systemutveckling och mjukvaruutveckling | programmeringsspråk | databasutveckling | SQL | NoSQL | agil utveckling | Scrum | liknande metoder | flytande på svenska och engelska i tal och skrift,från,,,not_applicable,not_applicable,not_applicable,not_applicable
BERT,it,all_skills,710de6ddc2b13827b13f1e8302d97de83df60675,8,7,0,0,27,15,8,0.2962962962962963,0.5333333333333333,0.38095238095238093,15,0.5555555555555556,1.0,0.7142857142857143,15,0.5555555555555556,1.0,0.7142857142857143,15,0.5555555555555556,1.0,0.7142857142857143,28,1,0,0,0.0,"Embedded C++ utveckling | Testutveckling med Java | en stark förståelse för hårdvara och testmetodik | handlingskraftig | lösningsorienterad | samarbetsvillig | Embedded C++ utvecklare | Testutvecklare med Java-kunskaper | designa, implementera och underhålla testplattformen | programmerar och konfigurerar HW | automatiserade tester som säkerställer funktionalitet och kvalitet i våra produkter | bidra aktivt i hela utvecklingscykeln | mjukvaruutveckling | testning och analys av data | nära samarbete med resten av våra utvecklingsteam","embedded | embedded systems | C++ utvecklare | Testutvecklare | Java-kunskaper | hårdvaru-testutveckling | utveckla avancerade testsystem för testning av hårdvara | designa, implementera och underhålla testplattformen | programmerar och konfigurerar HW | automatiserade | tester | funktionalitet och kvalitet i våra produkter | fighterplattformar | ett | nära samarbete med resten | utvecklingsteam | bidra aktivt i | hela utvecklingscykeln | mjukvaruutveckling | testning och | analys av data | labbmiljö | C++ utveckling | Testutveckling med Java | en stark förståelse för hårdvara och testmetodik | handlingskraftig | lösningsorienterad | samarbetsvillig","embedded | embedded systems | C++ utvecklare | Testutvecklare | Java-kunskaper | hårdvaru-testutveckling | utveckla avancerade testsystem för testning av hårdvara | designa, implementera och underhålla testplattformen | programmerar och konfigurerar HW | automatiserade | tester | funktionalitet och kvalitet i våra produkter | fighterplattformar | nära samarbete med resten | utvecklingsteam | bidra aktivt i | hela utvecklingscykeln | mjukvaruutveckling | testning och | analys av data | labbmiljö | C++ utveckling | Testutveckling med Java | en stark förståelse för hårdvara och testmetodik | handlingskraftig | lösningsorienterad | samarbetsvillig",ett,,,not_applicable,not_applicable,not_applicable,not_applicable
BERT,it,all_skills,4f42b08e33892861172b8eb5b8307445e110c04d,29,9,0,0,52,39,29,0.5576923076923077,0.7435897435897436,0.6373626373626373,38,0.7307692307692307,0.9743589743589743,0.8351648351648352,38,0.7307692307692307,0.9743589743589743,0.8351648351648352,38,0.7307692307692307,0.9743589743589743,0.8351648351648352,54,2,0,0,0.0,"Objektorienterad utveckling och testning | Containerbaserad utveckling i Linuxmiljö | Systemövervakning | Prometheus | Grafana | Elasticsearch | Orkestrering | Terraform | Ansible | Puppet | Automatisering | ci/cd | God förmåga att kommunicera på svenska och engelska i såväl tal som skrift | Kubernetes | React.js | annat frontend-ramverk | strömmad data | SQL | säkerhetsklassad information | agilt arbetssätt | IT | ta ett helhetsansvar för teamets olika system inom cyberområdet, både befintliga och framtida | driva innovation | backend/devops | frontend | scrum master | kombinerar dina tekniska kunskaper med din analytiska förmåga | vidareutveckla teknisk metodik och verktyg för att hitta nya sätt att utveckla verksamheten | kreativ | förmågan att utveckla effektiva, förnuftiga och genomförbara lösningar på problem | lätt att ta in ny information | använda nya kunskaper på ett flexibelt sätt | söker nya perspektiv och idéer för stimulera innovation och förändring | konstruktivt i pressade situationer | bibehåller en entusiastisk och positiv attityd även i tuffa situationer | följa upp ditt arbete mot enhetens mål och interna användare | driver nya initiativ inom ramen för ditt arbete | samverkar med andra | främja och utveckla andras idéer","kreativ | stort teknikintresse | underhåll av befintliga system | en | IT | ta ett helhetsansvar för teamets olika system inom cyberområdet, både befintliga och framtida | driva innovation | inom backend/devops | frontend | iterativt | från kravinsamling och design, till implementation och utvärdering | nära samarbete med beställare och interna användare | analytiska förmåga | arbeta | vidareutveckla teknisk metodik och verktyg | hitta nya sätt att utveckla verksamheten | kommunicera på svenska och engelska i såväl tal som skrift | Objektorienterad utveckling och testning | Containerbaserad utveckling i Linuxmiljö | Systemövervakning | Prometheus | Grafana | Elasticsearch) | Orkestrering | Terraform | Ansible | Puppet) | Automatisering | ci/cd) | Administrerat | använt | Kubernetes | Kodat i | React.js | annat | frontend-ramverk | strömmad data | programmering i SQL | med | säkerhetsklassad information | agilt arbetssätt | utveckla effektiva, förnuftiga och genomförbara lösningar på problem | lätt att ta in ny information | använda nya kunskaper på ett flexibelt sätt | söker nya perspektiv och idéer | stimulera innovation och förändring | arbetar | konstruktivt i pressade situationer | bibehåller | en entusiastisk och positiv attityd även i tuffa situationer | följa upp ditt arbete mot enhetens mål och interna användare | driver nya initiativ inom ramen för ditt arbete | samverkar med andra | främja och utveckla andras idéer","kreativ | stort teknikintresse | underhåll av befintliga system | IT | ta ett helhetsansvar för teamets olika system inom cyberområdet, både befintliga och framtida | driva innovation | inom backend/devops | frontend | iterativt | från kravinsamling och design, till implementation och utvärdering | nära samarbete med beställare och interna användare | analytiska förmåga | arbeta | vidareutveckla teknisk metodik och verktyg | hitta nya sätt att utveckla verksamheten | kommunicera på svenska och engelska i såväl tal som skrift | Objektorienterad utveckling och testning | Containerbaserad utveckling i Linuxmiljö | Systemövervakning | Prometheus | Grafana | Elasticsearch | Orkestrering | Terraform | Ansible | Puppet | Automatisering | CI/CD | Administrerat | använt | Kubernetes | Kodat i | React.js | annat | frontend-ramverk | strömmad data | programmering i SQL | säkerhetsklassad information | agilt arbetssätt | utveckla effektiva, förnuftiga och genomförbara lösningar på problem | lätt att ta in ny information | använda nya kunskaper på ett flexibelt sätt | söker nya perspektiv och idéer | stimulera innovation och förändring | arbetar | konstruktivt i pressade situationer | bibehåller | en entusiastisk och positiv attityd även i tuffa situationer | följa upp ditt arbete mot enhetens mål och interna användare | driver nya initiativ inom ramen för ditt arbete | samverkar med andra | främja och utveckla andras idéer",en | med,,,not_applicable,not_applicable,not_applicable,not_applicable
BERT,it,all_skills,8e78ce59d3e8d0b1d93d0556633f2fe7b72ce506,7,1,0,0,22,8,7,0.3181818181818182,0.875,0.4666666666666667,8,0.36363636363636365,1.0,0.5333333333333333,8,0.36363636363636365,1.0,0.5333333333333333,8,0.36363636363636365,1.0,0.5333333333333333,23,1,0,0,0.0,system- och mjukvaruarbete | agilt i scrumteam | systemutveckling | ren mjukvaruutveckling med moderna verktyg | CLion | git | tredjepartsprogramvara | nära samarbete med angränsande team,system- och mjukvaruarbete | kravformulering | utveckla delsystem | till | flygplanets taktiska förmåga | nära samarbete med angränsande team | Mjukvaruutvecklingen | agilt i | scrumteam | jobba med | systemutveckling | ren mjukvaruutveckling med moderna verktyg | CLion | git | tredjepartsprogramvara) | testflyger | funktioner | simulatorer | riggar | Sensorfusion | Taktisk | Situationsanalys | sensorstyrning,system-och mjukvaruarbete | kravformulering | utveckla delsystem | flygplanets taktiska förmåga | nära samarbete med angränsande team | Mjukvaruutvecklingen | agilt i | scrumteam | jobba med | systemutveckling | ren mjukvaruutveckling med moderna verktyg | CLion | git | tredjepartsprogramvara | testflyger | funktioner | simulatorer | riggar | Sensorfusion | Taktisk | Situationsanalys | sensorstyrning,till,,,not_applicable,not_applicable,not_applicable,not_applicable
BERT,it,all_skills,5438f47b2a91464a3363506c57f15450e10aecf0,9,5,0,0,20,16,9,0.45,0.5625,0.5,14,0.7,0.875,0.7777777777777777,14,0.7,0.875,0.7777777777777777,14,0.7,0.875,0.7777777777777777,20,0,0,0,0.0,"programmera i C# | C/C++ | Java | Python | mjukvaruarkitektur | systemdesign | Goda kunskaper i svenska och engelska i tal och skrift | bygga Linuxsystem | utvecklingen av inbyggda system | bygga Linuxsystem eller applikationer | utvecklar paketeras och designas för att ha en lång livslängd | samarbeta tätt med projektledare, kollegor och kunder | Målmedveten | Ansvarstagande | Stabil | Förändringsbenägen","testutveckling | mjukvaruutveckling | utvecklingen av inbyggda system | bygga Linuxsystem eller applikationer för dessa | samarbeta tätt med projektledare, kollegor och kunder | paketeras och designas | engagerat | team | programmera | C# | C/C++ | Java/Python | Goda kunskaper i svenska och engelska i tal och skrift | ett stort intresse för | mjukvaruarkitektur och systemdesign | bygga Linuxsystem | Målmedveten | Ansvarstagande | Stabil | Förändringsbenägen","testutveckling | mjukvaruutveckling | utvecklingen av inbyggda system | bygga Linuxsystem eller applikationer för dessa | samarbeta tätt med projektledare, kollegor och kunder | paketeras och designas | engagerat | team | programmera | C# | C/C++ | Java/Python | Goda kunskaper i svenska och engelska i tal och skrift | ett stort intresse för | mjukvaruarkitektur och systemdesign | bygga Linuxsystem | Målmedveten | Ansvarstagande | Stabil | Förändringsbenägen",,,,not_applicable,not_applicable,not_applicable,not_applicable
BERT,it,all_skills,cd3d047c73d68810b8ac792702af99a4cc3a8e91,8,8,0,0,21,18,8,0.38095238095238093,0.4444444444444444,0.41025641025641024,16,0.7619047619047619,0.8888888888888888,0.8205128205128205,16,0.7619047619047619,0.8888888888888888,0.8205128205128205,16,0.7619047619047619,0.8888888888888888,0.8205128205128205,22,1,0,0,0.0,"utveckling av molnbaserade telekommunikationslösningar för 3GPPs 5G standard | behärskar svenska språket | komplexa inbyggda realtidssystem som skall realiseras med hjälp av virtualiseringsteknologier | utveckling av mjukvara | förståelse för telekommunikationssignalbehandling och schedulering | agilt team | produktens hela utvecklingscykel | systemering | design | test av mjukvarulösnningen | ett genuint intresse för teknik i allmänhet och telekommunikation i synnerhet | nära samarbete med andra utvecklare, kravställare och testare | goda kunskaper i engelska i tal och skrift | arbetar i team | kommunicera | be om hjälp | lära av andra | lära ut",utveckling av molnbaserade telekommunikationslösningar för | 3GPPs 5G standard | realtidssystem | virtualiseringsteknologier | utveckling av mjukvara för lager ett och två | telekommunikationssignalbehandling | schedulering | agilt | produktens | hela utvecklingscykel | systemering | design | test av mjukvarulösnningen | kravställare | agila | ett genuint intresse för teknik i allmänhet och telekommunikation i synnerhet | goda kunskaper i engelska i tal och skrift | behärskar svenska språket | för | team | kommunicera | be om hjälp,utveckling av molnbaserade telekommunikationslösningar för | 3GPPs 5G standard | realtidssystem | virtualiseringsteknologier | utveckling av mjukvara för lager ett och två | telekommunikationssignalbehandling | schedulering | agilt | produktens | hela utvecklingscykel | systemering | design | test av mjukvarulösnningen | kravställare | agila | ett genuint intresse för teknik i allmänhet och telekommunikation i synnerhet | goda kunskaper i engelska i tal och skrift | behärskar svenska språket | team | kommunicera | be om hjälp,för,,,not_applicable,not_applicable,not_applicable,not_applicable
