model,domain,configuration_count,exact_macro_precision,exact_macro_recall,exact_macro_f1,containment_macro_precision,containment_macro_recall,containment_macro_f1,lexical_macro_precision,lexical_macro_recall,lexical_macro_f1,semantic_macro_precision,semantic_macro_recall,semantic_macro_f1,predicted_items,unsupported_items,unsupported_item_rate,raw_prediction_items,filtered_items,filtered_item_rate
BART,it,6,0.42546801681097873,0.3066598943676829,0.33261380854118966,0.6507820381383794,0.4469527189519909,0.48939785764115945,0.6569884724405305,0.4511527162313865,0.49412523219155613,0.6633113927752448,0.4568224522745458,0.499909949445386,4769,176,0.036905011532816105,4772,2,0.00041911148365465214
BART,journal,6,0.40366241194944125,0.2844143579125396,0.31452956442343777,0.6415774766007486,0.4223424834069487,0.4756298225800831,0.6715237053908613,0.43930784090496044,0.4951505311389408,0.6846167719190713,0.4458584222390321,0.5030511551468551,5714,349,0.061078053902695134,5714,0,0.0
BART,merged,6,0.43859970622577954,0.33436348041944997,0.35453120312475955,0.6658453157042908,0.4959389323475998,0.527940338324564,0.6779844096884095,0.5032836550681604,0.5363958760506969,0.6859271545201068,0.5110237278037634,0.5432170724733169,11896,375,0.03152320107599193,11896,0,0.0
BERT,it,6,0.39437112860285434,0.560920206868286,0.4380919604005777,0.5566713025254465,0.8112044649985294,0.6211947405766587,0.5575478578600125,0.8123493905246245,0.6221741500511282,0.5624042034614986,0.8179553698982732,0.6272193565664841,11049,0,0.0,11356,295,0.025977456851003874
BERT,journal,6,0.3797149005614701,0.5334781050639996,0.429558969117833,0.600752175338538,0.8717973938704998,0.6872453129845435,0.6022847517116012,0.8741065133316241,0.6890621365999414,0.6030380630760251,0.8751211157777544,0.6899204342993022,15105,0,0.0,16141,1033,0.06399851310327737
BERT,merged,6,0.4143401983160579,0.5492401319857524,0.4537707845110432,0.6073697629690203,0.8236815098320408,0.6699051643153565,0.60840439119193,0.825020614412689,0.6710574207888067,0.6091588732923009,0.8258225562213434,0.671808717876775,25207,0,0.0,26435,1212,0.04584830716852657
Claude,it,6,0.4284877822192595,0.42854226990938477,0.4096903499216707,0.6803273316212864,0.662680014012487,0.6374833542080104,0.6851633820337203,0.6700684477506192,0.6428802663172899,0.686771051912225,0.671911432417642,0.6443998793759916,7918,204,0.025764081838848193,7918,0,0.0
Claude,journal,6,0.3296350048786438,0.3075135742974891,0.292663243335679,0.6329077014165131,0.595595510754538,0.5566994982530991,0.648353274248076,0.6128147821532218,0.5710788502651153,0.6588212949650322,0.6243820107096485,0.580807008724202,8444,710,0.08408337280909521,8452,8,0.000946521533364884
Claude,merged,6,0.36975367098296785,0.35755954674249724,0.3415729962893546,0.6497685458427984,0.6322424579799567,0.5921631447212395,0.6585939774975431,0.6416558355221619,0.6005015361687144,0.6661596164482547,0.6509135184198905,0.6077910792402923,16479,953,0.057831179076400265,16489,10,0.0006064649160046091
GPT,it,6,0.40417249120853177,0.5111873434954401,0.4286279675276155,0.5889976719633031,0.7549648210130521,0.6202238130496464,0.5898037986516851,0.7560618342474058,0.6211381903772063,0.5974769876139492,0.7622634766476217,0.6273854464090655,10689,63,0.005893909626719057,10691,1,9.353661958656815e-05
GPT,journal,6,0.338219394759054,0.36102995496962564,0.3167265718565052,0.6143171789463188,0.653125560106451,0.5626621810458915,0.6151844020573579,0.6541876214913503,0.5635569348703992,0.6191867834729208,0.6632023946528071,0.5673829705031934,9231,23,0.0024916043765572525,9253,7,0.0007565114017075543
GPT,merged,6,0.36443471913486963,0.41941703696475147,0.3606668968892748,0.6009340421455391,0.7024467338575316,0.5872720983338947,0.6018090867843034,0.7032983616795162,0.5880309621800697,0.6074362903803147,0.709428324554958,0.5926241542269735,19790,103,0.005204648812531582,19817,11,0.0005550789725992834
Gemini,it,6,0.44485936359535944,0.48021276872167645,0.44224020725622076,0.6630300033671543,0.7062845108147253,0.651848777672389,0.6664135267157818,0.708184260923631,0.6539365874910218,0.671313433158497,0.7130241346242775,0.6587748514363149,8890,84,0.009448818897637795,8891,1,0.00011247328759419637
Gemini,journal,6,0.40107733013986335,0.35924076200343164,0.3487760080474669,0.6978686417032466,0.6045516531870687,0.5899528249956533,0.7019527536476543,0.6078820201527865,0.5933392477029958,0.7064634284743515,0.6118232007052191,0.5972700824486076,7428,67,0.009019924609585353,7435,7,0.000941492938802959
Gemini,merged,6,0.4113186609307735,0.40470090506240886,0.3816578114121365,0.6798516442404116,0.6497494543100885,0.6148880010715222,0.6829056511213594,0.6518366639922881,0.6171484138465934,0.6886587728196015,0.6562646301150493,0.6217463441499794,16239,176,0.010838105794691792,16249,10,0.0006154224875376946
