domain,skill,configuration_count,exact_macro_precision,exact_macro_recall,exact_macro_f1,containment_macro_precision,containment_macro_recall,containment_macro_f1,lexical_macro_precision,lexical_macro_recall,lexical_macro_f1,semantic_macro_precision,semantic_macro_recall,semantic_macro_f1,predicted_items,unsupported_items,unsupported_item_rate,raw_prediction_items,filtered_items,filtered_item_rate
it,all_skills,5,0.47737786368171864,0.5149854835167148,0.4739336724387558,0.6916888672054589,0.7432485620781659,0.6830566137134929,0.695577859118284,0.746676262739076,0.6865369285445622,0.698298583826042,0.7496586417671727,0.6892442038494265,17999,248,0.013778543252402912,18102,98,0.005413766434648105
it,distinct_skills,5,0.26216689082290584,0.33309523809523806,0.2679433254783395,0.4021430292764879,0.5492063492063491,0.4138421968113845,0.4037303308637895,0.553968253968254,0.4162231491923369,0.42314425027770897,0.5742063492063492,0.4358309923295918,758,19,0.025065963060686015,764,6,0.007853403141361256
it,hard_skills,5,0.4850079369026992,0.4892149500794374,0.4599896143913459,0.6835351337258082,0.6721445688443766,0.6342007046582386,0.6855775636326069,0.6732345147483764,0.6355394440227997,0.6882173488089225,0.6750346031788628,0.6375453581605264,9937,102,0.010264667404649291,9974,32,0.0032083416883898134
it,must_have,5,0.4282558021910451,0.4454627314108114,0.40030797223691994,0.6306860923929538,0.6400502319243488,0.5769114425869354,0.6313654582759395,0.6408190887359864,0.5775931138568421,0.632870619781101,0.642481870398768,0.578867517977096,5576,47,0.008428981348637015,5622,43,0.007648523657061544
it,nice_to_have,5,0.4465518056654988,0.4816234910020579,0.4406859303944405,0.7037811139089069,0.7152806441075306,0.6678705492470776,0.7061907524631238,0.715762571818374,0.6686737620984833,0.7088011942301919,0.7164453027420687,0.6696777781627402,2247,24,0.010680907877169559,2259,11,0.004869411243913236
it,soft_skills,5,0.4174702396605129,0.4806450859307049,0.41865663743692744,0.655935780629068,0.7385734795881704,0.6482967447603072,0.6646584808883327,0.746919287603134,0.6565389139988189,0.6662004857817307,0.7485454717416109,0.6580615294005092,6798,87,0.012797881729920565,6907,109,0.015781091646156074
journal,all_skills,5,0.41408948137270307,0.43446875678144636,0.4061300038072792,0.6721852279637287,0.7082428784680255,0.6584438829336885,0.6802722418460768,0.7156732808942365,0.6657935125661278,0.6867029710454168,0.7213677043735134,0.671515849716817,18318,510,0.027841467409105796,18626,291,0.015623322237732202
journal,distinct_skills,5,0.16082413984574848,0.18390832523485584,0.15717895539658983,0.3912134627410738,0.5104972465176547,0.3874960899620027,0.4019504241923209,0.5218577907353418,0.39694554073798405,0.41531671209942517,0.5331924198250728,0.40711428355978807,1820,115,0.06318681318681318,1854,34,0.018338727076591153
journal,hard_skills,5,0.3072358053222048,0.24789490382211912,0.25363016092743285,0.6419404627182809,0.5228893920052928,0.5306918835806599,0.6504814188417903,0.529913095207306,0.5377821206652273,0.6618242477712961,0.5382652707260622,0.5464381110178178,9331,252,0.02700675168792198,9593,262,0.027311581361409362
journal,must_have,5,0.44745688912117876,0.2659026471839896,0.2927304949902211,0.7858165664493819,0.4428205993149438,0.49541730356903513,0.7999889313359996,0.44872788257556523,0.5029799405437662,0.8045003549810497,0.45062769222412535,0.5054133634196043,9022,154,0.01706938594546664,9265,242,0.026119805720453318
journal,nice_to_have,5,0.4244434629912571,0.47063492063492063,0.4299116821977784,0.7141266392920804,0.7672943722943723,0.7053771230255188,0.7277630029284442,0.7758928571428572,0.714706127354523,0.7296569423223834,0.7775974025974027,0.7164918416402374,1174,40,0.034071550255536626,1209,35,0.028949545078577336
journal,soft_skills,5,0.46872107209307484,0.6120025514391711,0.5031239308178048,0.6196254496418921,0.8251506329903181,0.6692012847602198,0.6267026453220289,0.8338936270854249,0.6764179988252426,0.6285503820693099,0.8434140831551767,0.6791445319923278,6257,78,0.012466038037398115,6448,191,0.029621588089330023
merged,all_skills,5,0.44089931871973115,0.4707318397936989,0.43367917188636823,0.6786083570655549,0.7204888388569428,0.6631018549422948,0.6842256925608872,0.7255002008423632,0.6681045243469849,0.688773917834822,0.7298694512506242,0.6723136048293386,36300,748,0.020606060606060607,36700,378,0.010299727520435967
merged,distinct_skills,5,0.201407411566025,0.22064909297052154,0.19134894871741187,0.41609543794207654,0.5129007936507936,0.40477894027015304,0.42315893000556865,0.5186626984126985,0.4099354028551871,0.4371046172548273,0.5322023809523809,0.42229637930832953,2463,111,0.04506699147381242,2477,14,0.005651998385143318
merged,hard_skills,5,0.4094723387959477,0.3967744434136792,0.37967323890594135,0.6626031742128744,0.6236761111883892,0.6017101137675457,0.6673815503833691,0.6273318549538781,0.6055683917554775,0.674766203755073,0.6338015023501435,0.6121109686208465,19903,416,0.020901371652514697,20173,267,0.013235512814157538
merged,must_have,5,0.4396141081570929,0.36051973842790597,0.3490050365080447,0.706437929054461,0.5430258154632489,0.534797199137857,0.7107352445224364,0.5454966866570972,0.537661420102578,0.7149451657532511,0.5486699509356386,0.5403151865502148,14701,149,0.010135364941160465,15061,353,0.023438018723856317
merged,nice_to_have,5,0.4582968702683945,0.48504595261939204,0.4512445857590839,0.7379443779784427,0.7768368154353466,0.7175249816570733,0.741432750071466,0.7792260734641395,0.7201171956446363,0.7434999335339982,0.7829470036966977,0.7219001413810703,3391,51,0.015039811265113535,3421,30,0.008769365682548963
merged,soft_skills,5,0.4484462992013468,0.5446162541846341,0.4656886488950325,0.6428338968290629,0.7879425313979398,0.6686894063449684,0.6487028519965269,0.7938966424796019,0.6743741161369935,0.6497190108207228,0.7966530193525202,0.6756885608710045,12853,132,0.01026997588111725,13054,201,0.015397579286042592
