domain,metric,winner,winner_score,runner_up,runner_up_score,margin
it,exact_macro_f1,Gemini,0.44224020725622076,BERT,0.4380919604005777,0.0041482468556430785
journal,exact_macro_f1,BERT,0.429558969117833,Gemini,0.3487760080474669,0.08078296107036609
merged,exact_macro_f1,BERT,0.4537707845110432,Gemini,0.3816578114121365,0.07211297309890669
it,containment_macro_f1,Gemini,0.651848777672389,Claude,0.6374833542080104,0.014365423464378635
journal,containment_macro_f1,BERT,0.6872453129845435,Gemini,0.5899528249956533,0.09729248798889023
merged,containment_macro_f1,BERT,0.6699051643153565,Gemini,0.6148880010715222,0.05501716324383432
it,lexical_macro_f1,Gemini,0.6539365874910218,Claude,0.6428802663172899,0.011056321173731898
journal,lexical_macro_f1,BERT,0.6890621365999414,Gemini,0.5933392477029958,0.09572288889694558
merged,lexical_macro_f1,BERT,0.6710574207888067,Gemini,0.6171484138465934,0.053909006942213344
it,semantic_macro_f1,Gemini,0.6587748514363149,Claude,0.6443998793759916,0.014374972060323232
journal,semantic_macro_f1,BERT,0.6899204342993022,Gemini,0.5972700824486076,0.09265035185069459
merged,semantic_macro_f1,BERT,0.671808717876775,Gemini,0.6217463441499794,0.05006237372679556
