domain,skill,split_train,retained,no_span_skipped,other_excluded
it,all_skills,126,126,0,0
it,hard_skills,125,125,0,0
it,soft_skills,122,122,0,0
it,distinct_skills,33,33,0,0
it,must_have,114,114,0,0
it,nice_to_have,66,66,0,0
journal,all_skills,129,129,0,0
journal,hard_skills,128,128,0,0
journal,soft_skills,113,113,0,0
journal,distinct_skills,79,78,1,0
journal,must_have,128,128,0,0
journal,nice_to_have,71,71,0,0
merged,all_skills,255,255,0,0
merged,hard_skills,254,254,0,0
merged,soft_skills,236,236,0,0
merged,distinct_skills,112,111,1,0
merged,must_have,243,243,0,0
merged,nice_to_have,137,137,0,0
