model,domain,skill,stored_exact_macro_f1,recalculated_exact_macro_f1,difference_exact_macro_f1,stored_containment_macro_f1,recalculated_containment_macro_f1,difference_containment_macro_f1,stored_lexical_relaxed_macro_f1,recalculated_lexical_relaxed_macro_f1,difference_lexical_relaxed_macro_f1,stored_semantic_relaxed_macro_f1,recalculated_semantic_relaxed_macro_f1,difference_semantic_relaxed_macro_f1,valid
BERT,it,all_skills,0.5387550203403391,0.5387550203403391,0.0,0.7689845935996387,0.7689845935996386,-1.1102230246251565e-16,0.7713570588549463,0.7713570588549464,1.1102230246251565e-16,0.7727402865065685,0.7727402865065685,0.0,True
BERT,it,hard_skills,0.5200762709722642,0.520076270972264,-1.1102230246251565e-16,0.713427433685471,0.713427433685471,0.0,0.7146216492789774,0.7146216492789774,0.0,0.7146216492789774,0.7146216492789774,0.0,True
BERT,it,soft_skills,0.4930445712689562,0.4930445712689563,1.1102230246251565e-16,0.7052364074518802,0.7052364074518802,0.0,0.7075461834498832,0.7075461834498833,1.1102230246251565e-16,0.7088195345684355,0.7088195345684356,1.1102230246251565e-16,True
BERT,it,distinct_skills,0.266140732387231,0.26614073238723096,-5.551115123125783e-17,0.42062993547587385,0.4206299354758738,-5.551115123125783e-17,0.42062993547587385,0.4206299354758738,-5.551115123125783e-17,0.44724057973357695,0.44724057973357684,-1.1102230246251565e-16,True
BERT,it,must_have,0.4064371005786008,0.40643710057860083,5.551115123125783e-17,0.5628746124192817,0.5628746124192817,0.0,0.5628746124192817,0.5628746124192817,0.0,0.5628746124192817,0.5628746124192817,0.0,True
BERT,it,nice_to_have,0.4040980668560749,0.4040980668560749,0.0,0.556015460827807,0.556015460827807,0.0,0.556015460827807,0.556015460827807,0.0,0.557019476892064,0.557019476892064,0.0,True
BERT,journal,all_skills,0.5007425921908601,0.5007425921908601,0.0,0.7835814977904987,0.7835814977904986,-1.1102230246251565e-16,0.7852088551606702,0.7852088551606702,0.0,0.7860041620585062,0.7860041620585061,-1.1102230246251565e-16,True
BERT,journal,hard_skills,0.40683636161482345,0.40683636161482345,0.0,0.6890119812722548,0.6890119812722547,-1.1102230246251565e-16,0.6926756186190559,0.6926756186190558,-1.1102230246251565e-16,0.6953148775774441,0.6953148775774441,0.0,True
BERT,journal,soft_skills,0.5444987201180707,0.5444987201180707,0.0,0.7346374213618858,0.7346374213618857,-1.1102230246251565e-16,0.7378765531221444,0.7378765531221442,-2.220446049250313e-16,0.7383460366902195,0.7383460366902194,-1.1102230246251565e-16,True
BERT,journal,distinct_skills,0.2377480071019592,0.23774800710195926,5.551115123125783e-17,0.5057277972092846,0.5057277972092846,0.0,0.5057277972092846,0.5057277972092846,0.0,0.5057277972092846,0.5057277972092846,0.0,True
BERT,journal,must_have,0.5029218939614084,0.5029218939614084,0.0,0.7626096570289056,0.7626096570289056,0.0,0.7649804722440612,0.7649804722440611,-1.1102230246251565e-16,0.7662262090159265,0.7662262090159264,-1.1102230246251565e-16,True
BERT,journal,nice_to_have,0.38460623971987606,0.38460623971987606,0.0,0.6479035232444323,0.6479035232444323,0.0,0.6479035232444323,0.6479035232444323,0.0,0.6479035232444323,0.6479035232444323,0.0,True
BERT,merged,all_skills,0.5295683209659356,0.5295683209659356,0.0,0.774926469841685,0.774926469841685,0.0,0.7767341693007732,0.7767341693007732,0.0,0.7775237879594624,0.7775237879594623,-1.1102230246251565e-16,True
BERT,merged,hard_skills,0.4909416688673193,0.4909416688673194,5.551115123125783e-17,0.7163047977406155,0.7163047977406155,0.0,0.7181453212040124,0.7181453212040124,0.0,0.7196474545810019,0.7196474545810019,0.0,True
BERT,merged,soft_skills,0.5313116175147311,0.531311617514731,-1.1102230246251565e-16,0.7377256456135539,0.7377256456135539,0.0,0.7399904566183826,0.7399904566183827,1.1102230246251565e-16,0.7402716770023609,0.7402716770023609,0.0,True
BERT,merged,distinct_skills,0.26526114758257613,0.2652611475825762,5.551115123125783e-17,0.4706666468452183,0.4706666468452182,-1.1102230246251565e-16,0.4706666468452183,0.4706666468452182,-1.1102230246251565e-16,0.47209521827378975,0.47209521827378964,-1.1102230246251565e-16,True
BERT,merged,must_have,0.4696727541017349,0.4696727541017349,0.0,0.6751085017137213,0.6751085017137213,0.0,0.6761090066271076,0.6761090066271076,0.0,0.6766152453066896,0.6766152453066897,1.1102230246251565e-16,True
BERT,merged,nice_to_have,0.4358691980339621,0.435869198033962,-1.1102230246251565e-16,0.6446989241373456,0.6446989241373456,0.0,0.6446989241373456,0.6446989241373456,0.0,0.6446989241373456,0.6446989241373456,0.0,True
BART,it,all_skills,0.41707468587034363,0.41707468587034363,0.0,0.5988083549905574,0.5988083549905574,0.0,0.6077613024885764,0.6077613024885764,0.0,0.6098991058237017,0.6098991058237017,0.0,True
BART,it,hard_skills,0.29587608554412353,0.29587608554412353,0.0,0.4649517024374251,0.4649517024374251,0.0,0.4682049893517478,0.4682049893517477,-1.1102230246251565e-16,0.47220918848195076,0.47220918848195076,0.0,True
BART,it,soft_skills,0.39957951714402984,0.3995795171440298,-5.551115123125783e-17,0.6062106352605869,0.6062106352605869,0.0,0.6189602918010931,0.6189602918010931,0.0,0.6225515678837188,0.6225515678837188,0.0,True
BART,it,distinct_skills,0.23290043290043289,0.23290043290043289,0.0,0.3694083694083694,0.3694083694083694,0.0,0.3694083694083694,0.3694083694083694,0.0,0.39321789321789324,0.39321789321789324,0.0,True
BART,it,must_have,0.3492465669965171,0.3492465669965171,0.0,0.5040487855609074,0.5040487855609073,-1.1102230246251565e-16,0.5074571419104402,0.5074571419104401,-1.1102230246251565e-16,0.5086226430759414,0.5086226430759413,-1.1102230246251565e-16,True
BART,it,nice_to_have,0.301005562791691,0.301005562791691,0.0,0.39295929818911035,0.39295929818911035,0.0,0.39295929818911035,0.39295929818911035,0.0,0.39295929818911035,0.39295929818911035,0.0,True
BART,journal,all_skills,0.35707191992108295,0.35707191992108295,0.0,0.5524871947886439,0.552487194788644,1.1102230246251565e-16,0.5655142511479101,0.56551425114791,-1.1102230246251565e-16,0.5736902260898723,0.5736902260898723,0.0,True
BART,journal,hard_skills,0.2882214268992543,0.28822142689925423,-5.551115123125783e-17,0.48748126782480466,0.48748126782480466,0.0,0.5021669092983526,0.5021669092983526,0.0,0.5097063546819662,0.5097063546819662,0.0,True
BART,journal,soft_skills,0.5554165606483893,0.5554165606483893,0.0,0.6617627969347536,0.6617627969347536,0.0,0.6764050692283314,0.6764050692283314,0.0,0.6764050692283314,0.6764050692283314,0.0,True
BART,journal,distinct_skills,0.14875283446712018,0.1487528344671202,2.7755575615628914e-17,0.2785066407515387,0.2785066407515387,0.0,0.3054340783932621,0.3054340783932621,0.0,0.32436831875607386,0.3243683187560738,-5.551115123125783e-17,True
BART,journal,must_have,0.31992883193260346,0.31992883193260346,0.0,0.490333144586504,0.490333144586504,0.0,0.5055451180416645,0.5055451180416645,0.0,0.5093706299721913,0.5093706299721912,-1.1102230246251565e-16,True
BART,journal,nice_to_have,0.2177858126721763,0.2177858126721763,0.0,0.3832078905942542,0.3832078905942542,0.0,0.4158377607241244,0.4158377607241244,0.0,0.42476633215269577,0.42476633215269577,0.0,True
BART,merged,all_skills,0.35561009741014227,0.3556100974101422,-5.551115123125783e-17,0.5562479298666825,0.5562479298666824,-1.1102230246251565e-16,0.566572659102429,0.566572659102429,0.0,0.5714895450144171,0.5714895450144171,0.0,True
BART,merged,hard_skills,0.3936948824251061,0.3936948824251061,0.0,0.5896179439777156,0.5896179439777157,1.1102230246251565e-16,0.598861239352439,0.598861239352439,0.0,0.6044870375715126,0.6044870375715126,0.0,True
BART,merged,soft_skills,0.4780611433102113,0.4780611433102113,0.0,0.6445201134296078,0.6445201134296078,0.0,0.6517393982158994,0.6517393982158994,0.0,0.6524952561146145,0.6524952561146145,0.0,True
BART,merged,distinct_skills,0.1585540649826364,0.15855406498263644,2.7755575615628914e-17,0.31235472860472857,0.31235472860472857,0.0,0.32878330003330003,0.32878330003330003,0.0,0.34949758574758577,0.34949758574758577,0.0,True
BART,merged,must_have,0.34411696065850617,0.34411696065850617,0.0,0.5021997839400506,0.5021997839400506,0.0,0.506810152727329,0.506810152727329,0.0,0.5128175267747997,0.5128175267747999,1.1102230246251565e-16,True
BART,merged,nice_to_have,0.39715006996195523,0.39715006996195523,0.0,0.5627015301285988,0.5627015301285987,-1.1102230246251565e-16,0.5656085068727849,0.5656085068727847,-1.1102230246251565e-16,0.5685154836169709,0.5685154836169708,-1.1102230246251565e-16,True
