model,skill,configuration_count,exact_macro_precision,exact_macro_recall,exact_macro_f1,containment_macro_precision,containment_macro_recall,containment_macro_f1,lexical_macro_precision,lexical_macro_recall,lexical_macro_f1,semantic_macro_precision,semantic_macro_recall,semantic_macro_f1,predicted_items,unsupported_items,unsupported_item_rate,raw_prediction_items,filtered_items,filtered_item_rate
BART,all_skills,3,0.5296255000365422,0.31217164569967376,0.37658556773385626,0.812855226432216,0.46964933922298785,0.5691811598819613,0.8272564705175244,0.47890772708892576,0.579949404246305,0.834408775055949,0.48335071144328207,0.5850262923093303,7330,283,0.038608458390177354,7330,0,0.0
BART,distinct_skills,3,0.21927437641723357,0.1671334089191232,0.18006911078339652,0.4177437641723356,0.29661618615700247,0.32008991292154554,0.4400226757369614,0.30846425871936073,0.3345419159449772,0.46819727891156465,0.32768599503293383,0.3556945992405176,390,115,0.2948717948717949,390,0,0.0
BART,hard_skills,3,0.4279238060157245,0.2927370954992179,0.3259307982894946,0.700438554934153,0.45777608262268377,0.5140169714133153,0.7127924548359726,0.4663286969003262,0.5230777126675131,0.7223367774384615,0.47117234725036483,0.5288008602451432,5474,178,0.03251735476799415,5475,1,0.00018264840182648402
BART,must_have,3,0.46512046931284173,0.30692100373386716,0.33776411986254223,0.7079764903933569,0.45327899559527546,0.49886057136248735,0.722182201556282,0.4599720834566092,0.5066041375598112,0.7266882220435257,0.4650294130473085,0.5102702666076441,4924,173,0.035134037367993504,4924,0,0.0
BART,nice_to_have,3,0.34575412491320306,0.3060133125595403,0.30531381514194084,0.5259425247552173,0.43604618591466227,0.4462895729706544,0.5453810965193706,0.4461985819682212,0.4581351885953398,0.5491836570079776,0.45097747555525425,0.4620803713195923,1093,43,0.039341262580054895,1095,1,0.0009132420091324201
BART,soft_skills,3,0.5477619932768542,0.46589899898792253,0.47768574036754347,0.7514531001995589,0.6171014799004669,0.6374978485416495,0.7653582758734915,0.6276170762755715,0.6490349197484413,0.7668959279713675,0.629193262305539,0.6504839644088882,3168,108,0.03409090909090909,3168,0,0.0
BERT,all_skills,3,0.484309105542527,0.5866388644301864,0.5230219778323782,0.7183895438399496,0.8744604859581256,0.7758308537439408,0.7201061765269502,0.8767280768783857,0.7777666944387965,0.7210294335826014,0.8778070707421636,0.7787560788415123,16926,0,0.0,17681,743,0.04202251003902494
BERT,distinct_skills,3,0.24566620717473164,0.326289412590433,0.25638329569058876,0.42225057254403203,0.6588164075153871,0.46567479317679217,0.42225057254403203,0.6588164075153871,0.46567479317679217,0.43139281918627864,0.6691338678328475,0.47502119840555035,1112,0,0.0,1166,54,0.04631217838765009
BERT,hard_skills,3,0.4171183715124194,0.5762854419393464,0.4726181004848023,0.6190889077563303,0.8708567966006813,0.7062480708994471,0.6210406199860183,0.8736230259006149,0.7084808630340153,0.6222142404861993,0.8753266635962357,0.7098613271458079,12755,0,0.0,13296,533,0.04008724428399519
BERT,must_have,3,0.40598403088178187,0.5883089250401731,0.45967724954724803,0.5880194602290728,0.8574223432846679,0.6668642570539696,0.5889988461669717,0.8587751988329654,0.6679880304301502,0.5895207332377238,0.8594596570911439,0.6685720222472993,12564,0,0.0,13209,634,0.047997577409342115
BERT,nice_to_have,3,0.35787751551406255,0.5582789879875714,0.4081911682033043,0.5334605890348031,0.8506837663078906,0.6162059694031949,0.5334605890348031,0.8506837663078906,0.6162059694031949,0.5337952610562221,0.8510184383293097,0.616540641424614,2067,0,0.0,2142,75,0.0350140056022409
BERT,soft_skills,3,0.465897224335242,0.6514752558483657,0.5229516363005859,0.6483774082618218,0.9011269377353873,0.7258664914757733,0.650617197268312,0.9043265611026318,0.7284710643968034,0.6512497921106241,0.9050523862030416,0.7291457494203386,5937,0,0.0,6438,501,0.07781919850885369
Claude,all_skills,3,0.39789915345160026,0.44669016239629045,0.41120930684197,0.6371648753127378,0.7129802680061421,0.6557251799928753,0.6463384430930702,0.7228528009956113,0.6650428193254881,0.6546583078267216,0.7316536813721681,0.6734258947492094,14839,956,0.06442482647078644,14847,8,0.000538829393143396
Claude,distinct_skills,3,0.17309769217932483,0.21118224273836517,0.17737368703355097,0.3590828653583755,0.49802437641723357,0.3723932775463388,0.36911687896381773,0.5226502267573695,0.3862527174261868,0.37766803019354045,0.5349537037037037,0.3952203087917374,1218,123,0.10098522167487685,1218,0,0.0
Claude,hard_skills,3,0.38131512132278744,0.3254337513411472,0.3350347509807892,0.659485000641844,0.559597732777573,0.5767052442179483,0.6693767546048773,0.5670806724681561,0.5848902679930958,0.6846438537017218,0.5804101217180792,0.5984410355443128,6910,459,0.06642547033285094,6919,9,0.0013007660066483597
Claude,must_have,3,0.4348254015427165,0.26907115355742767,0.2968489029992985,0.7898194729767806,0.4602780580008626,0.5176728959209457,0.8023524299862971,0.46583625217606706,0.5250544231602841,0.8068414828169853,0.46857561939963116,0.5276773067236767,3826,137,0.035807631991636175,3827,1,0.0002613012803762738
Claude,nice_to_have,3,0.4484736570816355,0.44485407160867263,0.4366873360518255,0.8446909576445161,0.808282303861008,0.7988421842636413,0.8489926959578824,0.8131922840616858,0.8033563393591918,0.8498540224006041,0.8170682530539338,0.8047129285064787,1223,59,0.0482420278004906,1223,0,0.0
Claude,soft_skills,3,0.42014189058367774,0.48999940025683913,0.4306991951859744,0.6357639858269417,0.7418732264311444,0.6513532124229484,0.6480440649527338,0.7574658943931155,0.6643247382379922,0.6498382297114507,0.7617525438468459,0.6665184603655566,4825,133,0.027564766839378238,4825,0,0.0
GPT,all_skills,3,0.3810365132120322,0.5312594620333634,0.4334916704169281,0.5909963807604424,0.8236510368299691,0.6704690570889177,0.592428259025723,0.8258399977125119,0.6721635719239377,0.5953680581972145,0.8298556496845251,0.6753971450613309,18544,100,0.005392579810181191,18584,8,0.00043047783039173483
GPT,distinct_skills,3,0.1986386442041204,0.2909176924738149,0.2119600912358032,0.3884088187574582,0.6675489957887918,0.43016903742828067,0.3884088187574582,0.6675489957887918,0.43016903742828067,0.40202728598561926,0.6848845966958211,0.44467449911116175,1499,4,0.00266844563042028,1499,0,0.0
GPT,hard_skills,3,0.3783818786370315,0.3511228350315028,0.3403890859656959,0.6504239841024461,0.575082174329976,0.5655297639517958,0.6508752067774295,0.575422044927393,0.5658982303635612,0.6549609668268531,0.5784598608061416,0.5691589840639734,7305,42,0.005749486652977412,7314,9,0.0012305168170631665
GPT,must_have,3,0.38287770184521014,0.28877481189008425,0.2899024811805962,0.6429841435023226,0.4376575306568846,0.45327477915270104,0.6438503157712013,0.4379969505183798,0.45370267863270525,0.6494871258540881,0.439832707934797,0.45622081693613276,4064,21,0.00516732283464567,4066,2,0.0004918839153959665
GPT,nice_to_have,3,0.525690485620613,0.5469743964261816,0.5244842942869904,0.8176353031111326,0.8488441662304496,0.8044647054824613,0.8176353031111326,0.8488441662304496,0.8044647054824613,0.8235893518642848,0.8500349759810799,0.8064493884001788,1296,8,0.006172839506172839,1296,0,0.0
GPT,soft_skills,3,0.34702798668590357,0.5742194730046876,0.4118152494607772,0.5180491558765202,0.8682903261179987,0.6164088417547084,0.5203966715437484,0.8714434796590186,0.6190539510244043,0.5227673342063095,0.8867206006084084,0.6228843087056872,7002,14,0.001999428734647244,7002,0,0.0
Gemini,all_skills,3,0.42774083404755325,0.49021666559358623,0.44526289072887265,0.6447313940458919,0.7392260023213327,0.669797668608099,0.6473303067121455,0.7420876381173581,0.6724691191615971,0.6508278798479816,0.7454925490767114,0.675850686364587,14978,167,0.011149686206436107,14986,8,0.0005338315761377286
