domain,skill,metric,winner,winner_score,runner_up,runner_up_score,margin
it,all_skills,containment_macro_f1,BERT,0.7689845935996386,Gemini,0.6910613899208795,0.07792320367875905
it,hard_skills,containment_macro_f1,BERT,0.713427433685471,Claude,0.667016868610156,0.04641056507531505
it,soft_skills,containment_macro_f1,BERT,0.7052364074518802,Gemini,0.6609022138518431,0.0443341936000371
it,distinct_skills,containment_macro_f1,Gemini,0.4440682333539477,GPT,0.4341407269978698,0.009927506356077864
it,must_have,containment_macro_f1,Gemini,0.6633619800866392,Claude,0.6234792046600182,0.039882775426621
it,nice_to_have,containment_macro_f1,Claude,0.8017482990720806,GPT,0.7990127716829571,0.0027355273891234155
journal,all_skills,containment_macro_f1,BERT,0.7835814977904986,GPT,0.6766892298784207,0.10689226791207784
journal,hard_skills,containment_macro_f1,BERT,0.6890119812722547,Gemini,0.5100285735534544,0.17898340771880028
journal,soft_skills,containment_macro_f1,BERT,0.7346374213618857,Gemini,0.6977535405650948,0.03688388079679095
journal,distinct_skills,containment_macro_f1,BERT,0.5057277972092846,GPT,0.4179126943730153,0.08781510283626931
journal,must_have,containment_macro_f1,BERT,0.7626096570289056,BART,0.490333144586504,0.2722765124424016
journal,nice_to_have,containment_macro_f1,Gemini,0.8588212626648456,GPT,0.8218967511246923,0.036924511540153304
merged,all_skills,containment_macro_f1,BERT,0.774926469841685,GPT,0.6666766062087653,0.10824986363291966
merged,hard_skills,containment_macro_f1,BERT,0.7163047977406155,BART,0.5896179439777157,0.1266868537628998
merged,soft_skills,containment_macro_f1,BERT,0.7377256456135539,Gemini,0.6789022423253007,0.058823403288253195
merged,distinct_skills,containment_macro_f1,BERT,0.4706666468452182,GPT,0.43845369091395686,0.03221295593126133
merged,must_have,containment_macro_f1,BERT,0.6751085017137213,Gemini,0.533593255577168,0.1415152461365533
merged,nice_to_have,containment_macro_f1,Gemini,0.8080177941602137,GPT,0.7924845936397346,0.015533200520479129
