domain,skill,metric,winner,winner_score,runner_up,runner_up_score,margin
it,all_skills,exact_macro_f1,BERT,0.5387550203403391,Gemini,0.4833983788930311,0.05535664144730795
it,hard_skills,exact_macro_f1,BERT,0.520076270972264,Gemini,0.4991890223055218,0.020887248666742242
it,soft_skills,exact_macro_f1,BERT,0.4930445712689563,Gemini,0.41446980482627294,0.07857476644268335
it,distinct_skills,exact_macro_f1,GPT,0.3086270871985158,Gemini,0.2796863189720333,0.028940768226482505
it,must_have,exact_macro_f1,Gemini,0.4764505982029064,BERT,0.40643710057860083,0.07001349762430559
it,nice_to_have,exact_macro_f1,GPT,0.5600058787536873,Gemini,0.5002471203375588,0.05975875841612854
journal,all_skills,exact_macro_f1,BERT,0.5007425921908601,GPT,0.41094628672516154,0.08979630546569861
journal,hard_skills,exact_macro_f1,BERT,0.40683636161482345,BART,0.28822142689925423,0.11861493471556922
journal,soft_skills,exact_macro_f1,BART,0.5554165606483893,BERT,0.5444987201180707,0.010917840530318634
journal,distinct_skills,exact_macro_f1,BERT,0.23774800710195926,BART,0.1487528344671202,0.08899517263483905
journal,must_have,exact_macro_f1,BERT,0.5029218939614084,BART,0.31992883193260346,0.18299306202880494
journal,nice_to_have,exact_macro_f1,Gemini,0.58112614880663,GPT,0.5103219696969696,0.07080417910966041
merged,all_skills,exact_macro_f1,BERT,0.5295683209659356,Gemini,0.44370641342819267,0.08586190753774298
merged,hard_skills,exact_macro_f1,BERT,0.4909416688673194,BART,0.3936948824251061,0.0972467864422133
merged,soft_skills,exact_macro_f1,BERT,0.531311617514731,BART,0.4780611433102113,0.05325047420451967
merged,distinct_skills,exact_macro_f1,BERT,0.2652611475825762,GPT,0.1900140464130848,0.07524710116949138
merged,must_have,exact_macro_f1,BERT,0.4696727541017349,Gemini,0.34484598218587237,0.12482677191586256
merged,nice_to_have,exact_macro_f1,Gemini,0.5038078815601418,GPT,0.5031250344103141,0.0006828471498276922
