metric,model,domain_skill_cell_wins
exact_macro_f1,BERT,12
exact_macro_f1,BART,1
exact_macro_f1,GPT,2
exact_macro_f1,Gemini,3
exact_macro_f1,Claude,0
containment_macro_f1,BERT,13
containment_macro_f1,BART,0
containment_macro_f1,GPT,0
containment_macro_f1,Gemini,4
containment_macro_f1,Claude,1
lexical_macro_f1,BERT,13
lexical_macro_f1,BART,0
lexical_macro_f1,GPT,0
lexical_macro_f1,Gemini,4
lexical_macro_f1,Claude,1
semantic_macro_f1,BERT,13
semantic_macro_f1,BART,0
semantic_macro_f1,GPT,1
semantic_macro_f1,Gemini,4
semantic_macro_f1,Claude,0
