family,domain,skill,test_rows,control_exact_macro_f1,finetuned_exact_macro_f1,delta_exact_macro_f1,control_exact_micro_f1,finetuned_exact_micro_f1,delta_exact_micro_f1,control_containment_macro_f1,finetuned_containment_macro_f1,delta_containment_macro_f1,control_containment_micro_f1,finetuned_containment_micro_f1,delta_containment_micro_f1,control_lexical_macro_f1,finetuned_lexical_macro_f1,delta_lexical_macro_f1,control_lexical_micro_f1,finetuned_lexical_micro_f1,delta_lexical_micro_f1,control_semantic_macro_f1,finetuned_semantic_macro_f1,delta_semantic_macro_f1,control_semantic_micro_f1,finetuned_semantic_micro_f1,delta_semantic_micro_f1,control_unsupported_item_rate,finetuned_unsupported_item_rate,delta_unsupported_item_rate,control_filtered_item_rate,finetuned_filtered_item_rate,delta_filtered_item_rate
BART,it,all_skills,157,0.0003860258637328,0.4170746858703436,0.41668866000661076,0.0005817335660267,0.4263821532492725,0.4258004196832458,0.0622776667524376,0.5988083549905574,0.5365306882381198,0.0523560209424083,0.6060135790494665,0.5536575581070582,0.0622776667524376,0.6077613024885764,0.5454836357361388,0.0523560209424083,0.6141610087293891,0.5618049877869807,0.0622776667524376,0.6098991058237017,0.547621439071264,0.0523560209424083,0.6161008729388944,0.563744851996486,0.9859154929577464,0.029585798816568,-0.9563296941411784,0.0,0.0,0.0
BART,it,distinct_skills,42,0.0,0.2329004329004328,0.2329004329004328,0.0,0.2058823529411764,0.2058823529411764,0.0317460317460317,0.3694083694083694,0.3376623376623377,0.0314960629921259,0.3088235294117646,0.2773274664196387,0.0317460317460317,0.3694083694083694,0.3376623376623377,0.0314960629921259,0.3088235294117646,0.2773274664196387,0.0317460317460317,0.3932178932178932,0.3614718614718615,0.0314960629921259,0.3235294117647059,0.29203334877258,1.0,0.1276595744680851,-0.8723404255319149,0.0,0.0,0.0
BART,it,hard_skills,157,0.0,0.2958760855441235,0.2958760855441235,0.0,0.2927478376580173,0.2927478376580173,0.0739087121308348,0.4649517024374251,0.3910429903065903,0.0563636363636363,0.4610778443113772,0.40471420794774093,0.0739087121308348,0.4682049893517477,0.39429627722091287,0.0563636363636363,0.4644045242847638,0.4080408879211275,0.0739087121308348,0.4722091884819507,0.3983004763511159,0.0563636363636363,0.4690618762475049,0.4126982398838686,0.9850746268656716,0.0404255319148936,-0.944649094950778,0.0,0.0010626992561105207,0.0010626992561105207
BART,it,must_have,143,0.0,0.3492465669965171,0.3492465669965171,0.0,0.3504839531329597,0.3504839531329597,0.068672236854055,0.5040487855609073,0.4353765487068523,0.0551181102362204,0.5084055017829852,0.4532873915467648,0.068672236854055,0.5074571419104401,0.4387849050563851,0.0551181102362204,0.5124808965868569,0.45736278635063654,0.068672236854055,0.5086226430759413,0.4399504062218863,0.0551181102362204,0.5134997452878247,0.45838163505160434,0.9763779527559056,0.0329268292682926,-0.943451123487613,0.0,0.0,0.0
BART,it,nice_to_have,83,0.0,0.301005562791691,0.301005562791691,0.0,0.3153942428035043,0.3153942428035043,0.0233218588640275,0.3929592981891103,0.3696374393250828,0.0154142581888246,0.4380475594493116,0.42263330126048704,0.0233218588640275,0.3929592981891103,0.3696374393250828,0.0154142581888246,0.4380475594493116,0.42263330126048704,0.0233218588640275,0.3929592981891103,0.3696374393250828,0.0154142581888246,0.4380475594493116,0.42263330126048704,1.0,0.0284090909090909,-0.9715909090909091,0.0,0.002824858757062147,0.002824858757062147
BART,it,soft_skills,153,0.0,0.3995795171440298,0.3995795171440298,0.0,0.4145833333333333,0.4145833333333333,0.0507539120284218,0.6062106352605869,0.5554567232321651,0.0521472392638036,0.6104166666666666,0.558269427402863,0.0507539120284218,0.6189602918010931,0.5682063797726713,0.0521472392638036,0.6177083333333334,0.5655610940695298,0.0507539120284218,0.6225515678837188,0.571797655855297,0.0521472392638036,0.6208333333333332,0.5686860940695296,0.9851851851851852,0.0532623169107856,-0.9319228682743995,0.0,0.0,0.0
BART,journal,all_skills,161,0.0,0.3570719199210829,0.3570719199210829,0.0,0.3541138093512141,0.3541138093512141,0.0580766541624161,0.552487194788644,0.49441054062622797,0.0454910355900454,0.5465748459586807,0.5010838103686353,0.0585544372488948,0.56551425114791,0.5069598138990152,0.046026224244046,0.5585357013410656,0.5125094770970196,0.0598299474529764,0.5736902260898723,0.5138602786368959,0.0470966015520471,0.5668720550924248,0.5197754535403777,1.0,0.0453125,-0.9546875,0.0,0.0,0.0
BART,journal,distinct_skills,98,0.0,0.1487528344671202,0.1487528344671202,0.0,0.1240694789081885,0.1240694789081885,0.0754211208292841,0.2785066407515387,0.2030855199222546,0.0793201133144475,0.2431761786600496,0.1638560653456021,0.0754211208292841,0.3054340783932621,0.230012957563978,0.0793201133144475,0.2679900744416874,0.18866996112723988,0.0856252024619371,0.3243683187560738,0.2387431162941367,0.0849858356940509,0.292803970223325,0.2078181345292741,1.0,0.4525547445255474,-0.5474452554744527,0.011235955056179775,0.0,-0.011235955056179775
BART,journal,hard_skills,161,0.0,0.2882214268992542,0.2882214268992542,0.0,0.2840268456375839,0.2840268456375839,0.0531577513101866,0.4874812678248046,0.434323516514618,0.0450414855788226,0.4821476510067115,0.4371061654278889,0.0537492922743984,0.5021669092983526,0.4484176170239542,0.0458316870802054,0.4955704697986576,0.4497387827184522,0.0537492922743984,0.5097063546819662,0.45595706240756784,0.0458316870802054,0.5030872483221477,0.4572555612419423,0.9924242424242424,0.0444947209653092,-0.9479295214589333,0.007462686567164179,0.0,-0.007462686567164179
BART,journal,must_have,161,0.0,0.3199288319326034,0.3199288319326034,0.0,0.3098947368421053,0.3098947368421053,0.0615651280867471,0.490333144586504,0.42876801649975693,0.0456942003514938,0.4829473684210526,0.43725316806955883,0.0621052307062448,0.5055451180416645,0.44343988733541967,0.0462800234329232,0.4959999999999999,0.4497199765670767,0.0633807409103265,0.5093706299721912,0.44598988906186465,0.047451669595782,0.5010526315789474,0.4536009619831654,0.9924812030075189,0.0605854322668482,-0.9318957707406706,0.007407407407407408,0.0,-0.007407407407407408
BART,journal,nice_to_have,88,0.0,0.2177858126721763,0.2177858126721763,0.0,0.2379603399433427,0.2379603399433427,0.0325757575757575,0.3832078905942542,0.3506321330184967,0.0409556313993174,0.4022662889518413,0.3613106575525239,0.0325757575757575,0.4158377607241244,0.3832620031483669,0.0409556313993174,0.4362606232294617,0.3953049918301443,0.0382575757575757,0.4247663321526957,0.38650875639512,0.0477815699658703,0.4475920679886686,0.3998104980227983,1.0,0.1824817518248175,-0.8175182481751825,0.0,0.0,0.0
BART,journal,soft_skills,142,0.0,0.5554165606483893,0.5554165606483893,0.0,0.5640074211502784,0.5640074211502784,0.0922546994108717,0.6617627969347536,0.5695080975238819,0.0811881188118811,0.655534941249227,0.5743468224373458,0.0922546994108717,0.6764050692283314,0.5841503698174597,0.0811881188118811,0.6716141001855288,0.5904259813736477,0.0922546994108717,0.6764050692283314,0.5841503698174597,0.0811881188118811,0.6716141001855288,0.5904259813736477,0.9830508474576272,0.0372413793103448,-0.9458094681472824,0.008403361344537815,0.0,-0.008403361344537815
BART,merged,all_skills,318,0.0001905850962454,0.3556100974101422,0.3554195123138968,0.000278940027894,0.3529299119111451,0.35265097188325106,0.0590825812399111,0.5562479298666824,0.49716534862677125,0.0476987447698744,0.5524703178858675,0.5047715731159932,0.0593244777082227,0.566572659102429,0.5072481813942064,0.0479776847977684,0.5630026809651475,0.5150249961673791,0.0596822829009335,0.5714895450144171,0.5118072621134836,0.0485355648535564,0.5672156261968594,0.518680061343303,0.9927797833935018,0.0397071247535905,-0.9530726586399113,0.0035971223021582736,0.0,-0.0035971223021582736
BART,merged,distinct_skills,140,0.0,0.1585540649826364,0.1585540649826364,0.0,0.160427807486631,0.160427807486631,0.0463095238095238,0.3123547286047285,0.2660452047952047,0.0548523206751054,0.303030303030303,0.24817798235519758,0.0463095238095238,0.3287833000333,0.2824737762237762,0.0548523206751054,0.3172905525846702,0.26243823190956483,0.0605952380952381,0.3494975857475857,0.2889023476523476,0.0632911392405063,0.3315508021390374,0.2682596628985311,1.0,0.2281553398058252,-0.7718446601941749,0.008264462809917356,0.0,-0.008264462809917356
BART,merged,hard_skills,317,0.0003320604349991,0.3936948824251061,0.39336282199010697,0.0004227436060029,0.3879546343371138,0.3875318907311109,0.0691422532699508,0.5896179439777157,0.5204756907077649,0.0536884379623758,0.5866249511145875,0.5329365131522117,0.0691422532699508,0.598861239352439,0.5297189860824881,0.0536884379623758,0.5962716725329161,0.5425832345705404,0.0691422532699508,0.6044870375715126,0.5353447843015617,0.0536884379623758,0.6040933385477775,0.5504049005854017,0.9850746268656716,0.0252493765586034,-0.9598252503070682,0.003703703703703704,0.0,-0.003703703703703704
BART,merged,must_have,303,0.0,0.3441169606585061,0.3441169606585061,0.0,0.3494402720702848,0.3494402720702848,0.0545485234455745,0.5021997839400506,0.4476512604944761,0.0431347426863121,0.5129658495111238,0.46983110682481166,0.0545485234455745,0.506810152727329,0.4522616292817545,0.0431347426863121,0.5175003542581833,0.4743656115718712,0.0554118042180963,0.5128175267747999,0.45740572255670353,0.0444159726670937,0.5226016720986254,0.4781856994315317,0.992337164750958,0.0216318785578747,-0.9707052861930833,0.0,0.0,0.0
BART,merged,nice_to_have,172,0.0,0.3971500699619552,0.3971500699619552,0.0,0.4069400630914826,0.4069400630914826,0.0390642303433001,0.5627015301285987,0.5236372997852986,0.0295566502463054,0.5709779179810726,0.5414212677347672,0.0390642303433001,0.5656085068727847,0.5265442765294847,0.0295566502463054,0.5741324921135648,0.5445758418672594,0.0419712070874861,0.5685154836169708,0.5265442765294847,0.0320197044334975,0.5757097791798106,0.5436900747463131,1.0,0.0132450331125827,-0.9867549668874173,0.0,0.0,0.0
BART,merged,soft_skills,294,0.0,0.4780611433102113,0.4780611433102113,0.0,0.496272630457934,0.496272630457934,0.0624560774470738,0.6445201134296078,0.582064035982534,0.0604229607250755,0.6549520766773164,0.5945291159522409,0.0624560774470738,0.6517393982158994,0.5892833207688256,0.0604229607250755,0.6640042598509053,0.6035812991258298,0.0624560774470738,0.6524952561146145,0.5900391786675406,0.0604229607250755,0.6645367412140575,0.604113780488982,0.9920948616600792,0.0242316784869976,-0.9678631831730816,0.003937007874015748,0.0,-0.003937007874015748
BERT,it,all_skills,157,0.0759271454579871,0.5387550203403391,0.462827874882352,0.0783948526921774,0.5689776402756294,0.490582787583452,0.2644864642842264,0.7689845935996386,0.5044981293154122,0.2700643413477819,0.7996062438475601,0.5295419024997782,0.2651561454316875,0.7713570588549464,0.506200913423259,0.2705722993565865,0.8015750246097594,0.5310027252531728,0.2669847091855813,0.7727402865065685,0.5057555773209872,0.2724348120555367,0.8029812965827591,0.5305464845272223,0.0,0.0,0.0,0.2708689702360588,0.025019147306612203,-0.24584982292944663
BERT,it,distinct_skills,42,0.012163734620942,0.2661407323872309,0.2539769977662889,0.0100347356233114,0.2926829268292683,0.28264819120595686,0.0234287143674326,0.4206299354758738,0.3972012211084412,0.0223851794673871,0.4390243902439024,0.4166392107765153,0.0234287143674326,0.4206299354758738,0.3972012211084412,0.0223851794673871,0.4390243902439024,0.4166392107765153,0.0234287143674326,0.4472405797335768,0.4238118653661442,0.0223851794673871,0.4529616724738676,0.4305764930064805,0.0,0.0,0.0,0.2571005917159763,0.029411764705882353,-0.22768882701009396
BERT,it,hard_skills,157,0.0581991604928949,0.520076270972264,0.46187711047936914,0.0609630668536699,0.5526641883519207,0.49170112149825074,0.1635466534180518,0.713427433685471,0.5498807802674193,0.1712949976624591,0.7554729450640231,0.584177947401564,0.1635466534180518,0.7146216492789774,0.5510749958609256,0.1712949976624591,0.7567121024370095,0.5854171047745504,0.1644629075122433,0.7146216492789774,0.5501587417667342,0.1720430107526881,0.7567121024370095,0.5846690916843214,0.0,0.0,0.0,0.26623652262501063,0.011024182076813657,-0.25521234054819697
BERT,it,must_have,143,0.045271473494777,0.4064371005786008,0.36116562708382377,0.0459227467811158,0.4280868385345998,0.382164091753484,0.1148421064312646,0.5628746124192817,0.44803250598801714,0.113519313304721,0.601763907734057,0.488244594429336,0.1148421064312646,0.5628746124192817,0.44803250598801714,0.113519313304721,0.601763907734057,0.488244594429336,0.115568038975379,0.5628746124192817,0.44730657344390273,0.1141630901287553,0.601763907734057,0.48760081760530166,0.0,0.0,0.0,0.2640610961365678,0.022174148188209845,-0.24188694794835797
BERT,it,nice_to_have,83,0.0254771053255482,0.4040980668560749,0.3786209615305267,0.0258228768867066,0.4282198523379819,0.4023969754512753,0.0673850855252456,0.556015460827807,0.48863037530256137,0.0661938534278959,0.5873666940114848,0.5211728405835889,0.0678078291312486,0.556015460827807,0.48820763169655834,0.066557555919258,0.5873666940114848,0.5208091380922268,0.0681843351553449,0.557019476892064,0.4888351417367191,0.0669212584106201,0.5890073831009024,0.5220861246902823,0.0,0.0,0.0,0.25555392084743267,0.01278772378516624,-0.24276619706226643
BERT,it,soft_skills,153,0.0261887201812151,0.4930445712689563,0.4668558510877412,0.0284292821606254,0.4943899018232819,0.4659606196626565,0.1321938008847171,0.7052364074518802,0.5730426065671631,0.1360544217687074,0.7279102384291726,0.5918558166604652,0.1328932995587284,0.7075461834498833,0.5746528838911549,0.1366636206721494,0.7307152875175316,0.5940516668453821,0.133048917361405,0.7088195345684356,0.5757706172070306,0.1368666869732967,0.7328190743338008,0.595952387360504,0.0,0.0,0.0,0.2634299271309947,0.060825892857142856,-0.20260403427385187
BERT,journal,all_skills,161,0.0464432160534591,0.5007425921908601,0.45429937613740107,0.0495121596039027,0.5033450918379759,0.4538329322340732,0.2811683646761584,0.7835814977904986,0.5024131331143402,0.292121741663026,0.7843328062279529,0.49221106456492686,0.2817565524156734,0.7852088551606702,0.5034523027449969,0.2928498616572011,0.7862790414791387,0.4934291798219376,0.2842856336932537,0.7860041620585061,0.5017185283652523,0.2954710936362312,0.7872521591047318,0.4917810654685006,0.0,0.0,0.0,0.24643705463182897,0.05746892194823721,-0.18896813268359175
BERT,journal,distinct_skills,98,0.0120131308777217,0.2377480071019592,0.2257348762242375,0.0078183731769658,0.2228412256267409,0.21502285244977512,0.0552580904446332,0.5057277972092846,0.4504697067646514,0.0514208389715832,0.5181058495821728,0.46668501061058953,0.0554200599943578,0.5057277972092846,0.45030773721492684,0.0517215456322357,0.5181058495821728,0.4663843039499371,0.0563655241410149,0.5057277972092846,0.4493622730682697,0.0529243722748458,0.5181058495821728,0.46518147730732695,0.0,0.0,0.0,0.23577915869980878,0.06995884773662552,-0.16582031096318328
