model,domain,skill,test_rows,raw_prediction_items,predicted_items,gold_items,filtered_items,duplicate_items_removed,unsupported_items,unsupported_item_rate,exact_macro_precision,exact_macro_recall,exact_macro_f1,exact_micro_precision,exact_micro_recall,exact_micro_f1,containment_macro_precision,containment_macro_recall,containment_macro_f1,containment_micro_precision,containment_micro_recall,containment_micro_f1,lexical_macro_precision,lexical_macro_recall,lexical_macro_f1,lexical_micro_precision,lexical_micro_recall,lexical_micro_f1,semantic_macro_precision,semantic_macro_recall,semantic_macro_f1,semantic_micro_precision,semantic_micro_recall,semantic_micro_f1
BART task-unadapted,it,all_skills,157,142,142,3296,0,0,140,0.9859154929577465,0.0031847133757961785,0.0002054653790836244,0.00038602586373287013,0.007042253521126761,0.00030339805825242716,0.0005817335660267597,0.5605095541401274,0.033797576203118684,0.06227766675243767,0.6338028169014085,0.027305825242718445,0.05235602094240838,0.5605095541401274,0.033797576203118684,0.06227766675243767,0.6338028169014085,0.027305825242718445,0.05235602094240838,0.5605095541401274,0.033797576203118684,0.06227766675243767,0.6338028169014085,0.027305825242718445,0.05235602094240838
BART task-unadapted,it,distinct_skills,42,38,38,89,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.02857142857142857,0.03174603174603175,0.05263157894736842,0.02247191011235955,0.031496062992125984,0.047619047619047616,0.02857142857142857,0.03174603174603175,0.05263157894736842,0.02247191011235955,0.031496062992125984,0.047619047619047616,0.02857142857142857,0.03174603174603175,0.05263157894736842,0.02247191011235955,0.031496062992125984
BART task-unadapted,it,hard_skills,157,135,134,2066,0,0,132,0.9850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.39490445859872614,0.0447596907305218,0.07390871213083486,0.4626865671641791,0.030009680542110357,0.05636363636363636,0.39490445859872614,0.0447596907305218,0.07390871213083486,0.4626865671641791,0.030009680542110357,0.05636363636363636,0.39490445859872614,0.0447596907305218,0.07390871213083486,0.4626865671641791,0.030009680542110357,0.05636363636363636
BART task-unadapted,it,must_have,143,127,127,1143,0,0,124,0.9763779527559056,0.0,0.0,0.0,0.0,0.0,0.0,0.23776223776223776,0.04479596691470496,0.06867223685405503,0.2755905511811024,0.03062117235345582,0.055118110236220486,0.23776223776223776,0.04479596691470496,0.06867223685405503,0.2755905511811024,0.03062117235345582,0.055118110236220486,0.23776223776223776,0.04479596691470496,0.06867223685405503,0.2755905511811024,0.03062117235345582,0.055118110236220486
BART task-unadapted,it,nice_to_have,83,72,72,447,0,0,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04819277108433735,0.018789443488238668,0.023321858864027534,0.05555555555555555,0.008948545861297539,0.015414258188824663,0.04819277108433735,0.018789443488238668,0.023321858864027534,0.05555555555555555,0.008948545861297539,0.015414258188824663,0.04819277108433735,0.018789443488238668,0.023321858864027534,0.05555555555555555,0.008948545861297539,0.015414258188824663
BART task-unadapted,it,soft_skills,153,135,135,1169,0,0,133,0.9851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.03048689289355834,0.05075391202842183,0.2518518518518518,0.0290846877673225,0.052147239263803685,0.2222222222222222,0.03048689289355834,0.05075391202842183,0.2518518518518518,0.0290846877673225,0.052147239263803685,0.2222222222222222,0.03048689289355834,0.05075391202842183,0.2518518518518518,0.0290846877673225,0.052147239263803685
BART task-unadapted,journal,all_skills,161,139,139,3598,0,0,139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515527950310559,0.0318366015901534,0.05807665416241612,0.6115107913669064,0.023624235686492495,0.04549103559004549,0.5217391304347826,0.03208504879512234,0.05855443724889486,0.6187050359712231,0.023902167871039465,0.04602622424404602,0.5341614906832298,0.032763192530769585,0.05982994745297649,0.6330935251798561,0.024458032240133407,0.0470966015520471
BART task-unadapted,journal,distinct_skills,98,89,87,266,1,0,87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.06027291869128604,0.0754211208292841,0.16091954022988506,0.05263157894736842,0.07932011331444759,0.14285714285714285,0.06027291869128604,0.0754211208292841,0.16091954022988506,0.05263157894736842,0.07932011331444759,0.15306122448979592,0.0704770003239391,0.08562520246193715,0.1724137931034483,0.05639097744360902,0.08498583569405099
BART task-unadapted,journal,hard_skills,161,134,132,2399,1,0,131,0.9924242424242424,0.0,0.0,0.0,0.0,0.0,0.0,0.3447204968944099,0.03000068153483806,0.05315775131018663,0.4318181818181818,0.023759899958315966,0.0450414855788226,0.35093167701863354,0.030311240541049247,0.0537492922743984,0.4393939393939394,0.02417674030846186,0.045831687080205456,0.35093167701863354,0.030311240541049247,0.0537492922743984,0.4393939393939394,0.02417674030846186,0.045831687080205456
BART task-unadapted,journal,must_have,161,135,133,3281,1,0,132,0.9924812030075187,0.0,0.0,0.0,0.0,0.0,0.0,0.4751552795031056,0.0345041573650514,0.06156512808674718,0.5864661654135338,0.023773239865894545,0.04569420035149385,0.4813664596273292,0.03478648373433429,0.06210523070624489,0.5939849624060151,0.024078024992380372,0.04628002343292326,0.4937888198757764,0.03546462746998153,0.06338074091032653,0.6090225563909775,0.024687595245352027,0.04745166959578208
