model,domain,skill,id,exact_new_matches,containment_new_matches,lexical_new_matches,semantic_new_matches,predicted_count,gold_count,exact_true_positives,exact_precision,exact_recall,exact_f1,containment_true_positives,containment_precision,containment_recall,containment_f1,lexical_true_positives,lexical_precision,lexical_recall,lexical_f1,semantic_true_positives,semantic_precision,semantic_recall,semantic_f1,raw_prediction_count,filtered_prediction_count,duplicate_items_removed,unsupported_count,unsupported_rate,gold,raw_prediction,prediction,filtered_prediction,unsupported_prediction
BERT task-unadapted,it,all_skills,ce5383b36d76faa7e4814cfd096250147c69c419,1,7,0,0,55,19,1,0.01818181818181818,0.05263157894736842,0.027027027027027025,8,0.14545454545454545,0.42105263157894735,0.2162162162162162,8,0.14545454545454545,0.42105263157894735,0.2162162162162162,8,0.14545454545454545,0.42105263157894735,0.2162162162162162,77,22,0,0,0.0,"behärskar svenska i tal och skrift | mjukvaruutvecklare av komplexa inbyggda realtidssystem | teknikområdet 5G | agilt team | ansvarar för produktens hela utvecklingscykel | systemering | design | test på flera nivåer | C | C++ | Java | Matlab | Git | samarbete med andra utvecklare, kravställare och testare | jobba i team | bidrar med sin kunskap för att nå gemensamma mål | utveckla teamets arbetssätt och färdighet | goda kunskaper i engelska såväl i tal som skrift | ett stort intresse för teknik",Software | Combitech | i | Göteborg Vill du | med | och | erbjuda | Din | söker nu | mjukvaruutvecklare | realtidssystem | Du | kommer | att | ingå | ett agilt | team på | sju | som | d.v.s. systemering | som team | utvecklare | C++ | Combitechs | Lindholmen | ca | 300 | Vem | en | eller högskoleingenjörsexamen | Du skall | ett stort | färdighet | såväl i tal som skrift | också | om | i tal | skrift | oss | dina personliga egenskaper | väldigt | våra | därför | sätter vi | vikt vid din | efter | Vi ser | emot | ansökan! | vårt | Göteborg | ca 160 personer | radarsystem | fordon | huvudsakligen | även | få | ta del av våra | annat | två | får | samt | Sverige | man | gör | ett | bättre | kan | rätt | därför gör vi | det | vår | dina | Vill | veta | hur | oss?,Software | Combitech | Göteborg Vill du | erbjuda | söker nu | mjukvaruutvecklare | realtidssystem | kommer | ingå | ett agilt | team på | sju | d.v.s.systemering | som team | utvecklare | C++ | Combitechs | Lindholmen | ca | 300 | eller högskoleingenjörsexamen | Du skall | ett stort | färdighet | såväl i tal som skrift | också | i tal | skrift | dina personliga egenskaper | väldigt | därför | sätter vi | vikt vid din | Vi ser | emot | ansökan! | Göteborg | ca 160 personer | radarsystem | fordon | huvudsakligen | även | få | ta del av våra | annat | två | får | samt | Sverige | gör | bättre | rätt | därför gör vi | Vill | veta,i | med | och | Din | Du | att | som | Vem | en | om | oss | våra | efter | vårt | man | ett | kan | det | vår | dina | hur | oss?,
BERT task-unadapted,it,all_skills,684e1ce5a4f93b330c6e1b074f35c07416c5b722,4,9,0,1,90,23,4,0.044444444444444446,0.17391304347826086,0.07079646017699115,13,0.14444444444444443,0.5652173913043478,0.2300884955752212,13,0.14444444444444443,0.5652173913043478,0.2300884955752212,14,0.15555555555555556,0.6086956521739131,0.24778761061946902,114,24,0,0,0.0,CI | testautomation | utveckla mjukvara som i sin tur testar annan mjukvara eller hårdvara | utveckla mjukvaruverktyg som stöttar i testprocessen | ramverk | continuous integration-pipelines | breda kunskaper | förstå produkten | felsöka | studera loggar | Programmering | öppenhet | god sammanhållning | ett kritiskt tänkande | engagerad | leverera ditt bästa resultat | kreativ och nyfiken inför uppdragets behov | snabbt anpassa dig till olika situationer | förståelse för projektets behov | hitta den rätta lösningen för att komma framåt | social | arbeta i team | ser spännande utmaningar i de möjligheter som erbjuds,Software | Engineer | Känner du precis som | vi | Tycker du | som | bäst | Nu söker vi dig som tycker | vill | CI | Som anställd hos | oss | på Infotiv | du | del | av | en gemenskap | öppenhet | sammanhållning | värdesätter våra medarbetare | efter | erbjuda | en god | dina | dig | Utöver detta | förmåner | friskvårdsbidrag | företagshälsovård | du ska | ha | det | även i | skeden | I | våra stora | bygga | kan du | samtidigt | din anställning | ledord | varmt hjärta | hela företaget | vårt arbetssätt | vårt ledarskap | vår | står | dig uppskattad | värdesätter varje | nytänkande | initiativtagande | vi Infotiv | Infotiv | Din | Test | utmaningarna | du vill programmera | skriva | testfall | eller | CI-pipelines | implementera | triggar | BDD | testmetodik? | utveckla | också bestå i | mjukvaruverktyg | integration-pipelines | TechDev söker dig som vill ha | som Software | Development Engineer | in | (SDET) | kritiskt | gillar | med ditt | kreativa | designa | sätta | utvecklar | och tycker | när | lyckas | lokalisera | till | en | ges | är | engagerad | leverera ditt | kreativ | och | tycker | få | sätta dig | fingertoppskänsla | förståelse | social | och gillar | att | i team | önskar höra | erfarenheter | önskar göra | till just | detta | intressant | så | tjänsten | tillsättas | sista | du vill | oss!,Software | Engineer | Känner du precis som | Tycker du | bäst | Nu söker vi dig som tycker | vill | CI | Som anställd hos | på Infotiv | del | en gemenskap | öppenhet | sammanhållning | värdesätter våra medarbetare | erbjuda | en god | Utöver detta | förmåner | friskvårdsbidrag | företagshälsovård | du ska | även i | skeden | våra stora | bygga | kan du | samtidigt | din anställning | ledord | varmt hjärta | hela företaget | vårt arbetssätt | vårt ledarskap | står | dig uppskattad | värdesätter varje | nytänkande | initiativtagande | vi Infotiv | Infotiv | Test | utmaningarna | du vill programmera | skriva | testfall | CI-pipelines | implementera | triggar | BDD | testmetodik? | utveckla | också bestå i | mjukvaruverktyg | integration-pipelines | TechDev söker dig som vill ha | som Software | Development Engineer | SDET | kritiskt | gillar | med ditt | kreativa | designa | sätta | utvecklar | och tycker | lyckas | lokalisera | ges | engagerad | leverera ditt | kreativ | tycker | få | sätta dig | fingertoppskänsla | förståelse | social | och gillar | i team | önskar höra | erfarenheter | önskar göra | till just | intressant | tjänsten | tillsättas | sista | du vill,vi | som | oss | du | av | efter | dina | dig | ha | det | I | vår | Din | eller | in | när | till | en | är | och | att | detta | så | oss!,
BERT task-unadapted,it,all_skills,0d14ef2480d3a575b2402d632cebed56cf34c5b1,1,13,0,0,66,22,1,0.015151515151515152,0.045454545454545456,0.022727272727272728,14,0.21212121212121213,0.6363636363636364,0.3181818181818182,14,0.21212121212121213,0.6363636363636364,0.3181818181818182,14,0.21212121212121213,0.6363636363636364,0.3181818181818182,88,22,0,0,0.0,"utvecklingsflöden | utmaningar utvecklare möter | utveckla och implementera självbetjäningslösningar | Förståelse för API-design och integration | har ett öga för detaljer | kombinera tekniskt arbete med strategisk förbättring | kommunikativ | har en god förmåga att förklara tekniska koncept på ett tydligt sätt | skapa de bästa möjliga förutsättningarna för företagets utvecklare | förbättra deras arbetsmiljö, verktyg och produktivitet | Developer Experience (DevEx) | säkerställa att utvecklare kan arbeta effektivt, utan onödiga hinder | analysera och identifiera flaskhalsar i utvecklingsflödet | utveckla och implementera lösningar som optimerar arbetsprocesserna | förbättra onboardingprocessen för nya utvecklare | skapa och underhålla tydlig och användarvänlig dokumentation, guider och utbildningsmaterial kopplat till utvecklingsverktyg och processer | arbeta datadrivet genom att samla in och analysera insikter | mäta framsteg | identifiera förbättringsområden | säkerställa att nya verktyg och processer integreras på ett sätt som skapar verkligt värde för organisationen | förbättra utvecklingsmiljöer | samarbete med utvecklingsteam",Platform Engineer | Vi söker nu | en | som | vill | i | vår | Göteborg | produktbolag | får du | skapa | de | förutsättningarna | utvecklare | deras | Ditt | Experience | utan | med | verktygen | till | I denna | kommer du | att | flaskhalsar | implementera | arbetsprocesserna | del | av ditt | onboardingprocessen | komma | du | processer | kommer | in | skapar | Den | här | rollen | dig | som brinner | har | ett öga | detaljer | där | får | tekniskt | Vi söker dig som har | förståelse | av | utveckla | och implementera | självbetjäningslösningar | API-design | Som person ser vi att du är | kommunikativ | god | tydligt | Du har | utvecklarnas | Lön | Omfattning:Heltid | tillsvidare | Start | Omgående | tagen | Placeringsort:Göteborg | tjänsten | innan | din | redan | idag! | Procruitment | Sveriges | enda | karriärbyrå | IT | människor | ledare eller | ta ditt | första steg | dina | samtidigt | oss | om dig | vägen.Procruitment | Awards | utsedda,Platform Engineer | Vi söker nu | vill | Göteborg | produktbolag | får du | skapa | förutsättningarna | utvecklare | Experience | verktygen | I denna | kommer du | flaskhalsar | implementera | arbetsprocesserna | del | av ditt | onboardingprocessen | komma | processer | kommer | skapar | rollen | som brinner | ett öga | detaljer | får | tekniskt | Vi söker dig som har | förståelse | utveckla | och implementera | självbetjäningslösningar | API-design | Som person ser vi att du är | kommunikativ | god | tydligt | Du har | utvecklarnas | Lön | Omfattning:Heltid | tillsvidare | Start | Omgående | tagen | Placeringsort:Göteborg | tjänsten | innan | redan | idag! | Procruitment | Sveriges | enda | karriärbyrå | IT | människor | ledare eller | ta ditt | första steg | samtidigt | om dig | vägen.Procruitment | Awards | utsedda,en | som | i | vår | de | deras | Ditt | utan | med | till | att | du | in | Den | här | dig | har | där | av | din | dina | oss,
BERT task-unadapted,it,all_skills,8c8615e90ed52df6f4a0a6251153a155932e128d,2,10,0,1,41,28,2,0.04878048780487805,0.07142857142857142,0.057971014492753624,12,0.2926829268292683,0.42857142857142855,0.34782608695652173,12,0.2926829268292683,0.42857142857142855,0.34782608695652173,13,0.3170731707317073,0.4642857142857143,0.3768115942028986,56,15,0,0,0.0,"tala och skriva svenska flytande | jobba med produkter både inom och utanför SAP:s familj | agila utvecklingsteam | agila arbetssätt | SAP S/4 | SAP CRM | SAP Workflow | SAP BTP | arbeta med försäkringslösningar | arbeta som Tech Lead | Agera Tech Lead inom SAP och ABAP utveckling | Utveckla prioriterade funktioner i ABAP | följa TRRs utvecklingsprocess | agila team | kodgranskning, både manuell och automatisk | automatiska tester | delaktig i hur TRR kan använda SAPs funktionalitet | systemintegration | gränssnittsutveckling | koppla samman SAP-systemen med andra system och applikationer | Microsoft Azure | SAP API management | OData | Events | RFC | Nyfiken | öppen | lyfter blicken och spanar mot framtiden","SAP-utvecklare | Brinner | TRR | en | söker nu dig | russinen ur | dig | TRRs | I | ditt | ingår | att | Lead | ABAP | utvecklingsprocess i agila | involverad | såväl | TRR-organisationen | är; SAP | efter | oss | sökande med | Vi söker dig | som | är | öppen | Den | här | att du | med agila | Därför är det | om | har | agila | du även | skriva | flytande | Meriterande | SAP | S/4 | Workflow | SAP BTP | av | Tech | pattern'n'practices | 27 maj Omfattning | Omfattning | Heltid/Tillsvidare | Start | tjänstemän | 30 | anslutna | 1,1 | tjänster | vägleder | deras","SAP-utvecklare | Brinner | TRR | söker nu dig | russinen ur | TRRs | ingår | Lead | ABAP | utvecklingsprocess i agila | involverad | såväl | TRR-organisationen | är; SAP | sökande med | Vi söker dig | öppen | att du | med agila | Därför är det | agila | du även | skriva | flytande | Meriterande | SAP | S/4 | Workflow | SAP BTP | Tech | pattern'n'practices | 27 maj Omfattning | Omfattning | Heltid/Tillsvidare | Start | tjänstemän | 30 | anslutna | 1,1 | tjänster | vägleder",en | dig | I | ditt | att | efter | oss | som | är | Den | här | om | har | av | deras,
BERT task-unadapted,it,all_skills,65ae2330cb89e652e7c6909d34279b7293b0af6b,8,2,0,0,60,14,8,0.13333333333333333,0.5714285714285714,0.21621621621621623,10,0.16666666666666666,0.7142857142857143,0.2702702702702703,10,0.16666666666666666,0.7142857142857143,0.2702702702702703,10,0.16666666666666666,0.7142857142857143,0.2702702702702703,81,20,1,0,0.0,systemutveckling | mjukvaruutveckling | programmeringsspråk | C# | Java | Python | .NET | databasutveckling | SQL | NoSQL | MongoDB | agil utveckling | Scrum | flytande på svenska och engelska i tal och skrift,Systemutvecklare | mjukvaruutveckling Syntronic | design- | tekniklösningar | att | i | söker nu | en | vårt | mjukvaruutveckling | Syntronic | kommer | du | få | involverad i | från design | programmering | mjukvarulösningar | programmeringsspråk | C# | NET | värdesätter | SQL-databaser | NoSQL-databaser | MongoDB | värdesätts | Vad | söker: Högskole- | eller | 3 | systemutveckling | med | (t.ex | (t.ex. C# | Python | NET) | NoSQL | Kommunicerar | engelska i tal | skrift | Känner du | igen dig? | inte efter | utan efter | rätt person | vill | oss | våra | Är du | intresserad | av | skapa | Skicka | in | din | och | bli | del | team! Syntronic | trygg anställning | ett | team | vår | därför | blir | härlig | samt | workshops | Utöver detta | får du | förmåner | inte | bara | får | till | Syntronic! | ser | som ska | 28/4 | vi dig | e-post,Systemutvecklare | mjukvaruutveckling Syntronic | design- | tekniklösningar | söker nu | mjukvaruutveckling | Syntronic | kommer | få | involverad i | från design | programmering | mjukvarulösningar | programmeringsspråk | C# | .NET | värdesätter | SQL-databaser | NoSQL-databaser | MongoDB | värdesätts | söker: Högskole- | 3 | systemutveckling | t.ex | t.ex.C# | Python | NoSQL | Kommunicerar | engelska i tal | skrift | Känner du | igen dig? | inte efter | utan efter | rätt person | vill | Är du | intresserad | skapa | Skicka | del | team! Syntronic | trygg anställning | team | därför | härlig | samt | workshops | Utöver detta | får du | förmåner | bara | får | Syntronic! | ser | som ska | 28/4 | vi dig | e-post,att | i | en | vårt | du | Vad | eller | med | oss | våra | av | in | din | och | bli | ett | vår | blir | inte | till,
BERT task-unadapted,it,all_skills,710de6ddc2b13827b13f1e8302d97de83df60675,3,9,0,0,44,15,3,0.06818181818181818,0.2,0.10169491525423728,12,0.2727272727272727,0.8,0.4067796610169491,12,0.2727272727272727,0.8,0.4067796610169491,12,0.2727272727272727,0.8,0.4067796610169491,62,18,0,0,0.0,"Embedded C++ utveckling | Testutveckling med Java | en stark förståelse för hårdvara och testmetodik | handlingskraftig | lösningsorienterad | samarbetsvillig | Embedded C++ utvecklare | Testutvecklare med Java-kunskaper | designa, implementera och underhålla testplattformen | programmerar och konfigurerar HW | automatiserade tester som säkerställer funktionalitet och kvalitet i våra produkter | bidra aktivt i hela utvecklingscykeln | mjukvaruutveckling | testning och analys av data | nära samarbete med resten av våra utvecklingsteam",Testutvecklare | Vill du | göra | Här | du | till | skapa | söker nu | C++ | C++ utvecklare | vårt | Din | får du | med | utveckla | testsystem | testning | kommer | att | designa | implementera | där | du programmerar | konfigurerar | i | får också | en | Du kommer | ett | resten | våra | utvecklingsteam | samt | dynamiskt | och | team | kundnöjdhet | Har | 5 | Testutveckling | stark | förståelse | testmetodik | Är | handlingskraftig | lösningsorienterad | samarbetsvillig | innovationer | som | pionjärer | har du | ditt | Allt från | bygga | ta | dig | tekniksmarta | tjänsten | tillsättas | sista | ser | att höra från dig!,Testutvecklare | Vill du | göra | skapa | söker nu | C++ | C++ utvecklare | får du | utveckla | testsystem | testning | kommer | designa | implementera | du programmerar | konfigurerar | får också | Du kommer | resten | utvecklingsteam | samt | dynamiskt | team | kundnöjdhet | 5 | Testutveckling | stark | förståelse | testmetodik | handlingskraftig | lösningsorienterad | samarbetsvillig | innovationer | pionjärer | har du | Allt från | bygga | ta | tekniksmarta | tjänsten | tillsättas | sista | ser | att höra från dig!,Här | du | till | vårt | Din | med | att | där | i | en | ett | våra | och | Har | Är | som | ditt | dig,
BERT task-unadapted,it,all_skills,4f42b08e33892861172b8eb5b8307445e110c04d,2,14,0,0,89,39,2,0.02247191011235955,0.05128205128205128,0.03125,16,0.1797752808988764,0.41025641025641024,0.25,16,0.1797752808988764,0.41025641025641024,0.25,16,0.1797752808988764,0.41025641025641024,0.25,121,32,0,0,0.0,"Objektorienterad utveckling och testning | Containerbaserad utveckling i Linuxmiljö | Systemövervakning | Prometheus | Grafana | Elasticsearch | Orkestrering | Terraform | Ansible | Puppet | Automatisering | ci/cd | God förmåga att kommunicera på svenska och engelska i såväl tal som skrift | Kubernetes | React.js | annat frontend-ramverk | strömmad data | SQL | säkerhetsklassad information | agilt arbetssätt | IT | ta ett helhetsansvar för teamets olika system inom cyberområdet, både befintliga och framtida | driva innovation | backend/devops | frontend | scrum master | kombinerar dina tekniska kunskaper med din analytiska förmåga | vidareutveckla teknisk metodik och verktyg för att hitta nya sätt att utveckla verksamheten | kreativ | förmågan att utveckla effektiva, förnuftiga och genomförbara lösningar på problem | lätt att ta in ny information | använda nya kunskaper på ett flexibelt sätt | söker nya perspektiv och idéer för stimulera innovation och förändring | konstruktivt i pressade situationer | bibehåller en entusiastisk och positiv attityd även i tuffa situationer | följa upp ditt arbete mot enhetens mål och interna användare | driver nya initiativ inom ramen för ditt arbete | samverkar med andra | främja och utveckla andras idéer",FRA söker | FRA | vi | ingen | en | erbjuder | med | möjligheter | av människor med | skapar | och | kreativ | vår | Vill du göra | i | FRA söker nu | systemutvecklare | med stort | Är du den | vi söker | vi erbjuda | ett varierande | kunskapsintensiv | får | vara | göra | FRA:s | att | Sverige | riktas | mot | samhälle | vårt | sätt | leva | det | våra | tekniklösningar | i Sverige | Ditt | Som | du | till | Avdelningen | tekniska | Avdelningen utvecklar | anskaffar | driftsätter | samt | underhåll | förväntas du ha | IT | samt ta | ett | helhetsansvar | förväntas | också | Teamet | av | utvecklare | från | design | dina | Tillsammans | med dina | teknisk | Detta | ta sig | Vi söker dig som har: Utbildning | Civilingenjör/Högskoleingenjör | IT-inriktad | engelska i såväl tal som skrift | Objektorienterad | Containerbaserad | (t.ex | Vi ser det som | om du | har | certifieringar | IT-området | säkerhetsklassad | lägga | vid dina personliga egenskaper | söker dig | förmågan | lätt | ta | in | din | söker | bibehåller | entusiastisk | följa | upp ditt | initiativ | varje | del | eller | oss | nyanställd | ger dig | dig | ännu | bättre | brinner | förmåner | exempelvis | är | belägen | ca | 10 | min | vid FRA | anställning | Säkerhetsprövningen | följer | provanställning | tar emot ansökningar | 3301/22 | denna | tagit ställning,FRA söker | FRA | erbjuder | möjligheter | av människor med | skapar | kreativ | Vill du göra | FRA söker nu | systemutvecklare | med stort | Är du den | vi söker | vi erbjuda | ett varierande | kunskapsintensiv | får | göra | FRA:s | Sverige | riktas | samhälle | sätt | leva | tekniklösningar | i Sverige | Avdelningen | tekniska | Avdelningen utvecklar | anskaffar | driftsätter | samt | underhåll | förväntas du ha | IT | samt ta | helhetsansvar | förväntas | också | Teamet | utvecklare | design | Tillsammans | med dina | teknisk | ta sig | Vi söker dig som har: Utbildning | Civilingenjör/Högskoleingenjör | IT-inriktad | engelska i såväl tal som skrift | Objektorienterad | Containerbaserad | t.ex | Vi ser det som | om du | certifieringar | IT-området | säkerhetsklassad | lägga | vid dina personliga egenskaper | söker dig | förmågan | lätt | ta | söker | bibehåller | entusiastisk | följa | upp ditt | initiativ | del | nyanställd | ger dig | ännu | bättre | brinner | förmåner | exempelvis | belägen | ca | 10 | vid FRA | anställning | Säkerhetsprövningen | följer | provanställning | tar emot ansökningar | 3301/22 | tagit ställning,vi | ingen | en | med | och | vår | i | vara | att | mot | vårt | det | våra | Ditt | Som | du | till | ett | av | från | dina | Detta | har | in | din | varje | eller | oss | dig | är | min | denna,
BERT task-unadapted,it,all_skills,8e78ce59d3e8d0b1d93d0556633f2fe7b72ce506,0,4,0,0,58,8,0,0.0,0.0,0.0,4,0.06896551724137931,0.5,0.1212121212121212,4,0.06896551724137931,0.5,0.1212121212121212,4,0.06896551724137931,0.5,0.1212121212121212,78,20,0,0,0.0,system- och mjukvaruarbete | agilt i scrumteam | systemutveckling | ren mjukvaruutveckling med moderna verktyg | CLion | git | tredjepartsprogramvara | nära samarbete med angränsande team,Mjukvarutalang | innovation! | Drivs | av | Välkommen | till | vår | teknikintensiva | Din | Vill du | i | kompetent | med | utveckla | Nu behöver vi | vårt | med dig | som vill | göra | morgondagens | Som | system/mjukvaruingenjör | oss | det | Teamen | tekniskt | förtroendebaserat | Vi söker dig | är | system- | mjukvaruarbete | Här | i hela | från | kravformulering | Systemarbetet | Mjukvaruutvecklingen | scrumteam | söker både dig som | systemutveckling och dig | mjukvaruutveckling | (som t.ex | testflyger | riggar | mjukvaran | en | innovationer | alla | gjort | Modiga | pionjärer och kluriga | problemlösare | och | du | ditt | Allt från | bygga | ta | Varje | ger dig | anta | skapa | vänliga | tekniksmarta | dig | människor | Läs | mer | om oss här | Sensorfusion | E/F | bygger | ger stöd | effektivt | C/D | C/D: Här | Situationsanalys | sensorstyrning,Mjukvarutalang | innovation! | Drivs | Välkommen | teknikintensiva | Vill du | kompetent | utveckla | Nu behöver vi | med dig | som vill | göra | morgondagens | system/mjukvaruingenjör | Teamen | tekniskt | förtroendebaserat | Vi söker dig | system- | mjukvaruarbete | i hela | kravformulering | Systemarbetet | Mjukvaruutvecklingen | scrumteam | söker både dig som | systemutveckling och dig | mjukvaruutveckling | som t.ex | testflyger | riggar | mjukvaran | innovationer | gjort | Modiga | pionjärer och kluriga | problemlösare | Allt från | bygga | ta | ger dig | anta | skapa | vänliga | tekniksmarta | människor | Läs | mer | om oss här | Sensorfusion | E/F | bygger | ger stöd | effektivt | C/D | C/D: Här | Situationsanalys | sensorstyrning,av | till | vår | Din | i | med | vårt | Som | oss | det | är | Här | från | en | alla | och | du | ditt | Varje | dig,
BERT task-unadapted,it,all_skills,5438f47b2a91464a3363506c57f15450e10aecf0,2,6,0,0,58,16,2,0.034482758620689655,0.125,0.05405405405405405,8,0.13793103448275862,0.5,0.2162162162162162,8,0.13793103448275862,0.5,0.2162162162162162,8,0.13793103448275862,0.5,0.2162162162162162,74,16,0,0,0.0,"programmera i C# | C/C++ | Java | Python | mjukvaruarkitektur | systemdesign | Goda kunskaper i svenska och engelska i tal och skrift | bygga Linuxsystem | utvecklingen av inbyggda system | bygga Linuxsystem eller applikationer | utvecklar paketeras och designas för att ha en lång livslängd | samarbeta tätt med projektledare, kollegor och kunder | Målmedveten | Ansvarstagande | Stabil | Förändringsbenägen",Mjukvaruutvecklare | i | ett | företag | Örebro. Här | får du | startups | TJÄNSTEN | Vår | även | mjukvara | kunder | med företag | från | medicinteknik | produktion. Deras | främst | mjukvaruutveckling. Som | du | involverad | utvecklingen | såsom | bygga | dessa. I | kommer | att | designas | livslängd. Tjänsten | Academic | Work | vilket innebär | din | rollen | Viktigt! | Denna | medborgare. Du | ett engagerat | team | Stor | under | generera | bolag | som | SÖKER DIG SOM - Har | en | Har | av | att programmera i C# | C/C++ | och/eller | engelska i tal | skrift | arbetslivserfarenhet. Det | om du har | har du följande personliga egenskaper | Målmedveten | rekryteringsprocess Denna | rekryteringsprocess | Academic Work och | är | till | Academic Work | urval | plocka | ner | tillräckligt många | nått slutskedet | rekryteringsprocessen | urvalstest | personlighetstest och | kognitiv | förmåga. Testerna | ett verktyg | med,Mjukvaruutvecklare | företag | Örebro.Här | får du | startups | TJÄNSTEN | även | mjukvara | kunder | med företag | medicinteknik | produktion.Deras | främst | mjukvaruutveckling.Som | involverad | utvecklingen | såsom | bygga | dessa.I | kommer | designas | livslängd.Tjänsten | Academic | Work | vilket innebär | rollen | Viktigt! | medborgare.Du | ett engagerat | team | Stor | generera | bolag | SÖKER DIG SOM-Har | att programmera i C# | C/C++ | och/eller | engelska i tal | skrift | arbetslivserfarenhet.Det | om du har | har du följande personliga egenskaper | Målmedveten | rekryteringsprocess Denna | rekryteringsprocess | Academic Work och | Academic Work | urval | plocka | ner | tillräckligt många | nått slutskedet | rekryteringsprocessen | urvalstest | personlighetstest och | kognitiv | förmåga.Testerna | ett verktyg,i | ett | Vår | från | du | att | din | Denna | under | som | en | Har | av | är | till | med,
BERT task-unadapted,it,all_skills,cd3d047c73d68810b8ac792702af99a4cc3a8e91,1,8,0,1,58,18,1,0.017241379310344827,0.05555555555555555,0.02631578947368421,9,0.15517241379310345,0.5,0.2368421052631579,9,0.15517241379310345,0.5,0.2368421052631579,10,0.1724137931034483,0.5555555555555556,0.26315789473684215,86,28,0,0,0.0,"utveckling av molnbaserade telekommunikationslösningar för 3GPPs 5G standard | behärskar svenska språket | komplexa inbyggda realtidssystem som skall realiseras med hjälp av virtualiseringsteknologier | utveckling av mjukvara | förståelse för telekommunikationssignalbehandling och schedulering | agilt team | produktens hela utvecklingscykel | systemering | design | test av mjukvarulösnningen | ett genuint intresse för teknik i allmänhet och telekommunikation i synnerhet | nära samarbete med andra utvecklare, kravställare och testare | goda kunskaper i engelska i tal och skrift | arbetar i team | kommunicera | be om hjälp | lära av andra | lära ut",Mjukvaruutvecklare | Combitech | Är | erfaren utvecklare | som | vill | i | med | bygga | industrisektorn | vi | anställningsvillkor | och | företagskultur | oss | får | detta | bli | en | av | till | Din | 5G | söker | telekommunikationslösningar | realtidssystem | ett | telekommunikationssignalbehandling | Du | att | det vill säga systemering | design | utvecklare | kommer | vara | på | Combitechs | kontor | på Lindholmen | Göteborg | där | trehundra | 180 | radarsystem | Konsulter | Combitech tar | del | annat | två | Vem | behöver du ha | samt | intresse | i allmänhet | telekommunikation i synnerhet | att du | har | master- | teknikområde | engelska i tal | skrift | om | samma vis | behärskar | språket | de | personliga egenskaperna | det | även | därför | sätter | vikt vid din | ser | ansökan! | gör | bättre | därför gör | våra | dina | står | vårt | kompetensutvecklingsprogram Combitech | naturlig | Vi ger dig | Vill du veta | hur,Mjukvaruutvecklare | Combitech | erfaren utvecklare | vill | bygga | industrisektorn | anställningsvillkor | företagskultur | får | 5G | söker | telekommunikationslösningar | realtidssystem | telekommunikationssignalbehandling | det vill säga systemering | design | utvecklare | kommer | Combitechs | kontor | på Lindholmen | Göteborg | trehundra | 180 | radarsystem | Konsulter | Combitech tar | del | annat | två | behöver du ha | samt | intresse | i allmänhet | telekommunikation i synnerhet | att du | master- | teknikområde | engelska i tal | skrift | samma vis | behärskar | språket | personliga egenskaperna | även | därför | sätter | vikt vid din | ser | ansökan! | gör | bättre | därför gör | står | kompetensutvecklingsprogram Combitech | naturlig | Vi ger dig | Vill du veta,Är | som | i | med | vi | och | oss | detta | bli | en | av | till | Din | ett | Du | att | vara | på | där | Vem | har | om | de | det | våra | dina | vårt | hur,
